Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Proteotypic.Sequences,Sum,CR006_T1,CR006_T2,CR007_T1,CR007_T2,CR008_T1,CR008_T2,CR009_T1,CR009_T2,CR010_T1,CR010_T2,CR012_T1,CR012_T2,CR015_T1,CR017_T1,CR017_T2,CR018_T1,CR018_T2,CR022_T1,CR022_T2,CR023_T1,CR025_T1,CR025_T2,CR072_T1,CR072_T2,CR149_T1,CR149_T2,CR163_T1,CR163_T2,CR383_T1,CR386_T1,CR386_T2,PPS02,PPS20,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS42,PPS44
P68871,HBB_HUMAN,HBB,Hemoglobin subunit beta,31,10387971878,6900130000,9484690000,38689900000,9296730000,5140690000,3508480000,9771620000,16726600000,61635200000,3529340000,3768630000,5759270000,10925000000,6742330000,8769340000,4433570000,19383100000,39922900000,11291000000,17491200000,14355900000,5624160000,6455440000,19101200000,19395600000,5539830000,4948220000,6279240000,2557990000,19092500000,13542900000,1229220000,3077170000,1113450000,1192100000,918743000,1169720000,1067480000,3715380000,915784000,1445100000
P69905,HBA_HUMAN,HBA1,Hemoglobin subunit alpha,24,6119060195,3078820000,4452290000,21177700000,6567940000,2637140000,2333640000,225056000,12731500000,32791600000,1677420000,2422760000,3740410000,7922490000,4399310000,4460700000,2517760000,10737700000,17273900000,7596160000,14200300000,10114100000,3508390000,4186590000,15270400000,13696600000,2181650000,3125750000,3456600000,1264700000,13656100000,9311250000,555985000,1199340000,490881000,712183000,364943000,633622000,546812000,2527200000,524000000,609776000
P02144,MYG_HUMAN,MB,Myoglobin,16,3009813659,5794010000,3792550000,12452100,3357470000,2235620000,3642960000,155896000,322218000,2837910000,4673790000,3970720000,2346700000,966917000,3586530000,2875150000,3440750000,3138010000,2685910000,2650220000,1549260000,2960580000,2738720000,3431380000,2185180000,2808590000,1618470000,3933840000,2671210000,5353350000,41626900,2689920000,4536020000,3144700000,3245900000,3606650000,3398350000,4039920000,3731750000,3779350000,5676750000,3775060000
P02768,ALBU_HUMAN,ALB,Serum albumin,91,2477169415,1464710000,6184110000,6263840000,1769870000,1132700000,1205060000,840899000,3688790000,9883710000,1570050000,1094300000,1345060000,4905540000,1874310000,2192330000,864572000,2074590000,7907500000,2340120000,6234950000,3025880000,1647500000,2362050000,6283400000,3167580000,1394200000,1112790000,1122160000,818730000,5717490000,5275010000,601271000,627247000,649435000,229207000,255459000,346615000,293846000,893568000,347300000,556197000
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,31,1856619866,2909190000,2072870000,11388800,2418550000,2820240000,3150410000,614657000,110688000,1925590000,2318390000,1537910000,1373540000,662006000,2265410000,2453420000,2801080000,2316000000,2122290000,2132080000,557168000,1569320000,1483780000,1931770000,1457500000,2789380000,2059370000,2029730000,1759420000,2598590000,28136700,2044760000,1966140000,2172000000,1644390000,2097690000,1616120000,1705840000,2069780000,1812000000,2127160000,2585660000
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,40,976429798,1346580000,1198160000,62954700,956518000,1524620000,1508330000,194767000,115623000,1157030000,1231930000,893319000,773684000,397855000,1125650000,1220960000,1602620000,1134270000,1074550000,1152550000,234036000,814882000,886260000,1247180000,1079610000,1258310000,1089160000,1065580000,945768000,1421920000,100353000,979852000,1187580000,834904000,986660000,962640000,643089000,886177000,1353570000,1254560000,1100740000,1028820000
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,30,900447324,1233400000,1205290000,90469000,1053770000,1470740000,1245250000,92873300,122823000,1107650000,1240050000,766389000,726213000,447577000,1023290000,1088020000,1401540000,1219310000,1007190000,1214650000,216076000,914934000,913054000,1168250000,1048840000,922150000,939861000,1041930000,970893000,1033860000,104430000,752862000,1130220000,936101000,873162000,1090340000,503848000,730461000,1271410000,841355000,800064000,957745000
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,20,848168505,899116000,900973000,85221200,825637000,2189410000,1822120000,1739350000,85363500,874860000,751249000,679701000,543678000,423243000,786054000,761179000,890399000,577448000,531116000,618667000,318936000,616782000,611221000,806671000,526494000,890204000,897042000,1399800000,1258320000,1098770000,155423000,759780000,845153000,1270230000,861424000,953498000,896803000,961492000,936724000,474207000,1098590000,1152560000
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,21,706315366,1005530000,922707000,13332100,1122110000,1061270000,954943000,474950000,108088000,613451000,811025000,1093610000,700895000,243798000,997315000,971716000,1068930000,1043710000,555853000,688897000,901868000,476826000,468266000,500762000,461017000,835295000,658623000,800773000,949574000,961259000,43314900,624568000,923424000,719132000,517143000,591587000,604178000,532023000,827629000,426154000,1218150000,465234000
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,18,508101722,783079000,692068000,17807100,624453000,384346000,813313000,135006000,43149800,381637000,635615000,608271000,481382000,151205000,568083000,708637000,643807000,573727000,340978000,306256000,153157000,335530000,476045000,502265000,279308000,446624000,599188000,580907000,501825000,954590000,32929700,402069000,794589000,673083000,671323000,550472000,562188000,689794000,524415000,750469000,727992000,730588000
