Gene,Gene synonym,Ensembl,Gene description,Uniprot
A2M,"CPAMD5, FWP007, S863-7",ENSG00000175899,Alpha-2-macroglobulin,P01023
A4GALT,"A14GALT, Gb3S, P(k), P1",ENSG00000128274,"Alpha 1,4-galactosyltransferase (P blood group)",Q9NPC4
AAAS,,ENSG00000094914,Aladin WD repeat nucleoporin,Q9NRG9
AACS,"ACSF1, FLJ12389, SUR-5",ENSG00000081760,Acetoacetyl-CoA synthetase,Q86V21
AADAT,"KAT2, KATII, KYAT2",ENSG00000109576,Aminoadipate aminotransferase,Q8N5Z0
AAGAB,"FLJ11506, p34",ENSG00000103591,Alpha and gamma adaptin binding protein,Q6PD74
AAK1,"DKFZp686K16132, KIAA1048",ENSG00000115977,AP2 associated kinase 1,Q2M2I8
AAMDC,"C11orf67, CK067, FLJ21035, PTD015",ENSG00000087884,Adipogenesis associated Mth938 domain containing,Q9H7C9
AAMP,,ENSG00000127837,Angio associated migratory cell protein,Q13685
AAR2,"bA234K24.2, C20orf4",ENSG00000131043,AAR2 splicing factor,Q9Y312
AARS1,"AARS, AlaRS, CMT2N",ENSG00000090861,Alanyl-tRNA synthetase 1,P49588
AARS2,"AARSL, bA444E17.1, KIAA1270",ENSG00000124608,"Alanyl-tRNA synthetase 2, mitochondrial",Q5JTZ9
AARSD1,"AlaXp, MGC2744",ENSG00000266967,Alanyl-tRNA synthetase domain containing 1,Q9BTE6
AASDH,"ACSF4, LYS2, NRPS998",ENSG00000157426,Aminoadipate-semialdehyde dehydrogenase,Q4L235
AASDHPPT,"AASD-PPT, ACPS, CGI-80, LYS5",ENSG00000149313,Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Q9NRN7
AASS,"LKRSDH, LORSDH",ENSG00000008311,Aminoadipate-semialdehyde synthase,Q9UDR5
AATF,"BFR2, CHE-1, CHE1, DED",ENSG00000275700,Apoptosis antagonizing transcription factor,Q9NY61
ABAT,"GABA-T, GABAT",ENSG00000183044,4-aminobutyrate aminotransferase,P80404
ABCA1,"ABC1, HDLDT1, TGD",ENSG00000165029,ATP binding cassette subfamily A member 1,O95477
ABCA10,EST698739,ENSG00000154263,ATP binding cassette subfamily A member 10,Q8WWZ4
ABCA2,ABC2,ENSG00000107331,ATP binding cassette subfamily A member 2,Q9BZC7
ABCA3,"ABC-C, ABC3, EST111653, LBM180",ENSG00000167972,ATP binding cassette subfamily A member 3,Q99758
ABCA5,EST90625,ENSG00000154265,ATP binding cassette subfamily A member 5,Q8WWZ7
ABCA6,EST155051,ENSG00000154262,ATP binding cassette subfamily A member 6,Q8N139
ABCA7,ABCX,ENSG00000064687,ATP binding cassette subfamily A member 7,Q8IZY2
ABCA8,KIAA0822,ENSG00000141338,ATP binding cassette subfamily A member 8,O94911
ABCA9,EST640918,ENSG00000154258,ATP binding cassette subfamily A member 9,Q8IUA7
ABCB10,"EST20237, M-ABC2, MTABC2",ENSG00000135776,ATP binding cassette subfamily B member 10,Q9NRK6
ABCB4,"GBD1, MDR2, MDR3, PFIC-3, PGY3",ENSG00000005471,ATP binding cassette subfamily B member 4,P21439
ABCB6,"EST45597, MTABC3, umat",ENSG00000115657,ATP binding cassette subfamily B member 6 (Langereis blood group),Q9NP58
ABCB7,"ABC7, ASAT, Atm1p, EST140535",ENSG00000131269,ATP binding cassette subfamily B member 7,O75027
ABCB8,"EST328128, M-ABC1, MABC1, MITOSUR",ENSG00000197150,ATP binding cassette subfamily B member 8,Q9NUT2
ABCB9,EST122234,ENSG00000150967,ATP binding cassette subfamily B member 9,Q9NP78
ABCC1,"GS-X, MRP, MRP1",ENSG00000103222,ATP binding cassette subfamily C member 1,P33527
ABCC10,"EST182763, MRP7, SIMRP7",ENSG00000124574,ATP binding cassette subfamily C member 10,Q5T3U5
ABCC12,MRP9,ENSG00000140798,ATP binding cassette subfamily C member 12,
ABCC2,"CMOAT, cMRP, DJS, MRP2",ENSG00000023839,ATP binding cassette subfamily C member 2,Q92887
ABCC4,"EST170205, MOAT-B, MOATB, MRP4",ENSG00000125257,ATP binding cassette subfamily C member 4,O15439
ABCC5,"EST277145, MOAT-C, MRP5, SMRP",ENSG00000114770,ATP binding cassette subfamily C member 5,O15440
ABCC6,"ARA, EST349056, MLP1, MRP6, PXE, URG7",ENSG00000091262,ATP binding cassette subfamily C member 6,O95255
ABCC9,"CMD1O, SUR2",ENSG00000069431,ATP binding cassette subfamily C member 9,O60706
ABCD1,"adrenoleukodystrophy, ALD, ALDP, AMN",ENSG00000101986,ATP binding cassette subfamily D member 1,P33897
ABCD3,"PMP70, PXMP1, ZWS2",ENSG00000117528,ATP binding cassette subfamily D member 3,P28288
ABCD4,"EST352188, P70R, PMP69, PXMP1L",ENSG00000119688,ATP binding cassette subfamily D member 4,O14678
ABCE1,"OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I",ENSG00000164163,ATP binding cassette subfamily E member 1,P61221
ABCF1,"ABC50, EST123147",ENSG00000204574,ATP binding cassette subfamily F member 1,Q8NE71
ABCF2,"ABC28, EST133090, HUSSY-18, M-ABC1",ENSG00000033050,ATP binding cassette subfamily F member 2,Q9UG63
ABCF2-H2BK1,ABCF2-H2BE1,ENSG00000285292,ABCF2-H2BK1 readthrough,
ABCF3,EST201864,ENSG00000161204,ATP binding cassette subfamily F member 3,Q9NUQ8
ABCG1,ABC8,ENSG00000160179,ATP binding cassette subfamily G member 1,P45844
ABHD1,"FLJ36128, LABH1",ENSG00000143994,Abhydrolase domain containing 1,Q96SE0
ABHD10,FLJ11342,ENSG00000144827,"Abhydrolase domain containing 10, depalmitoylase",Q9NUJ1
ABHD11,"PP1226, WBSCR21",ENSG00000106077,Abhydrolase domain containing 11,Q8NFV4
ABHD12,"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106",ENSG00000100997,"Abhydrolase domain containing 12, lysophospholipase",Q8N2K0
ABHD13,"bA153I24.2, BEM46L1, C13orf6, FLJ14906",ENSG00000139826,Abhydrolase domain containing 13,Q7L211
ABHD14A,"DKFZP564O243, DORZ1",ENSG00000248487,Abhydrolase domain containing 14A,Q9BUJ0
ABHD14B,"CIB, MGC15429",ENSG00000114779,Abhydrolase domain containing 14B,Q96IU4
ABHD15,,ENSG00000168792,Abhydrolase domain containing 15,Q6UXT9
ABHD16A,"BAT5, D6S82E, NG26",ENSG00000204427,"Abhydrolase domain containing 16A, phospholipase",O95870
ABHD16B,"C20orf135, dJ591C20.1",ENSG00000183260,Abhydrolase domain containing 16B,Q9H3Z7
ABHD17A,"C19orf27, FAM108A1, MGC5244",ENSG00000129968,"Abhydrolase domain containing 17A, depalmitoylase",Q96GS6
ABHD17B,"C9orf77, CGI-67, FAM108B1",ENSG00000107362,"Abhydrolase domain containing 17B, depalmitoylase",Q5VST6
ABHD17C,FAM108C1,ENSG00000136379,"Abhydrolase domain containing 17C, depalmitoylase",Q6PCB6
ABHD18,"C4orf29, FLJ21106",ENSG00000164074,Abhydrolase domain containing 18,Q0P651
ABHD2,LABH2,ENSG00000140526,"Abhydrolase domain containing 2, acylglycerol lipase",P08910
ABHD3,LABH3,ENSG00000158201,"Abhydrolase domain containing 3, phospholipase",Q8WU67
ABHD4,FLJ12816,ENSG00000100439,"Abhydrolase domain containing 4, N-acyl phospholipase B",Q8TB40
ABHD5,"CGI-58, NCIE2",ENSG00000011198,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",Q8WTS1
ABHD6,,ENSG00000163686,"Abhydrolase domain containing 6, acylglycerol lipase",Q9BV23
ABHD8,"FLJ11743, MGC14280, MGC2512",ENSG00000127220,Abhydrolase domain containing 8,Q96I13
ABI1,"ABI-1, E3B1, SSH3BP1",ENSG00000136754,Abl interactor 1,Q8IZP0
ABI2,"ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2",ENSG00000138443,Abl interactor 2,Q9NYB9
ABI3,"NESH, SSH3BP3",ENSG00000108798,ABI family member 3,Q9P2A4
ABI3BP,"DKFZP586L2024, NESHBP, TARSH",ENSG00000154175,ABI family member 3 binding protein,Q7Z7G0
ABITRAM,"C9orf6, CG-8, FAM206A, FLJ20457, Simiate",ENSG00000119328,Actin binding transcription modulator,Q9NX38
ABL1,"ABL, c-ABL, JTK7, p150",ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase",P00519
ABL2,"ABLL, ARG",ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase",P42684
ABLIM1,"ABLIM, LIMAB1, limatin",ENSG00000099204,Actin binding LIM protein 1,O14639
ABLIM2,KIAA1808,ENSG00000163995,Actin binding LIM protein family member 2,Q6H8Q1
ABLIM3,KIAA0843,ENSG00000173210,Actin binding LIM protein family member 3,O94929
ABO,"A3GALNT, A3GALT1",ENSG00000175164,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",
ABR,MDB,ENSG00000159842,ABR activator of RhoGEF and GTPase,Q12979
ABRA,STARS,ENSG00000174429,Actin binding Rho activating protein,Q8N0Z2
ABRACL,"C6orf115, Costars, HSPC280, PRO2013",ENSG00000146386,ABRA C-terminal like,Q9P1F3
ABRAXAS1,"ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614",ENSG00000163322,"Abraxas 1, BRCA1 A complex subunit",Q6UWZ7
