"","uniprot_id","protein","gene","description","in_hpa_muscle","in_blood_blacklist","flag_source"
"1","A0A075B6I0","LV861_HUMAN","IGLV8-61","Immunoglobulin lambda variable 8-61",FALSE,FALSE,"HPA"
"2","A0A075B6J9","LV218_HUMAN","IGLV2-18","Immunoglobulin lambda variable 2-18",FALSE,FALSE,"HPA"
"3","A0A075B6K4","LV310_HUMAN","IGLV3-10","Immunoglobulin lambda variable 3-10",FALSE,FALSE,"HPA"
"4","A0A075B6S6","KVD30_HUMAN","IGKV2D-30","Immunoglobulin kappa variable 2D-30",FALSE,FALSE,"HPA"
"5","A0A087WSY6","KVD15_HUMAN","IGKV3D-15","Immunoglobulin kappa variable 3D-15",FALSE,FALSE,"HPA"
"6","A0A087WW87","KV240_HUMAN","IGKV2-40","Immunoglobulin kappa variable 2-40",FALSE,FALSE,"HPA"
"7","A0A0A0MS14","HV145_HUMAN","IGHV1-45","Immunoglobulin heavy variable 1-45",FALSE,FALSE,"HPA"
"8","A0A0A0MS15","HV349_HUMAN","IGHV3-49","Immunoglobulin heavy variable 3-49",FALSE,FALSE,"HPA"
"9","A0A0A0MT36","KVD21_HUMAN","IGKV6D-21","Immunoglobulin kappa variable 6D-21",FALSE,FALSE,"HPA"
"10","A0A0B4J1U3","LV136_HUMAN","IGLV1-36","Immunoglobulin lambda variable 1-36",FALSE,FALSE,"HPA"
"11","A0A0B4J1U7","HV601_HUMAN","IGHV6-1","Immunoglobulin heavy variable 6-1",FALSE,FALSE,"HPA"
"12","A0A0B4J1V0","HV315_HUMAN","IGHV3-15","Immunoglobulin heavy variable 3-15",FALSE,FALSE,"HPA"
"13","A0A0B4J1V1","HV321_HUMAN","IGHV3-21","Immunoglobulin heavy variable 3-21",FALSE,FALSE,"HPA"
"14","A0A0B4J1V2","HV226_HUMAN","IGHV2-26","Immunoglobulin heavy variable 2-26",FALSE,FALSE,"HPA"
"15","A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",FALSE,FALSE,"HPA"
"16","A0A0B4J1X8","HV343_HUMAN","IGHV3-43","Immunoglobulin heavy variable 3-43",FALSE,FALSE,"HPA"
"17","A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",FALSE,FALSE,"HPA"
"18","A0A0B4J2D5","GAL3B_HUMAN","GATD3B","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",FALSE,FALSE,"HPA"
"19","A0A0B4J2D9","KVD13_HUMAN","IGKV1D-13","Immunoglobulin kappa variable 1D-13",FALSE,FALSE,"HPA"
"20","A0A0B4J2H0","HV69D_HUMAN","IGHV1-69D","Immunoglobulin heavy variable 1-69D",FALSE,FALSE,"HPA"
"21","A0A0C4DH24","KV621_HUMAN","IGKV6-21","Immunoglobulin kappa variable 6-21",FALSE,FALSE,"HPA"
"22","A0A0C4DH25","KVD20_HUMAN","IGKV3D-20","Immunoglobulin kappa variable 3D-20",FALSE,FALSE,"HPA"
"23","A0A0C4DH29","HV103_HUMAN","IGHV1-3","Immunoglobulin heavy variable 1-3",FALSE,FALSE,"HPA"
"24","A0A0C4DH31","HV118_HUMAN","IGHV1-18","Immunoglobulin heavy variable 1-18",FALSE,FALSE,"HPA"
"25","A0A0C4DH34","HV428_HUMAN","IGHV4-28","Immunoglobulin heavy variable 4-28",FALSE,FALSE,"HPA"
"26","A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",FALSE,FALSE,"HPA"
"27","A0A0C4DH36","HV338_HUMAN","IGHV3-38","Probable non-functional immunoglobulin heavy variable 3-38",FALSE,FALSE,"HPA"
"28","A0A0C4DH38","HV551_HUMAN","IGHV5-51","Immunoglobulin heavy variable 5-51",FALSE,FALSE,"HPA"
"29","A0A0C4DH43","HV70D_HUMAN","IGHV2-70D","Immunoglobulin heavy variable 2-70D",FALSE,FALSE,"HPA"
"30","A0A0C4DH67","KV108_HUMAN","IGKV1-8","Immunoglobulin kappa variable 1-8",FALSE,FALSE,"HPA"
"31","A0A0C4DH68","KV224_HUMAN","IGKV2-24","Immunoglobulin kappa variable 2-24",FALSE,FALSE,"HPA"
"32","A0A0C4DH72","KV106_HUMAN","IGKV1-6","Immunoglobulin kappa variable 1-6",FALSE,FALSE,"HPA"
"33","A0A0J9YX35","HV64D_HUMAN","IGHV3-64D","Immunoglobulin heavy variable 3-64D",FALSE,FALSE,"HPA"
"34","A0A0J9YXX1","HV5X1_HUMAN","IGHV5-10-1","Immunoglobulin heavy variable 5-10-1",FALSE,FALSE,"HPA"
"35","A2NJV5","KV229_HUMAN","IGKV2-29","Immunoglobulin kappa variable 2-29",FALSE,FALSE,"HPA"
"36","B9A064","IGLL5_HUMAN","IGLL5","Immunoglobulin lambda-like polypeptide 5",FALSE,FALSE,"HPA"
"37","E9PAV3","NACAM_HUMAN","NACA","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",FALSE,FALSE,"HPA"
"38","L0R6Q1","S35U4_HUMAN","SLC35A4","SLC35A4 upstream open reading frame protein",FALSE,FALSE,"HPA"
"39","O43826","G6PT1_HUMAN","SLC37A4","Glucose-6-phosphate exchanger SLC37A4",FALSE,FALSE,"HPA"
"40","O43866","CD5L_HUMAN","CD5L","CD5 antigen-like",FALSE,FALSE,"HPA"
"41","O60938","KERA_HUMAN","KERA","Keratocan",FALSE,FALSE,"HPA"
"42","O75363","BCAS1_HUMAN","BCAS1","Breast carcinoma-amplified sequence 1",FALSE,FALSE,"HPA"
"43","O96007","MOC2B_HUMAN","MOCS2","Molybdopterin synthase catalytic subunit",FALSE,FALSE,"HPA"
"44","O96033","MOC2A_HUMAN","MOCS2","Molybdopterin synthase sulfur carrier subunit",FALSE,FALSE,"HPA"
"45","P00488","F13A_HUMAN","F13A1","Coagulation factor XIII A chain",TRUE,TRUE,"Blood Blacklist"
"46","P00734","THRB_HUMAN","F2","Prothrombin",FALSE,TRUE,"HPA"
"47","P00736","C1R_HUMAN","C1R","Complement C1r subcomponent",FALSE,FALSE,"HPA"
"48","P00738","HPT_HUMAN","HP","Haptoglobin",TRUE,TRUE,"Blood Blacklist"
"49","P00740","FA9_HUMAN","F9","Coagulation factor IX",FALSE,FALSE,"HPA"
"50","P00742","FA10_HUMAN","F10","Coagulation factor X",TRUE,TRUE,"Blood Blacklist"
"51","P00747","PLMN_HUMAN","PLG","Plasminogen",FALSE,TRUE,"HPA"
