"","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"1","P02042","HBD_HUMAN","HBD","Hemoglobin subunit delta",9,325429815,NA,NA,FALSE,TRUE,"HPA"
"2","P00915","CAH1_HUMAN","CA1","Carbonic anhydrase 1",17,247052161,NA,NA,FALSE,FALSE,"HPA"
"3","P02647","APOA1_HUMAN","APOA1","Apolipoprotein A-I",29,168566697,NA,NA,FALSE,TRUE,"HPA"
"4","P01834","IGKC_HUMAN","IGKC","Immunoglobulin kappa constant",11,139171210,NA,NA,FALSE,TRUE,"HPA"
"5","P02652","APOA2_HUMAN","APOA2","Apolipoprotein A-II",7,56617335,NA,NA,FALSE,TRUE,"HPA"
"6","P69891","HBG1_HUMAN","HBG1","Hemoglobin subunit gamma-1",11,41955248,NA,NA,FALSE,TRUE,"HPA"
"7","P02790","HEMO_HUMAN","HPX","Hemopexin",23,40889233,NA,NA,FALSE,TRUE,"HPA"
"8","P02730","B3AT_HUMAN","SLC4A1","Band 3 anion transport protein",26,33709420,NA,NA,FALSE,FALSE,"HPA"
"9","P02689","MYP2_HUMAN","PMP2","Myelin P2 protein",5,15978130,NA,NA,FALSE,FALSE,"HPA"
"10","P19652","A1AG2_HUMAN","ORM2","Alpha-1-acid glycoprotein 2",6,15088460,NA,NA,FALSE,TRUE,"HPA"
"11","P02765","FETUA_HUMAN","AHSG","Alpha-2-HS-glycoprotein",8,14171536,NA,NA,FALSE,FALSE,"HPA"
"12","P12532","KCRU_HUMAN","CKMT1A","Creatine kinase U-type, mitochondrial",5,11784513,NA,NA,FALSE,FALSE,"HPA"
"13","P02774","VTDB_HUMAN","GC","Vitamin D-binding protein",27,10788937,NA,NA,FALSE,TRUE,"HPA"
"14","P02656","APOC3_HUMAN","APOC3","Apolipoprotein C-III",2,10668989,NA,NA,FALSE,TRUE,"HPA"
"15","A0A0B4J2D5","GAL3B_HUMAN","GATD3B","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",11,10199474,NA,NA,FALSE,FALSE,"HPA"
"16","A0A087WW87","KV240_HUMAN","IGKV2-40","Immunoglobulin kappa variable 2-40",3,9470738,NA,NA,FALSE,FALSE,"HPA"
