uniprot_id,gene,description,in_hpa_muscle,in_blood_blacklist,reason
P68871,HBB,Hemoglobin subunit beta,TRUE,TRUE,Contaminant
P69905,HBA1,Hemoglobin subunit alpha,TRUE,TRUE,Contaminant
P02768,ALB,Serum albumin,TRUE,TRUE,Contaminant
P02042,HBD,Hemoglobin subunit delta,FALSE,TRUE,Contaminant
P00915,CA1,Carbonic anhydrase 1,FALSE,FALSE,Contaminant
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,TRUE,TRUE,Contaminant
P02647,APOA1,Apolipoprotein A-I,FALSE,TRUE,Contaminant
P01834,IGKC,Immunoglobulin kappa constant,FALSE,TRUE,Contaminant
P01859,IGHG2,Immunoglobulin heavy constant gamma 2,TRUE,TRUE,Contaminant
P02787,TF,Serotransferrin,TRUE,TRUE,Contaminant
P00738,HP,Haptoglobin,TRUE,TRUE,Contaminant
P0DOY2,IGLC2,Immunoglobulin lambda constant 2,TRUE,TRUE,Contaminant
P02652,APOA2,Apolipoprotein A-II,FALSE,TRUE,Contaminant
P69891,HBG1,Hemoglobin subunit gamma-1,FALSE,TRUE,Contaminant
P02763,ORM1,Alpha-1-acid glycoprotein 1,TRUE,TRUE,Contaminant
P02790,HPX,Hemopexin,FALSE,TRUE,Contaminant
P01876,IGHA1,Immunoglobulin heavy constant alpha 1,TRUE,TRUE,Contaminant
P02730,SLC4A1,Band 3 anion transport protein,FALSE,FALSE,Contaminant
P01024,C3,Complement C3,TRUE,TRUE,Contaminant
P02766,TTR,Transthyretin,TRUE,TRUE,Contaminant
P01023,A2M,Alpha-2-macroglobulin,TRUE,TRUE,Contaminant
Q9NWX5,ASB6,Ankyrin repeat and SOCS box protein 6,TRUE,FALSE,Missingness
P02689,PMP2,Myelin P2 protein,FALSE,FALSE,Contaminant
P25189,MPZ,Myelin protein P0,TRUE,FALSE,Missingness
P19652,ORM2,Alpha-1-acid glycoprotein 2,FALSE,TRUE,Contaminant
P69892,HBG2,Hemoglobin subunit gamma-2,TRUE,TRUE,Contaminant
P02765,AHSG,Alpha-2-HS-glycoprotein,FALSE,FALSE,Contaminant
P01871,IGHM,Immunoglobulin heavy constant mu,TRUE,TRUE,Contaminant
P12532,CKMT1A,"Creatine kinase U-type, mitochondrial",FALSE,FALSE,Contaminant
Q9NZT1,CALML5,Calmodulin-like protein 5,TRUE,FALSE,Missingness
P02774,GC,Vitamin D-binding protein,FALSE,TRUE,Contaminant
P02656,APOC3,Apolipoprotein C-III,FALSE,TRUE,Contaminant
Q9BXM0,PRX,Periaxin,TRUE,FALSE,Missingness
A0A0B4J2D5,GATD3B,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",FALSE,FALSE,Contaminant
P02686,MBP,Myelin basic protein,TRUE,FALSE,Missingness
A0A087WW87,IGKV2-40,Immunoglobulin kappa variable 2-40,FALSE,FALSE,Contaminant
P02679,FGG,Fibrinogen gamma chain,FALSE,TRUE,Contaminant
P02671,FGA,Fibrinogen alpha chain,FALSE,TRUE,Contaminant
P06727,APOA4,Apolipoprotein A-IV,FALSE,FALSE,Contaminant
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,FALSE,FALSE,Contaminant
P02749,APOH,Beta-2-glycoprotein 1,FALSE,TRUE,Contaminant
P01042,KNG1,Kininogen-1,FALSE,TRUE,Contaminant
B9A064,IGLL5,Immunoglobulin lambda-like polypeptide 5,FALSE,FALSE,Contaminant
P10909,CLU,Clusterin,TRUE,TRUE,Contaminant
P0C0L5,C4B,Complement C4-B,FALSE,TRUE,Contaminant
P01860,IGHG3,Immunoglobulin heavy constant gamma 3,FALSE,TRUE,Contaminant
Q9Y2H6,FNDC3A,Fibronectin type-III domain-containing protein 3A,TRUE,FALSE,Missingness
P04004,VTN,Vitronectin,FALSE,FALSE,Contaminant
P04217,A1BG,Alpha-1B-glycoprotein,FALSE,TRUE,Contaminant
P31151,S100A7,Protein S100-A7,FALSE,FALSE,Contaminant
P10412,H1-4,Histone H1.4,FALSE,FALSE,Contaminant
P00747,PLG,Plasminogen,FALSE,TRUE,Contaminant
P68032,ACTC1,"Actin, alpha cardiac muscle 1",TRUE,FALSE,Missingness
P01008,SERPINC1,Antithrombin-III,FALSE,TRUE,Contaminant
P01861,IGHG4,Immunoglobulin heavy constant gamma 4,FALSE,TRUE,Contaminant
P04114,APOB,Apolipoprotein B-100,FALSE,TRUE,Contaminant
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,FALSE,FALSE,Contaminant
P02654,APOC1,Apolipoprotein C-I,TRUE,TRUE,Contaminant
P02743,APCS,Serum amyloid P-component,FALSE,FALSE,Contaminant
Q14894,CRYM,Ketimine reductase mu-crystallin,TRUE,FALSE,Missingness
P02675,FGB,Fibrinogen beta chain,FALSE,TRUE,Contaminant
P14555,PLA2G2A,"Phospholipase A2, membrane associated",TRUE,FALSE,Missingness
P02549,SPTA1,"Spectrin alpha chain, erythrocytic 1",FALSE,FALSE,Contaminant
P00734,F2,Prothrombin,FALSE,TRUE,Contaminant
Q14624,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,TRUE,TRUE,Contaminant
Q06828,FMOD,Fibromodulin,TRUE,FALSE,Missingness
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,FALSE,TRUE,Contaminant
P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,FALSE,TRUE,Contaminant
P0CG38,POTEI,POTE ankyrin domain family member I,FALSE,FALSE,Contaminant
P02760,AMBP,Protein AMBP,FALSE,FALSE,Contaminant
Q9NZD4,AHSP,Alpha-hemoglobin-stabilizing protein,FALSE,FALSE,Contaminant
P08727,KRT19,"Keratin, type I cytoskeletal 19",TRUE,FALSE,Missingness
P31944,CASP14,Caspase-14,TRUE,FALSE,Missingness
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,FALSE,FALSE,Contaminant
P18577,RHCE,Blood group Rh(CE) polypeptide,TRUE,FALSE,Missingness
Q6P4A7,SFXN4,Sideroflexin-4,TRUE,FALSE,Missingness
Q5VVW2,GARNL3,GTPase-activating Rap/Ran-GAP domain-like protein 3,TRUE,FALSE,Missingness
Q8IYJ1,CPNE9,Copine-9,FALSE,FALSE,Contaminant
P04003,C4BPA,C4b-binding protein alpha chain,FALSE,TRUE,Contaminant
Q16778,HIST2H2BE,Histone H2B type 2-E,TRUE,FALSE,Missingness
P04196,HRG,Histidine-rich glycoprotein,FALSE,FALSE,Contaminant
P49207,RPL34,60S ribosomal protein L34,TRUE,FALSE,Missingness
Q8IXB3,TRARG1,Trafficking regulator of GLUT4 1,TRUE,FALSE,Missingness
P02452,COL1A1,Collagen alpha-1(I) chain,TRUE,FALSE,Missingness
O15260,SURF4,Surfeit locus protein 4,TRUE,FALSE,Missingness
P06331,IGHV4-34,Immunoglobulin heavy variable 4-34,FALSE,FALSE,Contaminant
P35443,THBS4,Thrombospondin-4,TRUE,FALSE,Missingness
P30613,PKLR,Pyruvate kinase PKLR,FALSE,FALSE,Contaminant
O15273,TCAP,Telethonin,TRUE,FALSE,Missingness
P05787,KRT8,"Keratin, type II cytoskeletal 8",TRUE,FALSE,Missingness
P02655,APOC2,Apolipoprotein C-II,TRUE,TRUE,Contaminant
Q08043,ACTN3,Alpha-actinin-3,TRUE,FALSE,Missingness
P01743,IGHV1-46,Immunoglobulin heavy variable 1-46,FALSE,FALSE,Contaminant
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,FALSE,FALSE,Contaminant
P55008,AIF1,Allograft inflammatory factor 1,TRUE,FALSE,Missingness
P35527,KRT9,"Keratin, type I cytoskeletal 9",FALSE,FALSE,Contaminant
Q7Z6K5,ARPIN,Arpin,TRUE,FALSE,Missingness
P05546,SERPIND1,Heparin cofactor 2,FALSE,TRUE,Contaminant
P02745,C1QA,Complement C1q subcomponent subunit A,TRUE,TRUE,Contaminant
P30711,GSTT1,Glutathione S-transferase theta-1,FALSE,FALSE,Contaminant
P16452,EPB42,Erythrocyte membrane protein band 4.2,FALSE,FALSE,Contaminant
P50914,RPL14,60S ribosomal protein L14,TRUE,FALSE,Missingness
