uniprot_id,gene,n_miss,pct_miss,mean_int,class
P68871,HBB,0,0,32.426307258999515,Complete
P69905,HBA1,0,0,31.61696368788159,Complete
P02144,MB,0,0,31.145135981718152,Complete
P02768,ALB,0,0,30.539473803462844,Complete
P06732,CKM,0,0,30.438248305886173,Complete
P04075,ALDOA,0,0,29.683934227475564,Complete
P04406,GAPDH,0,0,29.594227025574792,Complete
P12277,CKB,0,0,29.41652512215671,Complete
P07451,CA3,0,0,29.145844912285227,Complete
Q13642,FHL1,0,0,28.67408610959721,Complete
P68133,ACTA1,0,0,28.029769010207957,Complete
P06733,ENO1,0,0,28.335673348957727,Complete
P13929,ENO3,0,0,27.797964053363184,Complete
P60709,ACTB,0,0,27.499495344008007,Complete
P01857,IGHG1,0,0,26.87581382249051,Complete
P32119,PRDX2,0,0,27.372527361342907,Complete
P14618,PKM,0,0,27.458902492128416,Complete
P60174,TPI1,0,0,27.414915694882236,Complete
P09104,ENO2,0,0,27.224688194985163,Complete
P18669,PGAM1,0,0,27.317565825165573,Complete
P31415,CASQ1,2,5.128205128205128,27.137303718766372,MNAR
P00558,PGK1,0,0,27.1411701024782,Complete
P04792,HSPB1,0,0,27.11809874877478,Complete
P05976,MYL1,1,2.564102564102564,26.491457609096518,MNAR
P11217,PYGM,0,0,26.66232333604621,Complete
P02511,CRYAB,0,0,26.89833217940946,Complete
P00338,LDHA,0,0,26.775036911020262,Complete
P10916,MYL2,1,2.564102564102564,26.4239729298785,MNAR
P00568,AK1,0,0,26.63889029624804,Complete
P15090,FABP4,0,0,25.44682763069513,Complete
P05413,FABP3,0,0,26.484029811760475,Complete
O14983,ATP2A1,2,5.128205128205128,26.421961465590655,MNAR
P00918,CA2,0,0,26.263368211663337,Complete
P40925,MDH1,0,0,26.536581978144024,Complete
P01009,SERPINA1,0,0,25.913792010073717,Complete
P12883,MYH7,1,2.564102564102564,25.827259792498975,MNAR
P01859,IGHG2,0,0,25.596459684230933,Complete
P15259,PGAM2,1,2.564102564102564,26.196895839460502,MNAR
P11216,PYGB,0,0,26.197525195226497,Complete
P30041,PRDX6,0,0,26.093219418028085,Complete
P48735,IDH2,0,0,26.106089002734468,Complete
Q9UKX2,MYH2,1,2.564102564102564,25.50049842289116,MNAR
Q96A32,MYLPF,2,5.128205128205128,25.73021552216816,MNAR
P16615,ATP2A2,0,0,25.888729847917833,Complete
P02787,TF,0,0,25.517813208725588,Complete
P06576,ATP5F1B,0,0,26.081496977649483,Complete
P40926,MDH2,0,0,26.001872535550763,Complete
P00738,HP,0,0,24.931519192566284,Complete
P25705,ATP5F1A,0,0,25.901258233762412,Complete
P0DOY2,IGLC2,0,0,24.79417814785501,Complete
P12882,MYH1,3,7.6923076923076925,25.13055315074206,MNAR
P08237,PFKM,0,0,25.522250495523263,Complete
P23297,S100A1,0,0,25.45522716569924,Complete
O14558,HSPB6,0,0,25.683920929568007,Complete
P68104,EEF1A1,0,0,25.820862676881756,Complete
O00757,FBP2,2,5.128205128205128,25.445124135077275,MNAR
P18085,ARF4,0,0,25.71923808104082,Complete
P12235,SLC25A4,0,0,25.280265479775476,Complete
P02585,TNNC2,2,5.128205128205128,25.01414054156736,MNAR
P36871,PGM1,0,0,25.46869128621219,Complete
P62258,YWHAE,0,0,25.57954268373716,Complete
P17174,GOT1,0,0,25.27669050258428,Complete
P17540,CKMT2,0,0,25.106339164441426,Complete
P60660,MYL6,0,0,25.358693963881176,Complete
Q93084,ATP2A3,3,7.6923076923076925,24.652553551657828,MNAR
P62979,RPS27A,0,0,25.26936625857918,Complete
Q53GG5,PDLIM3,1,2.564102564102564,25.131717805982277,MNAR
P30086,PEBP1,0,0,25.2729634228798,Complete
P07951,TPM2,0,0,24.433673468363548,Complete
P00441,SOD1,0,0,25.263888680037525,Complete
P02763,ORM1,0,0,24.453400874840664,Complete
P06744,GPI,0,0,25.204764445383663,Complete
P07437,TUBB,0,0,25.253640295209728,Complete
Q99497,PARK7,0,0,25.11226562322285,Complete
P00505,GOT2,0,0,24.80168562952037,Complete
P08590,MYL3,0,0,24.403489988466703,Complete
P00403,MT-CO2,0,0,24.99271590089052,Complete
P01876,IGHA1,1,2.564102564102564,23.975185504105024,MNAR
Q06830,PRDX1,0,0,25.117329902153987,Complete
P09972,ALDOC,0,0,24.909981435424008,Complete
P99999,CYCS,0,0,24.871896276701555,Complete
P09493,TPM1,0,0,24.118267403599372,Complete
P62937,PPIA,0,0,24.882686506690355,Complete
P21695,GPD1,0,0,24.935285910050446,Complete
P23528,CFL1,0,0,24.87220860047145,Complete
P08670,VIM,0,0,23.330290197753982,Complete
O75390,CS,0,0,24.803808755259222,Complete
Q16698,DECR1,0,0,24.757033296096875,Complete
P11142,HSPA8,0,0,24.916146011056963,Complete
P40939,HADHA,0,0,24.73925252340552,Complete
Q99798,ACO2,0,0,24.68299701370807,Complete
P09382,LGALS1,0,0,24.774618580284887,Complete
P30043,BLVRB,0,0,24.384296441297746,Complete
P24752,ACAT1,0,0,24.67460225314461,Complete
P07355,ANXA2,0,0,24.27908521037593,Complete
P50461,CSRP3,2,5.128205128205128,24.586896605455284,MNAR
O75112,LDB3,2,5.128205128205128,24.56837889875747,MNAR
P14550,AKR1A1,0,0,24.714513623476396,Complete
P28161,GSTM2,0,0,24.53510618362826,Complete
Q00872,MYBPC1,2,5.128205128205128,24.23246260377717,MNAR
P48788,TNNI2,3,7.6923076923076925,23.84532828417912,MNAR
P08133,ANXA6,0,0,24.655292542774244,Complete
P01024,C3,0,0,23.544092422824473,Complete
Q9Y281,CFL2,0,0,24.507744413325135,Complete
P02766,TTR,0,0,23.923315820754045,Complete
P21796,VDAC1,0,0,24.40693592410936,Complete
P10599,TXN,0,0,24.478594759569503,Complete
Q14315,FLNC,1,2.564102564102564,24.230605685779995,MNAR
P01023,A2M,0,0,23.44331460871649,Complete
P0DP23,CALM1,0,0,24.351398548634254,Complete
P45378,TNNT3,2,5.128205128205128,23.43605177042413,MNAR
P07195,LDHB,0,0,24.26451054935629,Complete
P06703,S100A6,3,7.6923076923076925,23.446862414199213,MNAR
O00499,BIN1,0,0,24.20052278453111,Complete
P49748,ACADVL,0,0,24.175183227351535,Complete
P15121,AKR1B1,0,0,24.103447892569335,Complete
P30048,PRDX3,0,0,24.22996066474506,Complete
P55084,HADHB,0,0,24.13062958576996,Complete
P04040,CAT,0,0,23.338414770629374,Complete
P26447,S100A4,0,0,23.49687079550084,Complete
P22695,UQCRC2,0,0,24.03900907706698,Complete
P68363,TUBA1B,0,0,24.198489342221865,Complete
P12236,SLC25A6,0,0,23.822576066498293,Complete
P05141,SLC25A5,0,0,24.01993982364951,Complete
P08758,ANXA5,0,0,23.816458143479437,Complete
P62807,H2BC4,0,0,23.6623650884098,Complete
P68366,TUBA4A,0,0,23.891620875906167,Complete
P07585,DCN,0,0,23.098879584615613,Complete
Q9Y235,APOBEC2,1,2.564102564102564,23.83378898679563,MNAR
P07900,HSP90AA1,0,0,24.037456609064645,Complete
Q05639,EEF1A2,2,5.128205128205128,23.954396022726847,MNAR
P56134,ATP5MF,0,0,23.95845457156125,Complete
Q8WZ42,TTN,2,5.128205128205128,23.270693686625677,MNAR
Q86TD4,SRL,2,5.128205128205128,23.96265185374754,MNAR
P0DMV8,HSPA1A,0,0,24.047115724640268,Complete
P10606,COX5B,0,0,23.869789428400743,Complete
P63316,TNNC1,2,5.128205128205128,23.465583729376,MNAR
Q13228,SELENBP1,0,0,23.832747252420273,Complete
P30084,ECHS1,0,0,23.96602220704034,Complete
O00483,NDUFA4,0,0,23.744145392382087,Complete
O75964,ATP5MG,0,0,23.782027140093103,Complete
P07737,PFN1,0,0,23.840052551583526,Complete
P36542,ATP5F1C,0,0,23.776738689019368,Complete
Q9GZV1,ANKRD2,2,5.128205128205128,23.680552024316288,MNAR
P31930,UQCRC1,0,0,23.781764314200537,Complete
Q16836,HADH,0,0,23.882612342771584,Complete
Q96HC4,PDLIM5,0,0,23.60262991141119,Complete
P61981,YWHAG,0,0,23.859623971487448,Complete
O60240,PLIN1,4,10.256410256410255,21.770493183732626,MNAR
P24310,COX7A1,0,0,23.721864766734956,Complete
P07108,DBI,0,0,23.85901117928681,Complete
P04179,SOD2,0,0,23.827477358403343,Complete
P06753,TPM3,0,0,23.072501153382373,Complete
P68371,TUBB4B,0,0,23.888482706940273,Complete
Q6ZMU5,TRIM72,2,5.128205128205128,23.774492071717294,MNAR
P13073,COX4I1,0,0,23.709792311855832,Complete
Q16851,UGP2,0,0,23.8350019305706,Complete
P48047,ATP5PO,0,0,23.7154299956559,Complete
P04083,ANXA1,0,0,22.72581143564189,Complete
P51884,LUM,0,0,23.058506509705385,Complete
O14958,CASQ2,2,5.128205128205128,23.581682613006883,MNAR
P09417,QDPR,0,0,23.701383262237034,Complete
Q96DG6,CMBL,0,0,23.498800753934518,Complete
P54296,MYOM2,2,5.128205128205128,23.420037311803505,MNAR
P69892,HBG2,8,20.51282051282051,21.76786448059643,MNAR
Q09666,AHNAK,0,0,23.074797654939946,Complete
Q04760,GLO1,0,0,23.65513514662091,Complete
P14174,MIF,0,0,23.55256512556603,Complete
Q9Y277,VDAC3,0,0,23.500941846488296,Complete
P09211,GSTP1,0,0,23.618268125618226,Complete
Q13011,ECH1,0,0,23.532146563234996,Complete
P06396,GSN,0,0,23.234235158982763,Complete
Q00325,SLC25A3,0,0,23.497754946893405,Complete
O75947,ATP5PD,0,0,23.43219783614246,Complete
Q8N142,ADSS1,2,5.128205128205128,23.436061191512174,MNAR
Q6NZI2,CAVIN1,0,0,22.981909663309427,Complete
P00846,MT-ATP6,8,20.51282051282051,23.30392386776994,MNAR
P19237,TNNI1,2,5.128205128205128,22.871469660302377,MNAR
Q9UBY9,HSPB7,1,2.564102564102564,23.407402899880122,MNAR
P01871,IGHM,0,0,22.012199233163404,Complete
P04080,CSTB,0,0,23.421936881207937,Complete
O75298,RTN2,2,5.128205128205128,23.372520149129915,MNAR
P13796,LCP1,0,0,22.87184482526752,Complete
P35609,ACTN2,2,5.128205128205128,21.59995988780742,MNAR
Q13423,NNT,0,0,23.31067546661282,Complete
P13805,TNNT1,2,5.128205128205128,22.69471303382229,MNAR
P30044,PRDX5,0,0,23.404615625378334,Complete
Q9Y2J8,PADI2,2,5.128205128205128,23.374345632931828,MNAR
Q9UDW1,UQCR10,2,5.128205128205128,23.274266569395863,MNAR
P13804,ETFA,0,0,23.342351117422346,Complete
P33121,ACSL1,0,0,23.428962200110874,Complete
P35754,GLRX,2,5.128205128205128,22.287381977668815,MNAR
P07954,FH,0,0,23.267921498177486,Complete
P49773,HINT1,0,0,23.34824043806874,Complete
P11055,MYH3,6,15.384615384615385,22.522749464420738,MNAR
O75323,NIPSNAP2,1,2.564102564102564,23.207834841381434,MNAR
P02794,FTH1,0,0,23.218944824662014,Complete
P45880,VDAC2,0,0,23.262289853788584,Complete
Q6FI13,HIST2H2AA3,0,0,22.66030397011213,Complete
P14621,ACYP2,0,0,23.057089181574092,Complete
P09669,COX6C,0,0,23.12501095373163,Complete
P20674,COX5A,0,0,23.14661688302554,Complete
