criterion,n_up,n_down,n_total,method,contrast
nominal_p05,52,46,98,cycloess_none,Baseline_CREvPLA
FDR_05,0,0,0,cycloess_none,Baseline_CREvPLA
FDR_10,0,0,0,cycloess_none,Baseline_CREvPLA
pi_05,0,0,0,cycloess_none,Baseline_CREvPLA
nominal_p05,80,88,168,cycloess_none,Training_CREvPLA
FDR_05,0,2,2,cycloess_none,Training_CREvPLA
FDR_10,7,7,14,cycloess_none,Training_CREvPLA
pi_05,2,6,8,cycloess_none,Training_CREvPLA
nominal_p05,134,115,249,cycloess_none,Training_CRE
FDR_05,2,0,2,cycloess_none,Training_CRE
FDR_10,16,5,21,cycloess_none,Training_CRE
pi_05,6,1,7,cycloess_none,Training_CRE
nominal_p05,96,89,185,cycloess_none,Training_PLA
FDR_05,0,1,1,cycloess_none,Training_PLA
FDR_10,3,3,6,cycloess_none,Training_PLA
pi_05,2,3,5,cycloess_none,Training_PLA
nominal_p05,53,69,122,cycloess_none,Interaction
FDR_05,2,1,3,cycloess_none,Interaction
FDR_10,2,4,6,cycloess_none,Interaction
pi_05,3,4,7,cycloess_none,Interaction
nominal_p05,52,48,100,rlr_none,Baseline_CREvPLA
FDR_05,0,0,0,rlr_none,Baseline_CREvPLA
FDR_10,0,0,0,rlr_none,Baseline_CREvPLA
pi_05,0,0,0,rlr_none,Baseline_CREvPLA
nominal_p05,83,87,170,rlr_none,Training_CREvPLA
FDR_05,2,2,4,rlr_none,Training_CREvPLA
FDR_10,7,6,13,rlr_none,Training_CREvPLA
pi_05,2,6,8,rlr_none,Training_CREvPLA
nominal_p05,125,113,238,rlr_none,Training_CRE
FDR_05,3,0,3,rlr_none,Training_CRE
FDR_10,15,5,20,rlr_none,Training_CRE
pi_05,5,1,6,rlr_none,Training_CRE
nominal_p05,97,103,200,rlr_none,Training_PLA
FDR_05,0,2,2,rlr_none,Training_PLA
FDR_10,3,4,7,rlr_none,Training_PLA
pi_05,2,4,6,rlr_none,Training_PLA
nominal_p05,59,63,122,rlr_none,Interaction
FDR_05,2,1,3,rlr_none,Interaction
FDR_10,2,3,5,rlr_none,Interaction
pi_05,3,3,6,rlr_none,Interaction
nominal_p05,48,46,94,vsn_none,Baseline_CREvPLA
FDR_05,0,0,0,vsn_none,Baseline_CREvPLA
FDR_10,0,0,0,vsn_none,Baseline_CREvPLA
pi_05,0,0,0,vsn_none,Baseline_CREvPLA
nominal_p05,109,78,187,vsn_none,Training_CREvPLA
FDR_05,3,2,5,vsn_none,Training_CREvPLA
FDR_10,11,6,17,vsn_none,Training_CREvPLA
pi_05,4,4,8,vsn_none,Training_CREvPLA
nominal_p05,138,135,273,vsn_none,Training_CRE
FDR_05,3,0,3,vsn_none,Training_CRE
FDR_10,17,4,21,vsn_none,Training_CRE
pi_05,7,1,8,vsn_none,Training_CRE
nominal_p05,65,112,177,vsn_none,Training_PLA
FDR_05,0,1,1,vsn_none,Training_PLA
FDR_10,3,7,10,vsn_none,Training_PLA
pi_05,2,5,7,vsn_none,Training_PLA
nominal_p05,80,53,133,vsn_none,Interaction
FDR_05,2,1,3,vsn_none,Interaction
FDR_10,3,3,6,vsn_none,Interaction
pi_05,6,4,10,vsn_none,Interaction
nominal_p05,50,34,84,cycloess_bpca,Baseline_CREvPLA
FDR_05,0,0,0,cycloess_bpca,Baseline_CREvPLA
FDR_10,0,0,0,cycloess_bpca,Baseline_CREvPLA
pi_05,0,0,0,cycloess_bpca,Baseline_CREvPLA
nominal_p05,83,118,201,cycloess_bpca,Training_CREvPLA
FDR_05,6,9,15,cycloess_bpca,Training_CREvPLA
FDR_10,9,17,26,cycloess_bpca,Training_CREvPLA
pi_05,2,11,13,cycloess_bpca,Training_CREvPLA
nominal_p05,146,122,268,cycloess_bpca,Training_CRE
FDR_05,7,1,8,cycloess_bpca,Training_CRE
FDR_10,10,5,15,cycloess_bpca,Training_CRE
pi_05,6,0,6,cycloess_bpca,Training_CRE
nominal_p05,116,74,190,cycloess_bpca,Training_PLA
FDR_05,0,0,0,cycloess_bpca,Training_PLA
FDR_10,3,3,6,cycloess_bpca,Training_PLA
pi_05,2,0,2,cycloess_bpca,Training_PLA
nominal_p05,38,78,116,cycloess_bpca,Interaction
FDR_05,0,0,0,cycloess_bpca,Interaction
FDR_10,2,3,5,cycloess_bpca,Interaction
pi_05,2,3,5,cycloess_bpca,Interaction
nominal_p05,50,44,94,rlr_bpca,Baseline_CREvPLA
FDR_05,0,0,0,rlr_bpca,Baseline_CREvPLA
FDR_10,0,0,0,rlr_bpca,Baseline_CREvPLA
pi_05,0,0,0,rlr_bpca,Baseline_CREvPLA
nominal_p05,92,117,209,rlr_bpca,Training_CREvPLA
FDR_05,6,9,15,rlr_bpca,Training_CREvPLA
FDR_10,7,13,20,rlr_bpca,Training_CREvPLA
pi_05,2,9,11,rlr_bpca,Training_CREvPLA
nominal_p05,139,125,264,rlr_bpca,Training_CRE
FDR_05,7,1,8,rlr_bpca,Training_CRE
FDR_10,10,5,15,rlr_bpca,Training_CRE
pi_05,5,0,5,rlr_bpca,Training_CRE
nominal_p05,121,84,205,rlr_bpca,Training_PLA
FDR_05,0,0,0,rlr_bpca,Training_PLA
FDR_10,3,3,6,rlr_bpca,Training_PLA
pi_05,2,1,3,rlr_bpca,Training_PLA
nominal_p05,42,72,114,rlr_bpca,Interaction
FDR_05,1,0,1,rlr_bpca,Interaction
FDR_10,2,2,4,rlr_bpca,Interaction
pi_05,2,2,4,rlr_bpca,Interaction
nominal_p05,49,36,85,vsn_bpca,Baseline_CREvPLA
FDR_05,0,0,0,vsn_bpca,Baseline_CREvPLA
FDR_10,0,0,0,vsn_bpca,Baseline_CREvPLA
pi_05,0,0,0,vsn_bpca,Baseline_CREvPLA
nominal_p05,126,98,224,vsn_bpca,Training_CREvPLA
FDR_05,8,6,14,vsn_bpca,Training_CREvPLA
FDR_10,20,10,30,vsn_bpca,Training_CREvPLA
