contrast,method_a,method_b,spearman_rho
Baseline_CREvPLA,rlr_none,cycloess_none,0.9950685456534791
Baseline_CREvPLA,vsn_none,cycloess_none,0.9954157290821615
Baseline_CREvPLA,cycloess_bpca,cycloess_none,0.9723286954733229
Baseline_CREvPLA,rlr_bpca,cycloess_none,0.9666472862586908
Baseline_CREvPLA,vsn_bpca,cycloess_none,0.9670084083222675
Baseline_CREvPLA,cycloess_RF,cycloess_none,0.9806581345785688
Baseline_CREvPLA,rlr_RF,cycloess_none,0.9767348543632746
Baseline_CREvPLA,vsn_RF,cycloess_none,0.9763055962556407
Baseline_CREvPLA,cycloess_knn,cycloess_none,0.9753395934050585
Baseline_CREvPLA,rlr_knn,cycloess_none,0.9719068830929384
Baseline_CREvPLA,vsn_knn,cycloess_none,0.9717228223804956
Baseline_CREvPLA,vsn_none,rlr_none,0.9913825175196314
Baseline_CREvPLA,cycloess_bpca,rlr_none,0.9716544648702604
Baseline_CREvPLA,rlr_bpca,rlr_none,0.9743869214449749
Baseline_CREvPLA,vsn_bpca,rlr_none,0.96932584929644094
Baseline_CREvPLA,cycloess_RF,rlr_none,0.975275042022864
Baseline_CREvPLA,rlr_RF,rlr_none,0.9809753685694217
Baseline_CREvPLA,vsn_RF,rlr_none,0.9740164239798509
Baseline_CREvPLA,cycloess_knn,rlr_none,0.9706507166290153
Baseline_CREvPLA,rlr_knn,rlr_none,0.9760715889112248
Baseline_CREvPLA,vsn_knn,rlr_none,0.9708989424454347
Baseline_CREvPLA,cycloess_bpca,vsn_none,0.9713820322855179
Baseline_CREvPLA,rlr_bpca,vsn_none,0.9663927117451607
Baseline_CREvPLA,vsn_bpca,vsn_none,0.9722684635400007
Baseline_CREvPLA,cycloess_RF,vsn_none,0.980282078140691
Baseline_CREvPLA,rlr_RF,vsn_none,0.9767401815690977
Baseline_CREvPLA,vsn_RF,vsn_none,0.981975175056052
Baseline_CREvPLA,cycloess_knn,vsn_none,0.9738580464769196
Baseline_CREvPLA,rlr_knn,vsn_none,0.9711477313696565
Baseline_CREvPLA,vsn_knn,vsn_none,0.976106084414481
Baseline_CREvPLA,rlr_bpca,cycloess_bpca,0.9952036520397709
Baseline_CREvPLA,vsn_bpca,cycloess_bpca,0.9966699435534901
Baseline_CREvPLA,cycloess_RF,cycloess_bpca,0.9893015680880134
Baseline_CREvPLA,rlr_RF,cycloess_bpca,0.9872339873163195
Baseline_CREvPLA,vsn_RF,cycloess_bpca,0.9872371118779044
Baseline_CREvPLA,cycloess_knn,cycloess_bpca,0.9816083446588103
Baseline_CREvPLA,rlr_knn,cycloess_bpca,0.9791604841407227
Baseline_CREvPLA,vsn_knn,cycloess_bpca,0.9799745835113058
Baseline_CREvPLA,vsn_bpca,rlr_bpca,0.9949643535421656
Baseline_CREvPLA,cycloess_RF,rlr_bpca,0.9816066622025723
Baseline_CREvPLA,rlr_RF,rlr_bpca,0.9900960548258786
Baseline_CREvPLA,vsn_RF,rlr_bpca,0.9827686660545113
Baseline_CREvPLA,cycloess_knn,rlr_bpca,0.9758422186222161
Baseline_CREvPLA,rlr_knn,rlr_bpca,0.9827609954274993
Baseline_CREvPLA,vsn_knn,rlr_bpca,0.9780958687530859
Baseline_CREvPLA,cycloess_RF,vsn_bpca,0.9853623371575071
Baseline_CREvPLA,rlr_RF,vsn_bpca,0.9861646696351765
Baseline_CREvPLA,vsn_RF,vsn_bpca,0.9894550149640919
Baseline_CREvPLA,cycloess_knn,vsn_bpca,0.9774366394792153
Baseline_CREvPLA,rlr_knn,vsn_bpca,0.9778900270995285
Baseline_CREvPLA,vsn_knn,vsn_bpca,0.9819468119341043
Baseline_CREvPLA,rlr_RF,cycloess_RF,0.993116175364666
Baseline_CREvPLA,vsn_RF,cycloess_RF,0.9962817099093914
Baseline_CREvPLA,cycloess_knn,cycloess_RF,0.9919745361003759
Baseline_CREvPLA,rlr_knn,cycloess_RF,0.9859897233718844
Baseline_CREvPLA,vsn_knn,cycloess_RF,0.9888710429878246
Baseline_CREvPLA,vsn_RF,rlr_RF,0.9935496293121426
Baseline_CREvPLA,cycloess_knn,rlr_RF,0.9878467739308515
Baseline_CREvPLA,rlr_knn,rlr_RF,0.9929653860827267
Baseline_CREvPLA,vsn_knn,rlr_RF,0.989107453841152
Baseline_CREvPLA,cycloess_knn,vsn_RF,0.988694896686869
Baseline_CREvPLA,rlr_knn,vsn_RF,0.9859938900262616
Baseline_CREvPLA,vsn_knn,vsn_RF,0.9918270155905562
Baseline_CREvPLA,rlr_knn,cycloess_knn,0.9933654621585908
Baseline_CREvPLA,vsn_knn,cycloess_knn,0.9962372810471622
Baseline_CREvPLA,vsn_knn,rlr_knn,0.9938935783045468
Training_CREvPLA,rlr_none,cycloess_none,0.9976167835708792
Training_CREvPLA,vsn_none,cycloess_none,0.9541422997931756
Training_CREvPLA,cycloess_bpca,cycloess_none,0.9769768173221876
Training_CREvPLA,rlr_bpca,cycloess_none,0.9756655796019333
Training_CREvPLA,vsn_bpca,cycloess_none,0.9321886802977736
Training_CREvPLA,cycloess_RF,cycloess_none,0.9854530953707975
Training_CREvPLA,rlr_RF,cycloess_none,0.9830197880991691
Training_CREvPLA,vsn_RF,cycloess_none,0.9372015311903745
Training_CREvPLA,cycloess_knn,cycloess_none,0.9782373890745872
Training_CREvPLA,rlr_knn,cycloess_none,0.9762752244869597
Training_CREvPLA,vsn_knn,cycloess_none,0.9280486293305431
Training_CREvPLA,vsn_none,rlr_none,0.9589428281421185
Training_CREvPLA,cycloess_bpca,rlr_none,0.9729150228883234
Training_CREvPLA,rlr_bpca,rlr_none,0.9759201730001764
Training_CREvPLA,vsn_bpca,rlr_none,0.9353664710211556
Training_CREvPLA,cycloess_RF,rlr_none,0.9822170590425293
Training_CREvPLA,rlr_RF,rlr_none,0.9841908978162985
Training_CREvPLA,vsn_RF,rlr_none,0.9414872382312263
Training_CREvPLA,cycloess_knn,rlr_none,0.975910830217679
Training_CREvPLA,rlr_knn,rlr_none,0.978212356529274
Training_CREvPLA,vsn_knn,rlr_none,0.9331225396502486
Training_CREvPLA,cycloess_bpca,vsn_none,0.9302542573533612
Training_CREvPLA,rlr_bpca,vsn_none,0.9347506834540684
Training_CREvPLA,vsn_bpca,vsn_none,0.9798385191550336
Training_CREvPLA,cycloess_RF,vsn_none,0.9375313733022603
Training_CREvPLA,rlr_RF,vsn_none,0.9399265180027504
Training_CREvPLA,vsn_RF,vsn_none,0.9868294080948306
Training_CREvPLA,cycloess_knn,vsn_none,0.9338738971374891
Training_CREvPLA,rlr_knn,vsn_none,0.9367240346588869
Training_CREvPLA,vsn_knn,vsn_none,0.9786327491226084
Training_CREvPLA,rlr_bpca,cycloess_bpca,0.9974026051749834
Training_CREvPLA,vsn_bpca,cycloess_bpca,0.9493694203806753
Training_CREvPLA,cycloess_RF,cycloess_bpca,0.9862549128108428
Training_CREvPLA,rlr_RF,cycloess_bpca,0.9827749495135226
Training_CREvPLA,vsn_RF,cycloess_bpca,0.9317103700068402
Training_CREvPLA,cycloess_knn,cycloess_bpca,0.9751085612613166
Training_CREvPLA,rlr_knn,cycloess_bpca,0.9721597648494781
Training_CREvPLA,vsn_knn,cycloess_bpca,0.91989626702756
Training_CREvPLA,vsn_bpca,rlr_bpca,0.9527481204139697
Training_CREvPLA,cycloess_RF,rlr_bpca,0.9850552974780232
Training_CREvPLA,rlr_RF,rlr_bpca,0.9866387634847621
Training_CREvPLA,vsn_RF,rlr_bpca,0.9363486082837023
Training_CREvPLA,cycloess_knn,rlr_bpca,0.9760156129054679
Training_CREvPLA,rlr_knn,rlr_bpca,0.9776908878022503
Training_CREvPLA,vsn_knn,rlr_bpca,0.9265673073021666
Training_CREvPLA,cycloess_RF,vsn_bpca,0.9367909243118939
Training_CREvPLA,rlr_RF,vsn_bpca,0.9379625834024887
Training_CREvPLA,vsn_RF,vsn_bpca,0.9853846159683246
Training_CREvPLA,cycloess_knn,vsn_bpca,0.9298999578215088
Training_CREvPLA,rlr_knn,vsn_bpca,0.9317129554957122
Training_CREvPLA,vsn_knn,vsn_bpca,0.9748375415964557
Training_CREvPLA,rlr_RF,cycloess_RF,0.9966968903219723
Training_CREvPLA,vsn_RF,cycloess_RF,0.9457934163008357
Training_CREvPLA,cycloess_knn,cycloess_RF,0.9889833091722888
Training_CREvPLA,rlr_knn,cycloess_RF,0.9855085202862967
Training_CREvPLA,vsn_knn,cycloess_RF,0.9342996512724884
Training_CREvPLA,vsn_RF,rlr_RF,0.9476774307962056
Training_CREvPLA,cycloess_knn,rlr_RF,0.9882949613879555
Training_CREvPLA,rlr_knn,rlr_RF,0.9900450575171529
Training_CREvPLA,vsn_knn,rlr_RF,0.9380271485190201
Training_CREvPLA,cycloess_knn,vsn_RF,0.9396724276245868
Training_CREvPLA,rlr_knn,vsn_RF,0.9409966734784283
Training_CREvPLA,vsn_knn,vsn_RF,0.9890025355267889
Training_CREvPLA,rlr_knn,cycloess_knn,0.9960504631666396
Training_CREvPLA,vsn_knn,cycloess_knn,0.9480446474716654
Training_CREvPLA,vsn_knn,rlr_knn,0.948872965314252
Training_CRE,rlr_none,cycloess_none,0.9980193095090409
Training_CRE,vsn_none,cycloess_none,0.9694641300312878
Training_CRE,cycloess_bpca,cycloess_none,0.9825913626356939
Training_CRE,rlr_bpca,cycloess_none,0.9792936351008358
Training_CRE,vsn_bpca,cycloess_none,0.9482699008932671
Training_CRE,cycloess_RF,cycloess_none,0.9857167585815971
Training_CRE,rlr_RF,cycloess_none,0.9823986904941796
Training_CRE,vsn_RF,cycloess_none,0.9519860707456571
Training_CRE,cycloess_knn,cycloess_none,0.9828728701833694
Training_CRE,rlr_knn,cycloess_none,0.9808942106574406
Training_CRE,vsn_knn,cycloess_none,0.9487237417466894
Training_CRE,vsn_none,rlr_none,0.9746596973881333
Training_CRE,cycloess_bpca,rlr_none,0.9810194557900269
Training_CRE,rlr_bpca,rlr_none,0.9817918542809955
Training_CRE,vsn_bpca,rlr_none,0.9534557632244862
Training_CRE,cycloess_RF,rlr_none,0.9844751110282915
Training_CRE,rlr_RF,rlr_none,0.9853309782333802
Training_CRE,vsn_RF,rlr_none,0.957529449877086
Training_CRE,cycloess_knn,rlr_none,0.9818726688345607
Training_CRE,rlr_knn,rlr_none,0.9837555588311184
Training_CRE,vsn_knn,rlr_none,0.9546453971281549
Training_CRE,cycloess_bpca,vsn_none,0.9594045216025131
Training_CRE,rlr_bpca,vsn_none,0.9646982001931259
Training_CRE,vsn_bpca,vsn_none,0.9847663064336725
Training_CRE,cycloess_RF,vsn_none,0.9623834597328941
Training_CRE,rlr_RF,vsn_none,0.9674366930087924
Training_CRE,vsn_RF,vsn_none,0.9883460445362853
Training_CRE,cycloess_knn,vsn_none,0.9596708424074522
Training_CRE,rlr_knn,vsn_none,0.965739989113272
Training_CRE,vsn_knn,vsn_none,0.9854008379366852
Training_CRE,rlr_bpca,cycloess_bpca,0.9976310174940116
Training_CRE,vsn_bpca,cycloess_bpca,0.9699026347810626
Training_CRE,cycloess_RF,cycloess_bpca,0.9955550055564146
Training_CRE,rlr_RF,cycloess_bpca,0.9929707905441935
Training_CRE,vsn_RF,cycloess_bpca,0.9653892605089452
Training_CRE,cycloess_knn,cycloess_bpca,0.9921565950332538
Training_CRE,rlr_knn,cycloess_bpca,0.9905048590726756
Training_CRE,vsn_knn,cycloess_bpca,0.9619016403189498
Training_CRE,vsn_bpca,rlr_bpca,0.9758221098365871
Training_CRE,cycloess_RF,rlr_bpca,0.9934504416497412
Training_CRE,rlr_RF,rlr_bpca,0.9955406205555795
Training_CRE,vsn_RF,rlr_bpca,0.9714654151600342
