method,norm,imputation,mean_spearman,rho_Baseline_CREvPLA,rho_Training_CREvPLA,rho_Training_CRE,rho_Training_PLA,rho_Interaction,n_DEP_Baseline_CREvPLA,n_DEP_Training_CREvPLA,n_DEP_Training_CRE,n_DEP_Training_PLA,n_DEP_Interaction
rlr_RF,rlr,RF,0.9775,0.9868,0.9705,0.9847,0.9767,0.9687,0,14,5,0,1
cycloess_RF,cycloess,RF,0.9769,0.9862,0.9695,0.9829,0.9777,0.9682,0,13,7,0,2
rlr_knn,rlr,knn,0.9736,0.9828,0.9667,0.9835,0.9702,0.9647,0,1,7,0,4
cycloess_knn,cycloess,knn,0.9731,0.983,0.9664,0.9813,0.9703,0.9646,0,4,8,0,0
rlr_bpca,rlr,bpca,0.9724,0.9808,0.9659,0.9828,0.9692,0.9635,0,15,8,0,1
cycloess_bpca,cycloess,bpca,0.9722,0.9829,0.9632,0.9808,0.9713,0.9629,0,15,8,0,0
rlr_none,rlr,none,0.9692,0.9772,0.9669,0.9761,0.9688,0.9573,0,4,3,2,3
vsn_RF,vsn,RF,0.969,0.9862,0.9529,0.9738,0.9765,0.9555,0,13,12,0,1
cycloess_none,cycloess,none,0.9683,0.9772,0.9659,0.9737,0.9641,0.9605,0,2,2,1,3
vsn_bpca,vsn,bpca,0.9659,0.9817,0.9496,0.9717,0.9715,0.9549,0,14,10,0,2
vsn_knn,vsn,knn,0.9642,0.9835,0.9472,0.9719,0.9681,0.9501,0,9,13,0,2
vsn_none,vsn,none,0.963,0.9779,0.9519,0.9711,0.9629,0.951,0,5,3,1,3
