criterion,n_up,n_down,n_total,method,contrast
nominal_p05,408,325,733,cycloess_none,Baseline_SURVvCTL
FDR_05,316,213,529,cycloess_none,Baseline_SURVvCTL
FDR_10,381,286,667,cycloess_none,Baseline_SURVvCTL
pi_05,225,63,288,cycloess_none,Baseline_SURVvCTL
nominal_p05,477,421,898,cycloess_none,Training_SURVvCTL
FDR_05,424,329,753,cycloess_none,Training_SURVvCTL
FDR_10,471,414,885,cycloess_none,Training_SURVvCTL
pi_05,306,135,441,cycloess_none,Training_SURVvCTL
nominal_p05,159,128,287,cycloess_none,Training_SURV
FDR_05,12,5,17,cycloess_none,Training_SURV
FDR_10,30,26,56,cycloess_none,Training_SURV
pi_05,4,0,4,cycloess_none,Training_SURV
nominal_p05,365,373,738,rlr_none,Baseline_SURVvCTL
FDR_05,283,254,537,rlr_none,Baseline_SURVvCTL
FDR_10,341,334,675,rlr_none,Baseline_SURVvCTL
pi_05,203,74,277,rlr_none,Baseline_SURVvCTL
nominal_p05,439,495,934,rlr_none,Training_SURVvCTL
FDR_05,383,383,766,rlr_none,Training_SURVvCTL
FDR_10,434,485,919,rlr_none,Training_SURVvCTL
pi_05,282,159,441,rlr_none,Training_SURVvCTL
nominal_p05,165,152,317,rlr_none,Training_SURV
FDR_05,12,6,18,rlr_none,Training_SURV
FDR_10,32,28,60,rlr_none,Training_SURV
pi_05,5,0,5,rlr_none,Training_SURV
nominal_p05,360,394,754,vsn_none,Baseline_SURVvCTL
FDR_05,274,259,533,vsn_none,Baseline_SURVvCTL
FDR_10,337,348,685,vsn_none,Baseline_SURVvCTL
pi_05,203,77,280,vsn_none,Baseline_SURVvCTL
nominal_p05,424,560,984,vsn_none,Training_SURVvCTL
FDR_05,358,435,793,vsn_none,Training_SURVvCTL
FDR_10,424,562,986,vsn_none,Training_SURVvCTL
pi_05,274,191,465,vsn_none,Training_SURVvCTL
nominal_p05,148,170,318,vsn_none,Training_SURV
FDR_05,10,6,16,vsn_none,Training_SURV
FDR_10,27,34,61,vsn_none,Training_SURV
pi_05,4,0,4,vsn_none,Training_SURV
nominal_p05,424,370,794,cycloess_bpca,Baseline_SURVvCTL
FDR_05,338,248,586,cycloess_bpca,Baseline_SURVvCTL
