contrast,method_a,method_b,spearman_rho
Baseline_SURVvCTL,rlr_none,cycloess_none,0.9947109227890422
Baseline_SURVvCTL,vsn_none,cycloess_none,0.9946277042491126
Baseline_SURVvCTL,cycloess_bpca,cycloess_none,0.9957141179089816
Baseline_SURVvCTL,rlr_bpca,cycloess_none,0.9922904235686791
Baseline_SURVvCTL,vsn_bpca,cycloess_none,0.9910604904690715
Baseline_SURVvCTL,cycloess_RF,cycloess_none,0.9962212023176795
Baseline_SURVvCTL,rlr_RF,cycloess_none,0.993113034601067
Baseline_SURVvCTL,vsn_RF,cycloess_none,0.9912589424386787
Baseline_SURVvCTL,cycloess_knn,cycloess_none,0.9957826642919974
Baseline_SURVvCTL,rlr_knn,cycloess_none,0.9925351158878968
Baseline_SURVvCTL,vsn_knn,cycloess_none,0.9908940037562065
Baseline_SURVvCTL,vsn_none,rlr_none,0.9986824166133722
Baseline_SURVvCTL,cycloess_bpca,rlr_none,0.9893088424315345
Baseline_SURVvCTL,rlr_bpca,rlr_none,0.9961039371368972
Baseline_SURVvCTL,vsn_bpca,rlr_none,0.9936273430136928
Baseline_SURVvCTL,cycloess_RF,rlr_none,0.9894883025716662
Baseline_SURVvCTL,rlr_RF,rlr_none,0.9964280598769635
Baseline_SURVvCTL,vsn_RF,rlr_none,0.9937393583033228
Baseline_SURVvCTL,cycloess_knn,rlr_none,0.9891393217010623
Baseline_SURVvCTL,rlr_knn,rlr_none,0.9959975287758478
Baseline_SURVvCTL,vsn_knn,rlr_none,0.9936733592142454
Baseline_SURVvCTL,cycloess_bpca,vsn_none,0.989810119778564
Baseline_SURVvCTL,rlr_bpca,vsn_none,0.9953401988546053
Baseline_SURVvCTL,vsn_bpca,vsn_none,0.995394324447865
Baseline_SURVvCTL,cycloess_RF,vsn_none,0.9904690139400188
Baseline_SURVvCTL,rlr_RF,vsn_none,0.9962829970108539
Baseline_SURVvCTL,vsn_RF,vsn_none,0.9959756918543997
Baseline_SURVvCTL,cycloess_knn,vsn_none,0.9898343839140977
Baseline_SURVvCTL,rlr_knn,vsn_none,0.9956055641212338
Baseline_SURVvCTL,vsn_knn,vsn_none,0.9955423284698292
Baseline_SURVvCTL,rlr_bpca,cycloess_bpca,0.9948246576221602
Baseline_SURVvCTL,vsn_bpca,cycloess_bpca,0.9947836895786081
Baseline_SURVvCTL,cycloess_RF,cycloess_bpca,0.9980118538923815
Baseline_SURVvCTL,rlr_RF,cycloess_bpca,0.9932950068117137
Baseline_SURVvCTL,vsn_RF,cycloess_bpca,0.9924224121404457
Baseline_SURVvCTL,cycloess_knn,cycloess_bpca,0.9961303963321348
Baseline_SURVvCTL,rlr_knn,cycloess_bpca,0.9912864919589776
Baseline_SURVvCTL,vsn_knn,cycloess_bpca,0.990566798966592
Baseline_SURVvCTL,vsn_bpca,rlr_bpca,0.998369032214251
Baseline_SURVvCTL,cycloess_RF,rlr_bpca,0.9925060629678445
Baseline_SURVvCTL,rlr_RF,rlr_bpca,0.9978321519914799
Baseline_SURVvCTL,vsn_RF,rlr_bpca,0.9958391578599488
Baseline_SURVvCTL,cycloess_knn,rlr_bpca,0.9909660452634631
Baseline_SURVvCTL,rlr_knn,rlr_bpca,0.9961329100037144
Baseline_SURVvCTL,vsn_knn,rlr_bpca,0.9945354749170495
Baseline_SURVvCTL,cycloess_RF,vsn_bpca,0.993168537109969
Baseline_SURVvCTL,rlr_RF,vsn_bpca,0.9969955732706463
Baseline_SURVvCTL,vsn_RF,vsn_bpca,0.9980134885794406
Baseline_SURVvCTL,cycloess_knn,vsn_bpca,0.9911681604691046
Baseline_SURVvCTL,rlr_knn,vsn_bpca,0.9949881343333886
Baseline_SURVvCTL,vsn_knn,vsn_bpca,0.99613437657898
Baseline_SURVvCTL,rlr_RF,cycloess_RF,0.9948055489149618
Baseline_SURVvCTL,vsn_RF,cycloess_RF,0.9944800188390238
Baseline_SURVvCTL,cycloess_knn,cycloess_RF,0.9978613313956436
Baseline_SURVvCTL,rlr_knn,cycloess_RF,0.9928583180157605
Baseline_SURVvCTL,vsn_knn,cycloess_RF,0.9925241357861819
Baseline_SURVvCTL,vsn_RF,rlr_RF,0.9983959140905698
Baseline_SURVvCTL,cycloess_knn,rlr_RF,0.9931964644815371
Baseline_SURVvCTL,rlr_knn,rlr_RF,0.9982357531843359
Baseline_SURVvCTL,vsn_knn,rlr_RF,0.9970133675037257
Baseline_SURVvCTL,cycloess_knn,vsn_RF,0.9924971018087166
Baseline_SURVvCTL,rlr_knn,vsn_RF,0.9965824633545348
Baseline_SURVvCTL,vsn_knn,vsn_RF,0.9980397844660789
Baseline_SURVvCTL,rlr_knn,cycloess_knn,0.9944637856440269
Baseline_SURVvCTL,vsn_knn,cycloess_knn,0.9943984525978651
Baseline_SURVvCTL,vsn_knn,rlr_knn,0.9982554462801501
Training_SURVvCTL,rlr_none,cycloess_none,0.9935573428639292
Training_SURVvCTL,vsn_none,cycloess_none,0.9878161457954364
Training_SURVvCTL,cycloess_bpca,cycloess_none,0.9966638694892237
Training_SURVvCTL,rlr_bpca,cycloess_none,0.9909116779094337
Training_SURVvCTL,vsn_bpca,cycloess_none,0.9868200529985076
Training_SURVvCTL,cycloess_RF,cycloess_none,0.9973756019879191
Training_SURVvCTL,rlr_RF,cycloess_none,0.9920214158798573
Training_SURVvCTL,vsn_RF,cycloess_none,0.9876347803883112
Training_SURVvCTL,cycloess_knn,cycloess_none,0.9967830751604229
Training_SURVvCTL,rlr_knn,cycloess_none,0.9916211160824133
Training_SURVvCTL,vsn_knn,cycloess_none,0.9871057453825718
Training_SURVvCTL,vsn_none,rlr_none,0.9974318666036184
Training_SURVvCTL,cycloess_bpca,rlr_none,0.9896681261534851
Training_SURVvCTL,rlr_bpca,rlr_none,0.9965324621039433
Training_SURVvCTL,vsn_bpca,rlr_none,0.9949240421123692
Training_SURVvCTL,cycloess_RF,rlr_none,0.9903011487104469
Training_SURVvCTL,rlr_RF,rlr_none,0.9971789512160997
Training_SURVvCTL,vsn_RF,rlr_none,0.9951247083544571
Training_SURVvCTL,cycloess_knn,rlr_none,0.989172791958623
Training_SURVvCTL,rlr_knn,rlr_none,0.996413075512433
Training_SURVvCTL,vsn_knn,rlr_none,0.9944669925766219
Training_SURVvCTL,cycloess_bpca,vsn_none,0.9835396987786972
Training_SURVvCTL,rlr_bpca,vsn_none,0.9935051161334042
Training_SURVvCTL,vsn_bpca,vsn_none,0.996038668133323
Training_SURVvCTL,cycloess_RF,vsn_none,0.9844923562913704
Training_SURVvCTL,rlr_RF,vsn_none,0.9947007480228716
Training_SURVvCTL,vsn_RF,vsn_none,0.9966569096609713
Training_SURVvCTL,cycloess_knn,vsn_none,0.9830178093247155
Training_SURVvCTL,rlr_knn,vsn_none,0.9935499043173314
Training_SURVvCTL,vsn_knn,vsn_none,0.9958413128930356
Training_SURVvCTL,rlr_bpca,cycloess_bpca,0.9936803062339801
Training_SURVvCTL,vsn_bpca,cycloess_bpca,0.9893366593296382
Training_SURVvCTL,cycloess_RF,cycloess_bpca,0.9978199951072102
Training_SURVvCTL,rlr_RF,cycloess_bpca,0.9919958260627518
Training_SURVvCTL,vsn_RF,cycloess_bpca,0.9872492616201809
Training_SURVvCTL,cycloess_knn,cycloess_bpca,0.9967454693527413
Training_SURVvCTL,rlr_knn,cycloess_bpca,0.990812847387611
Training_SURVvCTL,vsn_knn,cycloess_bpca,0.9863199748489386
Training_SURVvCTL,vsn_bpca,rlr_bpca,0.9979654838565302
Training_SURVvCTL,cycloess_RF,rlr_bpca,0.991334453453141
Training_SURVvCTL,rlr_RF,rlr_bpca,0.9976800140204595
Training_SURVvCTL,vsn_RF,rlr_bpca,0.9951280161541278
Training_SURVvCTL,cycloess_knn,rlr_bpca,0.9898226000779032
Training_SURVvCTL,rlr_knn,rlr_bpca,0.9962232837017899
Training_SURVvCTL,vsn_knn,rlr_bpca,0.9941569928282772
Training_SURVvCTL,cycloess_RF,vsn_bpca,0.9876023492217412
Training_SURVvCTL,rlr_RF,vsn_bpca,0.9964298498672985
Training_SURVvCTL,vsn_RF,vsn_bpca,0.9977619885331168
Training_SURVvCTL,cycloess_knn,vsn_bpca,0.9857972496391832
Training_SURVvCTL,rlr_knn,vsn_bpca,0.9946779056327918
Training_SURVvCTL,vsn_knn,vsn_bpca,0.9965641855999158
Training_SURVvCTL,rlr_RF,cycloess_RF,0.9939189305179836
Training_SURVvCTL,vsn_RF,cycloess_RF,0.9897157818442907
Training_SURVvCTL,cycloess_knn,cycloess_RF,0.99829303447612
Training_SURVvCTL,rlr_knn,cycloess_RF,0.992467863165159
Training_SURVvCTL,vsn_knn,cycloess_RF,0.9882014628294143
Training_SURVvCTL,vsn_RF,rlr_RF,0.9979621648494064
Training_SURVvCTL,cycloess_knn,rlr_RF,0.9920027762846159
Training_SURVvCTL,rlr_knn,rlr_RF,0.9982719532572106
Training_SURVvCTL,vsn_knn,rlr_RF,0.9965365864466114
Training_SURVvCTL,cycloess_knn,vsn_RF,0.9874676884729896
Training_SURVvCTL,rlr_knn,vsn_RF,0.9960121801189206
Training_SURVvCTL,vsn_knn,vsn_RF,0.998187799695496
Training_SURVvCTL,rlr_knn,cycloess_knn,0.9936253112625881
Training_SURVvCTL,vsn_knn,cycloess_knn,0.9892612171609582
Training_SURVvCTL,vsn_knn,rlr_knn,0.9976588623547031
Training_SURV,rlr_none,cycloess_none,0.997244015283392
Training_SURV,vsn_none,cycloess_none,0.9851749141890961
Training_SURV,cycloess_bpca,cycloess_none,0.9851711869104738
Training_SURV,rlr_bpca,cycloess_none,0.9838342610612011
Training_SURV,vsn_bpca,cycloess_none,0.9718477220703076
Training_SURV,cycloess_RF,cycloess_none,0.9895482688489529
Training_SURV,rlr_RF,cycloess_none,0.9885562587670099
Training_SURV,vsn_RF,cycloess_none,0.9787693601263912
Training_SURV,cycloess_knn,cycloess_none,0.9845828772873982
Training_SURV,rlr_knn,cycloess_none,0.984246203801146
Training_SURV,vsn_knn,cycloess_none,0.9743530633102065
Training_SURV,vsn_none,rlr_none,0.9884255926746858
Training_SURV,cycloess_bpca,rlr_none,0.982719007422885
Training_SURV,rlr_bpca,rlr_none,0.9863354091126498
Training_SURV,vsn_bpca,rlr_none,0.9747290461369816
Training_SURV,cycloess_RF,rlr_none,0.9867628517599586
Training_SURV,rlr_RF,rlr_none,0.9907509774443958
Training_SURV,vsn_RF,rlr_none,0.9809978116359485
Training_SURV,cycloess_knn,rlr_none,0.9813849122560027
Training_SURV,rlr_knn,rlr_none,0.986342482616496
Training_SURV,vsn_knn,rlr_none,0.9763698140397613
Training_SURV,cycloess_bpca,vsn_none,0.9736894155876565
Training_SURV,rlr_bpca,vsn_none,0.9789250476578522
Training_SURV,vsn_bpca,vsn_none,0.9846762898062749
Training_SURV,cycloess_RF,vsn_none,0.9774403051111855
Training_SURV,rlr_RF,vsn_none,0.9833340596296501
Training_SURV,vsn_RF,vsn_none,0.9891712341226695
Training_SURV,cycloess_knn,vsn_none,0.971216627195245
Training_SURV,rlr_knn,vsn_none,0.9772097261773011
Training_SURV,vsn_knn,vsn_none,0.9841788854347554
Training_SURV,rlr_bpca,cycloess_bpca,0.9972659642793691
Training_SURV,vsn_bpca,cycloess_bpca,0.9890133243134044
Training_SURV,cycloess_RF,cycloess_bpca,0.9896493184464502
Training_SURV,rlr_RF,cycloess_bpca,0.988075158037334
Training_SURV,vsn_RF,cycloess_bpca,0.9807238422476201
Training_SURV,cycloess_knn,cycloess_bpca,0.9819145812833634
Training_SURV,rlr_knn,cycloess_bpca,0.9803733691847156
Training_SURV,vsn_knn,cycloess_bpca,0.974071567316722
Training_SURV,vsn_bpca,rlr_bpca,0.9921706287056703
Training_SURV,cycloess_RF,rlr_bpca,0.986947406487967
Training_SURV,rlr_RF,rlr_bpca,0.9906170003502713
Training_SURV,vsn_RF,rlr_bpca,0.9834650683498203
Training_SURV,cycloess_knn,rlr_bpca,0.979216715215378
Training_SURV,rlr_knn,rlr_bpca,0.9830600678264162
Training_SURV,vsn_knn,rlr_bpca,0.9770363885085835
Training_SURV,cycloess_RF,vsn_bpca,0.9787197767536862
Training_SURV,rlr_RF,vsn_bpca,0.9829512402566046
Training_SURV,vsn_RF,vsn_bpca,0.9897047633170228
Training_SURV,cycloess_knn,vsn_bpca,0.9696307325829401
Training_SURV,rlr_knn,vsn_bpca,0.9735369429941136
Training_SURV,vsn_knn,vsn_bpca,0.9822444678563509
Training_SURV,rlr_RF,cycloess_RF,0.9964658129825975
Training_SURV,vsn_RF,cycloess_RF,0.9899768930820104
Training_SURV,cycloess_knn,cycloess_RF,0.9909900003935097
Training_SURV,rlr_knn,cycloess_RF,0.9890602162963479
