method,norm,imputation,mean_spearman,rho_Baseline_SURVvCTL,rho_Training_SURVvCTL,rho_Training_SURV,n_DEP_Baseline_SURVvCTL,n_DEP_Training_SURVvCTL,n_DEP_Training_SURV
rlr_RF,rlr,RF,0.9935,0.996,0.9953,0.9891,577,810,3
rlr_knn,rlr,knn,0.9916,0.9952,0.9947,0.985,553,780,3
rlr_bpca,rlr,bpca,0.9915,0.995,0.9943,0.9854,577,798,8
vsn_RF,vsn,RF,0.9914,0.9952,0.9935,0.9856,619,852,2
cycloess_RF,cycloess,RF,0.991,0.9939,0.992,0.9871,603,779,3
rlr_none,rlr,none,0.9908,0.9937,0.9941,0.9847,537,766,18
vsn_knn,vsn,knn,0.9901,0.9947,0.9931,0.9825,587,830,2
cycloess_none,cycloess,none,0.9897,0.9935,0.9917,0.9839,529,753,17
vsn_bpca,vsn,bpca,0.9896,0.9949,0.9931,0.9808,610,850,2
cycloess_bpca,cycloess,bpca,0.9895,0.9933,0.9913,0.9839,586,776,7
cycloess_knn,cycloess,knn,0.9891,0.9932,0.9911,0.9829,575,763,3
vsn_none,vsn,none,0.989,0.9943,0.9915,0.9812,533,793,16
