"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Baseline_CREvPLA","down","52","0",0.05,0,"BH"
"Baseline_CREvPLA","nonsig","1777","1881",0.05,0,"BH"
"Baseline_CREvPLA","up","52","0",0.05,0,"BH"
"Training_CREvPLA","down","90","2",0.05,0,"BH"
"Training_CREvPLA","nonsig","1719","1879",0.05,0,"BH"
"Training_CREvPLA","up","72","0",0.05,0,"BH"
"Training_CRE","down","105","0",0.05,0,"BH"
"Training_CRE","nonsig","1660","1879",0.05,0,"BH"
"Training_CRE","up","116","2",0.05,0,"BH"
"Training_PLA","down","107","2",0.05,0,"BH"
"Training_PLA","nonsig","1657","1879",0.05,0,"BH"
"Training_PLA","up","117","0",0.05,0,"BH"
"Interaction_supp","down","61","0",0.05,0,"BH"
"Interaction_supp","nonsig","1771","1881",0.05,0,"BH"
"Interaction_supp","up","49","0",0.05,0,"BH"
