"uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","gene_symbol","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR"
"P02144","MYG_HUMAN","MB","Myoglobin",16,3009813659,"MB","ENSG00000198125",TRUE,FALSE,"=""""",31.7726477514438,31.3275533645541,27.9414721027484,31.2927770465459,30.4368378100974,31.2193918736486,31.878713342713,31.5367093357714,31.7085669770867,31.2649844303363,31.1061623951977,31.3739978044412,31.0411971872316,30.7543220893021,31.2098961944117,31.1406280404765,31.1125571026711,32.2710945467916,31.3855336605942,31.3603332400191,31.3704723822453,31.1038483396145,31.0978776121915,30.5519992685652,31.4868311861293,31.0943077228037,31.5582187279402,31.4287643221861,0.00620450531413042,-0.522593985650097,0.535002996278358,31.1724177092057,0.024043632543855,-5.98496663638388,0.980989788507804,0.999124049940368,0,0
"P06732","KCRM_HUMAN","CKM","Creatine kinase M-type",31,1856619866,"CKM","ENSG00000104879",TRUE,FALSE,"=""""",30.8256482657955,30.4747981637963,27.4823150212017,30.8261651657862,30.7721026675515,31.0212006254594,30.1719872587128,30.5894347103542,30.3752516971472,30.4888949146877,30.517389789345,30.7420012711333,30.8350485868845,30.5107079946822,30.8118509312174,30.8152436071944,30.8173940924291,30.741267593078,30.49248936075,30.47672160519,30.5552846944431,30.525586009319,31.0983803748458,30.9098427599407,30.5346087919037,30.491858662933,30.561808135224,31.0239246810972,-0.094691111003268,-0.494196153331157,0.304813931324621,30.553185979718,-0.485702205287844,-5.87113921273827,0.630989603098429,0.988747535101129,0,0
"P04075","ALDOA_HUMAN","ALDOA","Fructose-bisphosphate aldolase A",40,976429798,"ALDOA","ENSG00000149925",TRUE,FALSE,"=""""",29.7712845610517,29.7076217225388,29.5474489688942,29.4965141270863,29.8863268970092,29.9717278950628,30.0227945756687,29.7550957935998,29.6348048604269,29.656665466846,29.7276476016866,29.7705429933431,29.8552056353716,29.7726305101925,29.8298940823341,29.850183526746,29.9517904541646,29.4154411613763,29.5752646434993,29.7339316844237,29.9409852722342,30.0972126662136,29.9622665132354,30.0027934349588,29.6085573274299,29.5972852395883,29.7491182123774,29.948333653545,0.011767078922297,-0.247885891494676,0.27142004933927,29.7799774814609,0.0928663762800741,-5.98105789240943,0.926676626474655,0.993218217275599,0,0
"P04406","G3P_HUMAN","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase",30,900447324,"GAPDH","ENSG00000111640",TRUE,FALSE,"=""""",29.6492884116641,29.7181579368825,30.0378001371452,29.6369617432421,29.8346178790738,29.6962616181773,30.0920651501123,29.7709098070072,29.417274303593,29.5649769281479,29.8928343173691,29.6360759047122,29.691053186054,29.5848446469277,29.938051459172,29.7581214386793,30.0292322555919,29.293770280424,29.7446812755456,29.7769618234987,29.848073148016,30.0557126904619,29.5148542691461,29.7910285466503,29.576523991606,29.6352497934339,29.2940409616454,29.5668413285632,0.0106217099386541,-0.272281940862252,0.29352536073956,29.7159380440194,0.0769376671432269,-5.9823717182431,0.939224919084964,0.993218217275599,0,0
"P12277","KCRB_HUMAN","CKB","Creatine kinase B-type",20,848168505,"CKB","ENSG00000166165",TRUE,FALSE,"=""""",29.214085268251,29.307246418037,29.8055380676799,29.2884498132181,30.4096311014536,30.2501266014083,29.4863735141715,29.0760789613554,29.2600805900673,29.1458425656969,29.7907891255749,29.2693121013084,29.185199875205,28.9556841277887,28.8768403762044,28.840761750506,29.0635465180869,29.8258623512735,29.1862721759866,29.1982422703197,29.3201225135902,29.0620344773442,29.4684684235537,29.7278167906671,30.0041660075418,30.0101027746614,29.4030581123897,29.5739234362686,-0.200138790374957,-0.62520915326225,0.224931572512335,29.4287734324861,-0.964836163632728,-5.54081365958953,0.342956439134035,0.988747535101129,0,0
"P07451","CAH3_HUMAN","CA3","Carbonic anhydrase 3",21,706315366,"CA3","ENSG00000164879",TRUE,FALSE,"=""""",29.3849613037892,29.3457308120718,27.0630391180994,29.7327244139321,29.3654119070576,29.3201278847839,29.7896949108578,29.1992897895793,29.95348912534,29.5116150551562,28.9850670677683,29.6189871580128,29.5417807064846,29.2309118691328,29.7384896630581,28.9090631442454,29.2220772214654,31.3116745558264,28.8197657177834,28.8140204280878,28.6351862965518,28.8705385763493,29.3786610989345,29.2838828472326,29.1992489265895,29.6043568662268,29.2198206689985,29.2882968047114,0.0735987817231276,-0.446930090369353,0.594127653815608,29.2977826406474,0.289740316653162,-5.9445234316412,0.774167821315614,0.988747535101129,0,0
"Q13642","FHL1_HUMAN","FHL1","Four and a half LIM domains protein 1",18,508101722,"FHL1","ENSG00000022267",TRUE,FALSE,"=""""",29.0719971890595,28.9516395045885,27.1518091138469,28.8960712534903,27.9036023213548,29.0995933785427,28.2752568781003,28.9106583860263,29.1436879486345,28.9662660622117,28.2445233338595,28.838372390772,29.1071258360188,28.5576437022323,28.9128875396529,28.2165826890442,28.0690169944499,28.6815365595028,28.3367283037776,28.8386355092948,28.6545086411742,28.1462387785574,28.4858416943951,29.1558905779037,28.7412508764349,28.6870054342597,29.2582463644402,28.637408709403,-0.306837011894679,-0.794078208486713,0.180404184697355,28.640715213251,-1.29046690735009,-5.20088965642736,0.207532850692695,0.986903714965879,0,0
"P68133","ACTS_HUMAN","ACTA1","Actin, alpha skeletal muscle",18,434564315,"ACTA1","ENSG00000143632",TRUE,FALSE,"=""""",27.5128913248856,31.6041149146796,28.8253465729459,28.0090682820666,26.810518088935,26.2614477260901,28.6404856130424,27.1743628122149,27.8188998648879,29.7742655424907,27.8874078589402,27.6052935885111,29.6788462331753,29.555279150694,27.5377466076414,27.9744640950753,27.0923241260621,27.4525035857663,27.9458327621525,30.8761120255391,27.53631307872,27.5528606153694,27.7250493627322,27.8766199327596,28.2317413759959,28.2376818754326,27.9394419724473,28.0528051196881,-0.0305883811206655,-1.63691647373842,1.57573971149709,28.185347289605,-0.039021626379597,-5.98450769591076,0.969152397908001,0.999124049940368,0,0
"P06733","ENOA_HUMAN","ENO1","Alpha-enolase",27,343275854,"ENO1","ENSG00000074800",TRUE,FALSE,"=""""",27.9396958946922,27.9506564551514,30.7977398410772,27.9141913915766,28.2442188093124,27.7420020517908,30.0025065610626,28.0390882152292,28.1556744530836,28.3994385149408,29.0420817764079,27.7645286450912,28.0209759543597,28.1090729907853,28.1194049954704,28.6013477002729,28.2306345510358,29.2606226216878,28.3666192145913,28.5104701587354,28.2445616251923,28.7999270176108,28.2613344403281,28.1800980238958,28.1047360946423,27.8245708291018,28.0178324533455,28.3858763359805,0.0956672611274954,-0.39629648853963,0.587631010794621,28.3939252720161,0.398486273501791,-5.90832725868712,0.693319933482274,0.988747535101129,0,0
"P13929","ENOB_HUMAN","ENO3","Beta-enolase",18,300707791,"ENO3","ENSG00000108515",TRUE,FALSE,"=""""",28.1196656910319,27.809638763429,25.0778012610844,27.7078195548305,27.9932415469342,27.8336402030509,26.347356364874,28.2639894918827,27.8955445594149,27.8812545431645,27.772056182518,27.9598688818273,27.9480961234571,27.8817463563886,27.8623482711511,27.857897988131,28.3008068680997,26.7754328627677,28.369631512437,28.4444732518507,28.4446380467848,28.4961637904215,27.6709989061407,27.6711793011851,27.985982245239,28.0985189952479,28.5529772665697,27.8306136496699,-0.0700641015434442,-0.532626538153611,0.392498335066723,27.8161922314137,-0.310390430714036,-5.93852271634432,0.758582266440701,0.988747535101129,0,0
