"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P12236","P12236","ADT3_HUMAN","SLC25A6","ADP/ATP translocase 3",5,19718794,"SLC25A6","ENSG00000169100",TRUE,FALSE,24.5320821661499,24.1547288537889,20.7272699381508,23.9080238957315,24.4592196324629,25.5228447604772,20.8042642716812,24.111726595311,23.7323725840208,24.0165760956731,22.5637313160688,23.6873931132403,24.0805747342292,23.9982585666587,24.3059476524468,23.4450478013278,23.7205502239474,22.3837582810112,23.3386302995426,24.2372789682896,23.8872468893594,22.719312157876,23.5860492011168,24.1656094773577,24.8693779806588,24.3320974612963,24.5132606192685,21.6702492604596,23.7706119450291,23.9639557832221,24.3971694810884,24.6704733442799,25.0354327359533,24.589772378333,24.4846211767678,24.7805915076916,24.2735258021762,24.09865382666,24.5369543453169,-0.61551193871793,-1.00677029524679,-0.224253582189068,23.8480832083108,-3.1788336535289,-2.01923893031999,0.00284146218292298,0.0165438144565968,-1,-1,1.09645102419462,0.0800845935579065,"DOWN","DOWN","NDE"
"O00483","O00483","NDUA4_HUMAN","NDUFA4","Cytochrome c oxidase subunit NDUFA4",4,16954986,"NDUFA4","ENSG00000189043",TRUE,FALSE,24.5246830188868,24.3004004582706,22.6122198753542,23.4118665556067,24.1265396609414,24.8817093678179,22.8802390841531,23.457527280225,23.0901687341736,23.1611985068703,22.5571185556228,23.2804314950218,23.4001153462107,23.4530084180308,24.1233277288263,22.966310374163,23.3515916498664,22.72904047375,23.2156575415078,23.343398897648,23.7037375946992,22.9430401310784,23.2786036731885,23.4384339389471,24.4335996077062,24.5436698814109,24.3085098564199,22.9580557915027,23.1064325408481,24.2763309297548,24.8681992974421,24.8755122856835,24.5753128997626,24.8587339190849,24.4937561097267,24.6471739663656,24.0055210242368,23.9984061039971,24.818739495897,-0.941298309472462,-1.27805385556845,-0.604542763376476,23.7691877454026,-5.64816622096295,5.16989484783713,1.44630317110574e-06,6.98926007436851e-05,-1,-1,3.91162988528151,0.000122566028729167,"DOWN","DOWN","DOWN"
"P02794","P02794","FRIH_HUMAN","FTH1","Ferritin heavy chain",10,10913443,"FTH1","ENSG00000167996",TRUE,FALSE,23.3216901038464,23.756320889114,23.3288879505738,22.964898956563,24.0256390449767,23.7347052581637,25.4503073601485,22.8781113387409,21.0195921752613,22.5488426820143,23.8588105885655,23.0514338374084,23.5760393016328,23.5257143710836,23.3605163385515,22.361735848835,23.3703363342925,23.5433806385073,22.7585317235901,23.9788055879806,21.4426842467198,22.3286423439704,23.2095610920689,24.355913030485,23.2251831189997,23.4245482193414,22.8919226497386,21.7990852661852,23.618442500714,22.893182126203,23.2842736754333,23.1988829836392,23.7824621155314,23.2868280123709,23.6389381473053,22.9249472727888,23.4371155414606,23.692716139238,23.5369580881128,-0.702575136705047,-1.15783624842185,-0.247314024988244,23.2406817153886,-3.1183665942272,-2.1717641009367,0.00335302267579746,0.0187323492263482,-1,-1,1.21363373910996,0.0611457478269746,"DOWN","DOWN","NDE"
"Q5VXT5","Q5VXT5","SYPL2_HUMAN","SYPL2","Synaptophysin-like protein 2",3,7968480,"SYPL2","ENSG00000143028",TRUE,FALSE,23.1223669942979,23.0412756274458,NA,22.2045304736249,23.0338187092193,22.4356614165458,21.8097237970138,22.3828420225186,22.9304338136577,22.7110681312245,22.2139784396926,22.7999643915023,23.0340981939888,22.6731372372538,22.8462912760298,21.4495581943918,22.6305230411666,21.2329559455839,22.7569527509621,22.7538709454945,22.2234822553543,22.0304449188214,23.0168993824037,22.986001787113,22.3886560645726,22.6129261559902,23.1793885012492,NA,22.2748214061423,22.940160936327,23.3836743094261,23.6526428527533,23.4061222675311,23.0753889514565,23.5128346459769,23.5555359737592,23.4388444571289,22.9834587196902,23.8086810283005,-0.7267199768411,-1.00627521380986,-0.447164739872338,22.7711625950165,-5.26135254286979,3.86236018632959,5.75043645113223e-06,0.0001678447950289,-1,-1,2.74343485943518,0.00180536550665422,"DOWN","DOWN","DOWN"
"P54652","P54652","HSP72_HUMAN","HSPA2","Heat shock-related 70 kDa protein 2",16,7706524,"HSPA2","ENSG00000126803",TRUE,FALSE,23.7376951407323,23.7585091753904,NA,22.6551464522092,21.7116031185245,22.2076095082834,20.0581189827478,21.9482127095237,22.7210405355789,22.6337590632814,22.2761113471824,22.2984737361256,22.1746174211952,23.0893963442479,22.3549843334805,23.2005280592554,23.6481471173116,22.2939975320943,23.0225204426132,22.9160339688018,22.0474608952403,21.9444899337079,22.8441215835353,23.1445180092982,22.7007665183804,22.5918423261833,23.058627648364,20.2633645570069,21.3178201029251,23.5349452426204,23.3873566457261,23.0634868753098,22.9615723575954,23.1957866970035,23.6748093582056,22.7688372513447,23.7089345613116,23.1876877213344,23.4210676565817,-0.661678617295582,-1.06582364353336,-0.257533591057801,22.6716842350067,-3.31090881268255,-1.69005101822465,0.00200171731466951,0.012728024898869,-1,-1,1.25403911023443,0.0557135574027626,"DOWN","DOWN","NDE"
"Q96IX5","Q96IX5","ATPMD_HUMAN","ATP5MD","ATP synthase membrane subunit DAPIT, mitochondrial",3,7134092,"ATP5MK","ENSG00000173915",TRUE,FALSE,22.9107817460308,22.61169771257,19.6764818156012,22.522961119491,23.5627089316143,24.1337349509888,20.8588966400876,22.3635982238636,21.9778860087611,22.2894560890154,21.5593248044565,22.2232689425222,22.4738363266287,22.3601042157139,22.2587045245136,21.1740107308356,22.6918353579031,21.5588887753575,21.5375120920315,22.3831741183935,22.3067779899073,22.1057621310205,22.2640918449428,21.6922797475103,23.3564188623116,23.1885583018814,23.0829508300415,20.6884149277554,22.2305976000578,22.7599625809894,23.3390458774774,22.3371285297992,23.3690158556772,23.3175992809663,23.1899542825045,23.6123260766043,22.5461848214715,22.7585135310495,23.5352735316624,-0.748146788025274,-1.14031319541783,-0.355980380632714,22.4310184546156,-3.85488452851716,-0.208356419849442,0.00040782617246386,0.00408460099156813,-1,-1,1.78721072507479,0.0163225976301785,"DOWN","DOWN","DOWN"
"Q9UM54","Q9UM54","MYO6_HUMAN","MYO6","Unconventional myosin-VI",2,4815133,"MYO6","ENSG00000196586",TRUE,FALSE,21.1465246300626,22.5026470314406,18.7614197191694,21.9642984383301,23.2879126243945,22.61880606398,20.2374002774499,21.4157024035488,21.3391686337586,21.7250454913286,20.1895370999879,21.8581006364996,21.6808197996939,22.4822324400424,22.1595414614062,21.1057283824434,21.9877578603093,20.6490135102279,21.4902764709087,21.8152256274198,20.758694027757,20.8815541570433,22.1181341811728,22.0040545989829,22.3080470464026,22.5784218928874,21.4555567489308,19.518879542141,21.8039694430871,21.9193820420836,22.375173856092,22.8932870421735,23.1556380129954,23.054075645305,22.5825252218042,23.4921323307317,22.4588658347437,22.5570188076652,23.0894619757558,-1.18708629082688,-1.6025701261865,-0.771602455467254,21.8313341284656,-5.77328643352333,5.55947688400384,9.63951440888209e-07,4.92186449814553e-05,-1,-1,5.11381383140979,7.69460213355867e-06,"DOWN","DOWN","DOWN"
"P26678","P26678","PPLA_HUMAN","PLN","Cardiac phospholamban",1,4699548,"PLN","ENSG00000198523",TRUE,FALSE,22.1705201637983,22.0119543440807,NA,21.9291187545682,NA,21.5585644269997,NA,21.127651413174,22.1875087986279,21.6827850547153,19.2935788164167,21.9103277544296,21.4209034965551,21.2731106129501,21.6570840026661,NA,21.5350643143933,NA,21.9015432967338,22.3849571541429,21.3740679344368,19.711122878497,21.6086149186413,21.7273987221745,21.0999950070202,20.7433381397004,22.8689733804059,NA,NA,23.3306085476666,21.8760842566921,22.5771599283737,22.8789221358739,23.4293557395024,22.9455694356188,21.9609246850118,22.1362827236294,23.3235315051818,22.23422560517,-0.944412424075914,-1.42012853898046,-0.468696309171364,21.8709639983703,-4.03780672940146,0.146565183217265,0.00029904395095787,0.00319365722210816,-1,-1,2.35698113533857,0.00439560708436233,"DOWN","DOWN","DOWN"
"Q8NDY3","Q8NDY3","ARHL1_HUMAN","ADPRHL1","[Protein ADP-ribosylarginine] hydrolase-like protein 1",7,3758655,"ADPRHL1","ENSG00000153531",TRUE,FALSE,20.6414613559357,21.2158902819766,NA,20.8802198459017,22.147003803286,22.2479285661591,19.5719339723591,22.0459103761681,21.7725318771374,21.4026423685407,19.392701688998,21.3303292047472,21.0088399130629,22.4267941200503,21.7627240301204,20.8564550235795,21.3853976816055,20.033384316525,21.7133455353102,21.6182828108302,21.2295719092532,20.9965386056777,21.6169563117431,21.8827683956828,22.0003582487468,22.1683287595098,22.5023979473492,NA,20.0439442791194,23.0961341107858,22.2019511808816,22.4956857737923,22.3118924687874,21.6004779021116,22.0848733940743,22.6994276771402,22.0373488508072,22.5833243483268,21.9593813819149,-0.74363050555139,-1.16559426021451,-0.321666750888272,21.5936523869729,-3.56681008650829,-1.02966683877759,0.00099106841416631,0.00772473888944952,-1,-1,1.57063403135524,0.0268760826915726,"DOWN","DOWN","DOWN"
"A8MU46","A8MU46","SMTL1_HUMAN","SMTNL1","Smoothelin-like protein 1",3,3559958,"SMTNL1","ENSG00000214872",TRUE,FALSE,21.7899293459997,21.6231733845521,NA,21.6458216924222,20.3403743748175,19.9194725588568,19.1135997696583,21.4106604954345,22.1767667715217,21.28370642606,19.0726580802294,21.7842597734687,20.989684893203,22.242269950825,21.2123234589477,20.9102592948196,20.8536756057443,20.5400598285193,21.791954592301,21.4038655901228,21.8899736245025,19.7897121978057,20.6193285988482,20.8281335516023,21.5956190948956,21.1960719577986,22.3535944728803,NA,20.4490801517361,23.2887686081074,22.4275409581538,21.907742889736,22.4223272413738,22.2982244355966,22.6110299475923,21.7028950088737,22.7402476552478,22.676030568967,22.0537665513246,-0.741805135371116,-1.15689449359777,-0.326715777144467,21.4312054973661,-3.61698054699666,-0.895221718462445,0.00085846122558969,0.00703137944519016,-1,-1,1.59707638732965,0.0252885316157598,"DOWN","DOWN","DOWN"
