"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P32119","P32119","PRDX2_HUMAN","PRDX2","Peroxiredoxin-2",16,232884744,"PRDX2","ENSG00000167815",TRUE,FALSE,26.9825935228092,26.9315078663415,32.1901391390873,27.5436733047481,26.6504852015718,27.0818181437309,31.2323415160942,26.5299262849007,26.4929965701696,27.2530249809966,28.6410525629155,27.4187208120001,27.3555051778217,26.1987093910896,28.3737888935681,29.1841349409649,27.9616978887931,29.7489605765038,28.477522714922,27.1168122583891,27.4265085839259,29.0792409381373,28.2613785805147,26.857735849732,26.7379772171337,27.1037929283272,26.4147783151312,29.7207388677387,28.3451914342223,25.6108320318815,25.9654944295282,25.8138109559907,25.718829250176,25.897557711084,25.8542879334331,26.0728461757516,26.647716809865,26.2387107247124,26.0511049540432,1.3421090053686,0.777274896904006,1.90694311383319,27.4149729599679,4.80133295075784,2.56396223260663,2.19689183615913e-05,0.0004517650977974,1,1,4.48947182207344,3.23987442730034e-05,"UP","UP","UP"
"P15090","P15090","FABP4_HUMAN","FABP4","Fatty acid-binding protein, adipocyte",8,118190920,"FABP4","ENSG00000170323",TRUE,FALSE,23.7842355819666,23.6430139189572,30.3659743688804,25.4269402590999,24.4346493598513,24.3068173241944,30.4606998607201,26.016203267231,25.2332331185979,26.2943566907647,29.6910003098977,24.8289293451462,25.3542870943963,23.3607199006811,24.8685388029702,27.2834181582629,25.6647515867325,29.6265241803728,26.7954454022182,26.0302265464723,26.17413297788,27.3218238519176,24.9678165206607,25.3399194816421,23.5303088783657,23.9875867237652,23.5311952435102,31.7027771594585,27.2959478717023,24.0487789872387,24.0832223506347,23.1416775239056,22.7782405692931,23.8281172969339,23.9397728339891,23.2950502645762,23.9503445937022,23.8975904118661,23.3992463041905,1.51123730844908,0.697018188043965,2.3254564288542,25.479064485196,3.75047536603632,-0.499320301447989,0.00055575683380419,0.0050913647381209,1,1,3.46551769571749,0.000342359437600452,"UP","UP","UP"
"P00918","P00918","CAH2_HUMAN","CA2","Carbonic anhydrase 2",14,107165263,"CA2","ENSG00000104267",TRUE,FALSE,25.6921247449344,25.9920105694604,29.5703208581586,26.3315728891791,25.9527622838613,25.440017063072,29.8820274275352,25.4742650006302,25.9206608309294,26.2023353162748,27.5361104899993,26.2029358656821,25.6497487225117,25.645427777316,27.276811755551,28.0393726456629,26.9956387081636,28.8701391202801,27.4401684175497,26.0830436798566,26.2014180497598,27.7354968121364,27.5661791538314,25.4908692034938,25.7245737299866,25.7397056455997,25.5553192988472,28.0522567382461,26.9251633903377,24.9104244326897,25.0333245315413,25.8890933077212,25.125575017119,24.6370065328133,24.4788008903872,25.0186063617889,25.1472870568636,25.1678207467892,25.0776846466529,1.34483376569521,0.800725440033136,1.88894209135729,26.2993358900824,4.99434087719009,3.15110067690654,1.18848909026287e-05,0.00028716867643476,1,1,4.76321686641849,1.7249763041377e-05,"UP","UP","UP"
"P01009","P01009","A1AT_HUMAN","SERPINA1","Alpha-1-antitrypsin",30,104575383,"SERPINA1","ENSG00000197249",TRUE,FALSE,25.138414751115,27.6578479856788,29.2231839206419,25.337374610833,24.5713223874907,24.3995418278872,29.6204384236671,25.5465879678684,26.0284219106271,26.5470141128051,28.4094751664641,26.0261106073484,26.2861295400694,24.2320410499001,25.9195304082771,28.1673359219843,26.5784089820211,29.2721925452133,27.5439147766401,26.4723727728119,26.0802074385925,28.3517498222355,26.8651154305792,25.9066436761262,25.0646452518277,25.1239215412097,23.8236235689466,30.1962411075224,27.671121285241,24.2475818470032,24.2454525910503,24.366794936431,23.3985875180119,23.7855899186789,24.276644228299,23.670634633024,25.0425253368386,23.0850632702605,23.7917844370947,1.89154976330621,1.14915124180175,2.63394828481067,25.9479894232902,5.14843957964815,3.62335572220719,7.25587076963833e-06,0.00019754363658747,1,1,7.00693769148094,9.84152292618817e-08,"UP","UP","UP"
"P00441","P00441","SODC_HUMAN","SOD1","Superoxide dismutase [Cu-Zn]",7,42676446,"SOD1","ENSG00000142168",TRUE,FALSE,25.4608273164495,24.7190828319048,26.7339968954836,25.4599166370241,25.5161853997833,25.3889001419137,27.1669962134341,25.0343864820327,25.7142076531969,25.235946510041,25.8365417445781,25.5236216285547,25.3307378657323,25.3123337446927,24.9218851460092,25.7286884631639,25.2368969127085,26.5919143099124,25.6302383929092,25.0143735674672,25.4493725568152,25.5628666197016,25.3244627193889,24.6135885312951,25.0066770901017,24.6196682968629,25.0658379995354,27.4031096748893,25.716307333285,24.9709730293651,24.3423281601424,24.0078579435204,24.459389211903,24.3380680817693,24.644626477984,24.742082174228,24.8053473933863,25.2568206007936,24.6359960763441,0.852828399114223,0.57800506980243,1.12765172842602,25.2954630212386,6.27051202116296,7.11082064332392,1.91822945065378e-07,1.37331019559769e-05,1,1,4.14664898319036,7.13429423691468e-05,"UP","UP","UP"
"P62937","P62937","PPIA_HUMAN","PPIA","Peptidyl-prolyl cis-trans isomerase A",10,35126656,"PPIA","ENSG00000196262",TRUE,FALSE,24.2559443839177,24.5295560475596,27.2810962474738,24.3737470881533,23.9384642698772,24.0819657867545,27.545558630287,24.947436199835,24.8396884338875,25.0380614728256,26.2140908304647,24.8547060280613,25.2114257430431,24.4454998143122,24.8698721717472,25.7665086915528,24.9203879314152,26.5550602655491,24.902311582704,24.7549813232799,24.740787747188,25.6643009202178,25.1217101748623,25.376870199161,24.349601674172,24.7177023127546,24.2555744823737,28.3052107596551,25.3380947794462,24.6836604655692,24.3189051739192,24.4249395081165,23.4814861154896,23.7276995537636,23.9313633263676,23.5331789790529,23.9899142178628,24.2605332480547,24.058409733279,0.754355665142953,0.372991646301702,1.1357196839842,24.9129822131796,3.99697459640912,0.193248375250844,0.00026635164690425,0.00291894171738649,1,1,1.91212156164223,0.0122427346978048,"UP","UP","UP"
"P08670","P08670","VIME_HUMAN","VIM","Vimentin",55,33427259,"VIM","ENSG00000026025",TRUE,FALSE,21.9040530605973,24.9407810911476,28.1549079656278,23.1371040735318,22.2533410170518,21.1373194478073,26.9193933472554,24.1585618442236,22.894550583349,24.556904112716,27.0508557777794,22.4376076559049,24.0159269877474,22.2944055790094,22.2308006660453,25.279035709598,23.7770084464283,26.6360480687382,24.718051472297,24.9021764654798,24.2891443106927,26.2904105363929,22.631683671474,23.5546774360798,21.1394161251365,21.5318336326973,21.7921279236988,29.2102271493613,25.4319642219735,21.3457525546857,21.4398363712676,21.2568906513822,20.4775102288982,21.4199709751582,21.1211779520544,20.9094820520761,21.5150842500628,20.8126954999634,21.1889973293279,1.93809658317949,1.12279520240214,2.75339796395683,23.3527619549928,4.80343795579025,2.57033624881763,2.18227570180176e-05,0.0004517650977974,1,1,6.48310231422035,3.28774166766651e-07,"UP","UP","UP"
"P09382","P09382","LEG1_HUMAN","LGALS1","Galectin-1",10,30742999,"LGALS1","ENSG00000100097",TRUE,FALSE,24.5368274376304,25.1838776028211,26.6513885515692,24.3230968855272,23.6560572687556,23.7748218513585,26.0302875133592,24.8654792074738,25.2715373812851,25.2237347827652,26.2428497185204,25.0842708398199,24.6371713234049,25.4320809247535,24.5020647116429,25.5995299492418,25.1872208952644,25.6877668478456,25.1976965095595,25.2572321070777,24.9936479280197,25.2479663831469,25.1732527132713,24.8222467239665,24.2068030207923,23.7942445355834,24.9242108596958,26.7829877419195,24.8028580241351,25.3203589002112,24.5133005082751,23.9282765029252,23.3271547387248,23.505808435412,23.331771876315,23.097049952535,24.0098007296443,24.1146169113585,25.1352502740558,1.08769316299896,0.638785439007099,1.53660088699083,24.8045281812734,4.89603222971995,2.85137942608921,1.6260765729157e-05,0.00036548907156349,1,1,3.73853802015407,0.000182583689984401,"UP","UP","UP"
"P30043","P30043","BLVRB_HUMAN","BLVRB","Flavin reductase (NADPH)",11,29762356,"BLVRB","ENSG00000090013",TRUE,FALSE,23.9498770537005,23.9363992655557,26.9628192223286,24.5810244675874,23.9741962034444,23.6870898427551,27.2155323742167,24.1224803647683,24.4672093655377,24.5088731471716,25.209004597607,24.3786757755748,23.977427188672,23.9741681123671,25.1690019842425,26.3588005496654,25.2390547239515,26.5292624671069,25.8930677351916,24.3297574222683,24.66547418101,25.916246110642,25.3789580459194,23.7446040503393,24.2830283170794,24.0225791951916,23.5751600156262,23.8064279125693,24.9274093400026,23.4291703229633,23.2985129448921,23.3418589986435,23.1266156655346,22.8392261351875,23.2246151423662,22.8551948720907,24.3468431681279,23.6528056811514,23.1983465323301,1.27091073349501,0.791250942124633,1.7505705248654,24.4127384229585,5.35397921343088,4.25712755061626,3.74484383621508e-06,0.00012699619535796,1,1,4.95173420628762,1.11754699141381e-05,"UP","UP","UP"
"P07355","P07355","ANXA2_HUMAN","ANXA2","Annexin A2",36,29456547,"ANXA2","ENSG00000182718",TRUE,FALSE,23.5657739278693,23.6164471375422,27.5974153991663,23.9720364367081,23.4445292066599,23.426687494777,27.6916896397258,24.9407166461855,24.1727151663805,24.988073027935,27.3300131419975,23.3649993613253,24.7098101757136,23.0605157069646,23.6054772395867,25.8240739467718,24.565809550209,27.2904093134204,25.1874926080867,25.4418423838848,24.6674982277381,25.9272011340259,23.5143702046067,24.8315973165632,22.98417777427,23.1346280255178,23.4183493062726,27.557648516427,25.7639609481877,22.8675872040637,23.226286556424,22.9627284523606,22.5668823793057,22.8272447680846,22.9048561790112,22.4047498720305,22.6634972526918,22.9794672086446,22.9745797319362,1.17645356173165,0.600084661411443,1.75282246205186,24.3070215017711,4.12447995387969,0.558736602381764,0.00018093449467215,0.00213259986708092,1,1,3.14241407619189,0.000720420270041911,"UP","UP","UP"
