"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"Q9Y235","Q9Y235","ABEC2_HUMAN","APOBEC2","C->U-editing enzyme APOBEC-2",7,18673915,"APOBEC2","ENSG00000124701",TRUE,FALSE,24.4351606932528,23.8720485747955,NA,24.4019326341458,23.5362613703122,23.3384431498969,20.1906188336701,23.858856243477,24.14437615644,24.1850458073671,23.7163878083534,24.1358315874407,23.718608565066,24.6057189635177,24.4258753053796,23.4920124232287,23.7097062769925,23.3567482210004,23.8699834766388,24.1078456608305,24.1367302432125,22.8522355627011,23.3483113138934,23.9278357089106,23.9807094170255,24.0920459347118,24.5932029785947,19.882279492054,23.1941622845719,22.9867573642788,24.5978108604485,24.4836428722574,24.9064770273173,24.7636369412068,24.7366878698306,24.5123450665687,24.9829519737843,25.0288551191344,24.3966826085291,-0.720740705509105,-1.12121097290317,-0.320270438115035,23.8553900629168,-3.63953693163316,-0.93275255479019,0.00078642329058981,0.00415343229702218,-1,-1,1.7165109212896,0.0192083065763459,"DOWN","DOWN","DOWN"
"O00483","O00483","NDUA4_HUMAN","NDUFA4","Cytochrome c oxidase subunit NDUFA4",4,16954986,"NDUFA4","ENSG00000189043",TRUE,FALSE,24.5246830188868,24.3004004582706,22.6122198753542,23.4118665556067,24.1265396609414,24.8817093678179,22.8802390841531,23.457527280225,23.0901687341736,23.1611985068703,22.5571185556228,23.2804314950218,23.4001153462107,23.4530084180308,24.1233277288263,22.966310374163,23.3515916498664,22.72904047375,23.2156575415078,23.343398897648,23.7037375946992,22.9430401310784,23.2786036731885,23.4384339389471,24.4335996077062,24.5436698814109,24.3085098564199,22.9580557915027,23.1064325408481,24.2763309297548,24.8681992974421,24.8755122856835,24.5753128997626,24.8587339190849,24.4937561097267,24.6471739663656,24.0055210242368,23.9984061039971,24.818739495897,-0.980137622063022,-1.30978551730254,-0.650489726823501,23.7691877454026,-6.00802456771614,6.23949506908844,4.49871724885806e-07,1.12935330416138e-05,-1,-1,4.84890760948338,1.41609500375529e-05,"DOWN","DOWN","DOWN"
"O14958","O14958","CASQ2_HUMAN","CASQ2","Calsequestrin-2",13,14578919,"CASQ2","ENSG00000118729",TRUE,FALSE,23.5914309727642,23.1510091755307,NA,23.898719598998,23.955727642887,24.1062077103724,22.9630145435929,23.2399290342759,24.0405075197764,23.674704629035,22.9545920157185,24.1308395729452,23.69729445117,23.8087433309572,23.4774663933581,22.0947161300889,22.8198438098195,22.6552788300899,22.091740327672,22.4599121305178,23.5265648641277,22.0718044491247,23.5305919120622,23.880613309713,24.2493191252383,24.2569736458708,24.3795043869439,NA,23.3700036779856,24.0879359952125,24.1439090898074,23.8628704889229,23.5465393266864,24.5763654122255,24.7420106473132,24.0082665999718,24.1248898699272,24.2593065093362,23.7158050009261,-0.721334939387525,-1.11589305991882,-0.326776818856228,23.5985122197558,-3.70018909918408,-0.783123277711309,0.00067536173762917,0.00362631733010332,-1,-1,1.76044258528917,0.0173603075488592,"DOWN","DOWN","DOWN"
"Q5VXT5","Q5VXT5","SYPL2_HUMAN","SYPL2","Synaptophysin-like protein 2",3,7968480,"SYPL2","ENSG00000143028",TRUE,FALSE,23.1223669942979,23.0412756274458,NA,22.2045304736249,23.0338187092193,22.4356614165458,21.8097237970138,22.3828420225186,22.9304338136577,22.7110681312245,22.2139784396926,22.7999643915023,23.0340981939888,22.6731372372538,22.8462912760298,21.4495581943918,22.6305230411666,21.2329559455839,22.7569527509621,22.7538709454945,22.2234822553543,22.0304449188214,23.0168993824037,22.986001787113,22.3886560645726,22.6129261559902,23.1793885012492,NA,22.2748214061423,22.940160936327,23.3836743094261,23.6526428527533,23.4061222675311,23.0753889514565,23.5128346459769,23.5555359737592,23.4388444571289,22.9834587196902,23.8086810283005,-0.747954710149521,-1.02148916599637,-0.474420254302672,22.7711625950165,-5.53428089471122,4.62284336293162,2.42833886660696e-06,4.04653364582004e-05,-1,-1,3.285702844927,0.000517961112593052,"DOWN","DOWN","DOWN"
"P54652","P54652","HSP72_HUMAN","HSPA2","Heat shock-related 70 kDa protein 2",16,7706524,"HSPA2","ENSG00000126803",TRUE,FALSE,23.7376951407323,23.7585091753904,NA,22.6551464522092,21.7116031185245,22.2076095082834,20.0581189827478,21.9482127095237,22.7210405355789,22.6337590632814,22.2761113471824,22.2984737361256,22.1746174211952,23.0893963442479,22.3549843334805,23.2005280592554,23.6481471173116,22.2939975320943,23.0225204426132,22.9160339688018,22.0474608952403,21.9444899337079,22.8441215835353,23.1445180092982,22.7007665183804,22.5918423261833,23.058627648364,20.2633645570069,21.3178201029251,23.5349452426204,23.3873566457261,23.0634868753098,22.9615723575954,23.1957866970035,23.6748093582056,22.7688372513447,23.7089345613116,23.1876877213344,23.4210676565817,-0.723221799094649,-1.1188854108856,-0.327558187303702,22.6716842350067,-3.69643228531156,-0.776654423486399,0.00066660692781034,0.00359930500407095,-1,-1,1.76739594439501,0.0170845701200327,"DOWN","DOWN","DOWN"
"Q96IX5","Q96IX5","ATPMD_HUMAN","ATP5MD","ATP synthase membrane subunit DAPIT, mitochondrial",3,7134092,"ATP5MK","ENSG00000173915",TRUE,FALSE,22.9107817460308,22.61169771257,19.6764818156012,22.522961119491,23.5627089316143,24.1337349509888,20.8588966400876,22.3635982238636,21.9778860087611,22.2894560890154,21.5593248044565,22.2232689425222,22.4738363266287,22.3601042157139,22.2587045245136,21.1740107308356,22.6918353579031,21.5588887753575,21.5375120920315,22.3831741183935,22.3067779899073,22.1057621310205,22.2640918449428,21.6922797475103,23.3564188623116,23.1885583018814,23.0829508300415,20.6884149277554,22.2305976000578,22.7599625809894,23.3390458774774,22.3371285297992,23.3690158556772,23.3175992809663,23.1899542825045,23.6123260766043,22.5461848214715,22.7585135310495,23.5352735316624,-0.617277886313222,-1.00116712668153,-0.233388645944915,22.4310184546156,-3.24914973762135,-1.96105275605479,0.00233957725939855,0.00986844093571976,-1,-1,1.23810601791142,0.0577954942561021,"DOWN","DOWN","NDE"
"P21266","P21266","GSTM3_HUMAN","GSTM3","Glutathione S-transferase Mu 3",15,6304691,"GSTM3","ENSG00000134202",TRUE,FALSE,22.7714600785801,21.9484184330579,21.0817700538277,22.3102743465363,22.91824144845,22.791111259856,21.6114453828635,21.1308688360175,22.0717296641227,21.6074087136111,23.3277253089021,22.7416672477133,22.530828127098,23.6016736781266,23.0189190482055,21.8818227786199,21.8487053219177,22.3958992333316,21.1648606279027,21.2345326157023,22.7453093551008,22.4991245121646,21.6587762848728,22.0323899912797,23.2452657379314,23.2783508537486,22.8965296163275,18.5841738806932,22.0361523744184,23.555206764665,22.6878733102222,21.2604851190133,23.4804598026394,22.5369040725112,23.1680623425802,23.1561654979651,22.843349431241,22.4078474857928,22.5045519739431,-0.693922654212333,-1.16842375792341,-0.219421550501251,22.3222138618347,-2.95507689577997,-2.70102645123868,0.00520311240667369,0.018556487605351,-1,-1,1.20153000698714,0.0628738410791019,"DOWN","DOWN","NDE"
"Q9UM54","Q9UM54","MYO6_HUMAN","MYO6","Unconventional myosin-VI",2,4815133,"MYO6","ENSG00000196586",TRUE,FALSE,21.1465246300626,22.5026470314406,18.7614197191694,21.9642984383301,23.2879126243945,22.61880606398,20.2374002774499,21.4157024035488,21.3391686337586,21.7250454913286,20.1895370999879,21.8581006364996,21.6808197996939,22.4822324400424,22.1595414614062,21.1057283824434,21.9877578603093,20.6490135102279,21.4902764709087,21.8152256274198,20.758694027757,20.8815541570433,22.1181341811728,22.0040545989829,22.3080470464026,22.5784218928874,21.4555567489308,19.518879542141,21.8039694430871,21.9193820420836,22.375173856092,22.8932870421735,23.1556380129954,23.054075645305,22.5825252218042,23.4921323307317,22.4588658347437,22.5570188076652,23.0894619757558,-0.894702932103321,-1.30141745668996,-0.48798840751668,21.8313341284656,-4.4451265112701,1.40032372027259,6.73347436250578e-05,0.00059611223712703,-1,-1,2.88512346017378,0.0013027963700377,"DOWN","DOWN","DOWN"
"P26678","P26678","PPLA_HUMAN","PLN","Cardiac phospholamban",1,4699548,"PLN","ENSG00000198523",TRUE,FALSE,22.1705201637983,22.0119543440807,NA,21.9291187545682,NA,21.5585644269997,NA,21.127651413174,22.1875087986279,21.6827850547153,19.2935788164167,21.9103277544296,21.4209034965551,21.2731106129501,21.6570840026661,NA,21.5350643143933,NA,21.9015432967338,22.3849571541429,21.3740679344368,19.711122878497,21.6086149186413,21.7273987221745,21.0999950070202,20.7433381397004,22.8689733804059,NA,NA,23.3306085476666,21.8760842566921,22.5771599283737,22.8789221358739,23.4293557395024,22.9455694356188,21.9609246850118,22.1362827236294,23.3235315051818,22.23422560517,-1.15324408336915,-1.61564544794501,-0.690842718793289,21.8709639983703,-5.07263749240991,2.94440349577483,1.46029377564024e-05,0.00017107562838258,-1,-1,4.34405348622334,4.52841806020873e-05,"DOWN","DOWN","DOWN"
"Q8NDY3","Q8NDY3","ARHL1_HUMAN","ADPRHL1","[Protein ADP-ribosylarginine] hydrolase-like protein 1",7,3758655,"ADPRHL1","ENSG00000153531",TRUE,FALSE,20.6414613559357,21.2158902819766,NA,20.8802198459017,22.147003803286,22.2479285661591,19.5719339723591,22.0459103761681,21.7725318771374,21.4026423685407,19.392701688998,21.3303292047472,21.0088399130629,22.4267941200503,21.7627240301204,20.8564550235795,21.3853976816055,20.033384316525,21.7133455353102,21.6182828108302,21.2295719092532,20.9965386056777,21.6169563117431,21.8827683956828,22.0003582487468,22.1683287595098,22.5023979473492,NA,20.0439442791194,23.0961341107858,22.2019511808816,22.4956857737923,22.3118924687874,21.6004779021116,22.0848733940743,22.6994276771402,22.0373488508072,22.5833243483268,21.9593813819149,-0.873622648262508,-1.28649856956663,-0.460746726958386,21.5936523869729,-4.2825482573713,0.862606552773994,0.00011986362696691,0.00091579601156937,-1,-1,2.65424142392117,0.00221696366903238,"DOWN","DOWN","DOWN"
