"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P60709","P60709","ACTB_HUMAN","ACTB","Actin, cytoplasmic 1",24,247617551,"ACTB","ENSG00000075624",TRUE,FALSE,26.5799524830954,30.0810653644929,31.9307776687038,26.8656254786684,26.0664663947523,25.7244283164364,30.4658491535057,26.7223970656871,26.946568131924,28.4013364345746,29.0581445306178,26.6986097896499,28.5217317380533,28.0366606875453,26.9105263461469,28.1978518255263,27.0369334131216,29.7088435331061,27.5434626868588,29.3315697033921,27.1017462268475,28.8955157045025,27.1576571636104,27.3611994213865,26.6960877009503,26.8590058735983,26.662013384416,31.0842115186702,28.2345922440296,26.8174446753646,26.8966449372552,27.0136153125767,25.5960920049402,26.6828962048025,25.9450306726077,25.4832118434208,26.1048418039039,26.3357302011569,26.4091941356493,1.45318727941012,0.772790643804161,2.13358391501608,27.5427059429628,4.31573110204455,1.0158200194791,0.00010059665018802,0.00082047816376986,1,1,4.48443854116092,3.27764156808014e-05,"UP","UP","UP"
"P32119","P32119","PRDX2_HUMAN","PRDX2","Peroxiredoxin-2",16,232884744,"PRDX2","ENSG00000167815",TRUE,FALSE,26.9825935228092,26.9315078663415,32.1901391390873,27.5436733047481,26.6504852015718,27.0818181437309,31.2323415160942,26.5299262849007,26.4929965701696,27.2530249809966,28.6410525629155,27.4187208120001,27.3555051778217,26.1987093910896,28.3737888935681,29.1841349409649,27.9616978887931,29.7489605765038,28.477522714922,27.1168122583891,27.4265085839259,29.0792409381373,28.2613785805147,26.857735849732,26.7379772171337,27.1037929283272,26.4147783151312,29.7207388677387,28.3451914342223,25.6108320318815,25.9654944295282,25.8138109559907,25.718829250176,25.897557711084,25.8542879334331,26.0728461757516,26.647716809865,26.2387107247124,26.0511049540432,1.41776888149787,0.864856309831495,1.97068145316424,27.4149729599679,5.18136184319712,3.64760217501643,6.52796608775686e-06,8.8241667465972e-05,1,1,5.74809765480058,1.78608591311724e-06,"UP","UP","UP"
"P15090","P15090","FABP4_HUMAN","FABP4","Fatty acid-binding protein, adipocyte",8,118190920,"FABP4","ENSG00000170323",TRUE,FALSE,23.7842355819666,23.6430139189572,30.3659743688804,25.4269402590999,24.4346493598513,24.3068173241944,30.4606998607201,26.016203267231,25.2332331185979,26.2943566907647,29.6910003098977,24.8289293451462,25.3542870943963,23.3607199006811,24.8685388029702,27.2834181582629,25.6647515867325,29.6265241803728,26.7954454022182,26.0302265464723,26.17413297788,27.3218238519176,24.9678165206607,25.3399194816421,23.5303088783657,23.9875867237652,23.5311952435102,31.7027771594585,27.2959478717023,24.0487789872387,24.0832223506347,23.1416775239056,22.7782405692931,23.8281172969339,23.9397728339891,23.2950502645762,23.9503445937022,23.8975904118661,23.3992463041905,1.94954830171895,1.15251430356523,2.74658229987267,25.479064485196,4.94256170662542,2.90953980233267,1.40204918079614e-05,0.00016525372356578,1,1,7.37289680017641,4.23743646753748e-08,"UP","UP","UP"
"P00918","P00918","CAH2_HUMAN","CA2","Carbonic anhydrase 2",14,107165263,"CA2","ENSG00000104267",TRUE,FALSE,25.6921247449344,25.9920105694604,29.5703208581586,26.3315728891791,25.9527622838613,25.440017063072,29.8820274275352,25.4742650006302,25.9206608309294,26.2023353162748,27.5361104899993,26.2029358656821,25.6497487225117,25.645427777316,27.276811755551,28.0393726456629,26.9956387081636,28.8701391202801,27.4401684175497,26.0830436798566,26.2014180497598,27.7354968121364,27.5661791538314,25.4908692034938,25.7245737299866,25.7397056455997,25.5553192988472,28.0522567382461,26.9251633903377,24.9104244326897,25.0333245315413,25.8890933077212,25.125575017119,24.6370065328133,24.4788008903872,25.0186063617889,25.1472870568636,25.1678207467892,25.0776846466529,1.20048626039326,0.667862027723075,1.73311049306345,26.2993358900824,4.55440051336843,1.72791265001992,4.78586420396252e-05,0.00046025251274923,1,1,4.00602725093894,9.86217600896453e-05,"UP","UP","UP"
"P01009","P01009","A1AT_HUMAN","SERPINA1","Alpha-1-antitrypsin",30,104575383,"SERPINA1","ENSG00000197249",TRUE,FALSE,25.138414751115,27.6578479856788,29.2231839206419,25.337374610833,24.5713223874907,24.3995418278872,29.6204384236671,25.5465879678684,26.0284219106271,26.5470141128051,28.4094751664641,26.0261106073484,26.2861295400694,24.2320410499001,25.9195304082771,28.1673359219843,26.5784089820211,29.2721925452133,27.5439147766401,26.4723727728119,26.0802074385925,28.3517498222355,26.8651154305792,25.9066436761262,25.0646452518277,25.1239215412097,23.8236235689466,30.1962411075224,27.671121285241,24.2475818470032,24.2454525910503,24.366794936431,23.3985875180119,23.7855899186789,24.276644228299,23.670634633024,25.0425253368386,23.0850632702605,23.7917844370947,2.22733167369259,1.50060241004708,2.9540609373381,25.9479894232902,6.19308715455001,6.82315492532847,2.46643062213918e-07,7.01119175381623e-06,1,1,11.4801310762417,3.31031196488117e-12,"UP","UP","UP"
"P02585","P02585","TNNC2_HUMAN","TNNC2","Troponin C, skeletal muscle",9,55708941,"TNNC2","ENSG00000101470",TRUE,FALSE,24.3188691915737,28.3480396518276,NA,24.7514167538024,23.8951908239546,23.5334695473125,24.5868211415376,25.3478136650592,25.3434424212343,26.219691915384,25.1333711984433,25.240914554758,26.1271108104971,26.4329626352857,24.4370231806822,26.0004130803979,25.4672944015607,20.8950222600239,25.9040170077635,27.7237136730169,25.1657596581077,25.3947226720265,25.5798253776838,24.9086341067799,24.5228332248762,24.3540840988397,25.1306979457124,NA,25.4213790695277,25.2238842008773,25.490376207033,24.4176159790894,24.1707190566776,24.2301053055291,24.1617150614193,23.8210600559686,25.1561823076686,24.559701137681,24.8937463635416,1.04390712254734,0.366889211726906,1.72092503336777,25.0353956687339,3.12075474377647,-2.30516182232676,0.00342493893604219,0.0133207383568804,1,1,1.95781826778605,0.0110200034940214,"UP","UP","UP"
"P60660","P60660","MYL6_HUMAN","MYL6","Myosin light polypeptide 6",8,47989588,"MYL6","ENSG00000092841",TRUE,FALSE,24.5811768729782,26.7739130865128,28.0596876916563,24.8219183052751,24.3147390733641,23.887381346199,27.6633550098403,24.8141480812246,24.9932803548773,25.9374954473065,26.325360402376,24.3735296127009,25.6045662691848,25.7763123586956,24.9846794495786,25.6063706535293,25.003299054211,27.0646314967491,25.4103808675836,26.4791914374319,24.9201835382423,25.8330197839046,24.6396181023293,25.8530056533246,24.4668800852733,24.8861083261322,25.383580698044,28.8354141555901,25.393395557509,24.4834803504372,25.1697746801697,25.0866365303234,24.54390423933,24.8710036790555,24.826672867053,24.6748757295499,24.3305554476301,24.6979789835104,24.8620518782316,0.659778903861319,0.187229769662876,1.13232803805976,25.3906040296645,2.82128136737701,-3.02298167392594,0.00739287192096145,0.0246812114390647,1,1,1.06068268654714,0.0869595559597956,"UP","UP","NDE"
"P62937","P62937","PPIA_HUMAN","PPIA","Peptidyl-prolyl cis-trans isomerase A",10,35126656,"PPIA","ENSG00000196262",TRUE,FALSE,24.2559443839177,24.5295560475596,27.2810962474738,24.3737470881533,23.9384642698772,24.0819657867545,27.545558630287,24.947436199835,24.8396884338875,25.0380614728256,26.2140908304647,24.8547060280613,25.2114257430431,24.4454998143122,24.8698721717472,25.7665086915528,24.9203879314152,26.5550602655491,24.902311582704,24.7549813232799,24.740787747188,25.6643009202178,25.1217101748623,25.376870199161,24.349601674172,24.7177023127546,24.2555744823737,28.3052107596551,25.3380947794462,24.6836604655692,24.3189051739192,24.4249395081165,23.4814861154896,23.7276995537636,23.9313633263676,23.5331789790529,23.9899142178628,24.2605332480547,24.058409733279,0.904261273321307,0.530946423459054,1.27757612318356,24.9129822131796,4.89455951171452,2.76208573076544,1.63371691106121e-05,0.00018910028677133,1,1,3.36684306353926,0.000429691671904904,"UP","UP","UP"
"P08670","P08670","VIME_HUMAN","VIM","Vimentin",55,33427259,"VIM","ENSG00000026025",TRUE,FALSE,21.9040530605973,24.9407810911476,28.1549079656278,23.1371040735318,22.2533410170518,21.1373194478073,26.9193933472554,24.1585618442236,22.894550583349,24.556904112716,27.0508557777794,22.4376076559049,24.0159269877474,22.2944055790094,22.2308006660453,25.279035709598,23.7770084464283,26.6360480687382,24.718051472297,24.9021764654798,24.2891443106927,26.2904105363929,22.631683671474,23.5546774360798,21.1394161251365,21.5318336326973,21.7921279236988,29.2102271493613,25.4319642219735,21.3457525546857,21.4398363712676,21.2568906513822,20.4775102288982,21.4199709751582,21.1211779520544,20.9094820520761,21.5150842500628,20.8126954999634,21.1889973293279,2.74258549609121,1.94449208003646,3.54067891214596,23.3527619549928,6.94386700516611,9.18495523893787,2.17150010763132e-08,1.19928848801467e-06,1,1,16.2390580778873,5.76689337986932e-17,"UP","UP","UP"
"P09382","P09382","LEG1_HUMAN","LGALS1","Galectin-1",10,30742999,"LGALS1","ENSG00000100097",TRUE,FALSE,24.5368274376304,25.1838776028211,26.6513885515692,24.3230968855272,23.6560572687556,23.7748218513585,26.0302875133592,24.8654792074738,25.2715373812851,25.2237347827652,26.2428497185204,25.0842708398199,24.6371713234049,25.4320809247535,24.5020647116429,25.5995299492418,25.1872208952644,25.6877668478456,25.1976965095595,25.2572321070777,24.9936479280197,25.2479663831469,25.1732527132713,24.8222467239665,24.2068030207923,23.7942445355834,24.9242108596958,26.7829877419195,24.8028580241351,25.3203589002112,24.5133005082751,23.9282765029252,23.3271547387248,23.505808435412,23.331771876315,23.097049952535,24.0098007296443,24.1146169113585,25.1352502740558,0.866926050652712,0.427493090791367,1.30635901051406,24.8045281812734,3.9864321123196,0.0564939133798603,0.00027495540455491,0.00178351945303574,1,1,2.38293883732431,0.0041405798343754,"UP","UP","UP"
