"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Baseline_FvM","down","92","0",0.05,0,"BH"
"Baseline_FvM","nonsig","1687","1881",0.05,0,"BH"
"Baseline_FvM","up","102","0",0.05,0,"BH"
"Training_FvM","down","84","0",0.05,0,"BH"
"Training_FvM","nonsig","1694","1881",0.05,0,"BH"
"Training_FvM","up","103","0",0.05,0,"BH"
"Training_F","down","103","0",0.05,0,"BH"
"Training_F","nonsig","1657","1879",0.05,0,"BH"
"Training_F","up","121","2",0.05,0,"BH"
"Training_M","down","58","0",0.05,0,"BH"
"Training_M","nonsig","1776","1881",0.05,0,"BH"
"Training_M","up","47","0",0.05,0,"BH"
"Interaction_sex","down","27","0",0.05,0,"BH"
"Interaction_sex","nonsig","1825","1881",0.05,0,"BH"
"Interaction_sex","up","29","0",0.05,0,"BH"
