"uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC_Baseline_FvM","CI.L_Baseline_FvM","CI.R_Baseline_FvM","average_intensity_Baseline_FvM","t_Baseline_FvM","B_Baseline_FvM","P.Value_Baseline_FvM","adj.P.Val_Baseline_FvM","sig.PVal_Baseline_FvM","sig.FDR_Baseline_FvM","logFC_Training_FvM","CI.L_Training_FvM","CI.R_Training_FvM","average_intensity_Training_FvM","t_Training_FvM","B_Training_FvM","P.Value_Training_FvM","adj.P.Val_Training_FvM","sig.PVal_Training_FvM","sig.FDR_Training_FvM","logFC_Training_F","CI.L_Training_F","CI.R_Training_F","average_intensity_Training_F","t_Training_F","B_Training_F","P.Value_Training_F","adj.P.Val_Training_F","sig.PVal_Training_F","sig.FDR_Training_F","logFC_Training_M","CI.L_Training_M","CI.R_Training_M","average_intensity_Training_M","t_Training_M","B_Training_M","P.Value_Training_M","adj.P.Val_Training_M","sig.PVal_Training_M","sig.FDR_Training_M","logFC_Interaction_sex","CI.L_Interaction_sex","CI.R_Interaction_sex","average_intensity_Interaction_sex","t_Interaction_sex","B_Interaction_sex","P.Value_Interaction_sex","adj.P.Val_Interaction_sex","sig.PVal_Interaction_sex","sig.FDR_Interaction_sex"
"P02144","MYG_HUMAN","MB","Myoglobin",16,3009813659,"MB","ENSG00000198125",TRUE,FALSE,31.7726477514438,31.3275533645541,27.9414721027484,31.2927770465459,30.4368378100974,31.2193918736486,31.878713342713,31.5367093357714,31.7085669770867,31.2649844303363,31.1061623951977,31.3739978044412,31.0411971872316,30.7543220893021,31.2098961944117,31.1406280404765,31.1125571026711,32.2710945467916,31.3855336605942,31.3603332400191,31.3704723822453,31.1038483396145,31.0978776121915,30.5519992685652,31.4868311861293,31.0943077228037,31.5582187279402,31.4287643221861,0.0185928135706384,-0.432432464482559,0.469618091623836,31.1724177092057,0.0844718345199407,-5.36267127745329,0.933287006317195,0.980111117984622,0,0,-0.0169513432905717,-0.477875742389381,0.443973055808237,31.1724177092057,-0.0753602126495494,-5.89029368412278,0.940468104106905,0.988317181794217,0,0,-0.127161407068254,-0.518162157738942,0.263839343602434,31.1724177092057,-0.666416019154322,-5.68991893551339,0.510641295808589,0.8438330200907,0,0,-0.0916172502070438,-0.512256427338274,0.329021926924186,31.1724177092057,-0.446308571743593,-5.36551319621271,0.658833368494021,0.969526975111537,0,0,-0.03554415686121,-0.609842776363887,0.538754462641466,31.1724177092057,-0.126823034062913,-4.6562918347226,0.899993816683748,0.998993917676101,0,0
"P06732","KCRM_HUMAN","CKM","Creatine kinase M-type",31,1856619866,"CKM","ENSG00000104879",TRUE,FALSE,30.8256482657955,30.4747981637963,27.4823150212017,30.8261651657862,30.7721026675515,31.0212006254594,30.1719872587128,30.5894347103542,30.3752516971472,30.4888949146877,30.517389789345,30.7420012711333,30.8350485868845,30.5107079946822,30.8118509312174,30.8152436071944,30.8173940924291,30.741267593078,30.49248936075,30.47672160519,30.5552846944431,30.525586009319,31.0983803748458,30.9098427599407,30.5346087919037,30.491858662933,30.561808135224,31.0239246810972,-0.00722686081518731,-0.354421391087373,0.339967669456998,30.553185979718,-0.0426525018279811,-5.36483482515703,0.966283585715604,0.986723992313052,0,0,0.0556420466404433,-0.29917272322535,0.410456816506236,30.553185979718,0.321343189814201,-5.84361496654166,0.750355194694017,0.944302959524905,0,0,0.10681050562529,-0.194177772794816,0.407798784045396,30.553185979718,0.727163518518569,-5.6500347735696,0.473208691197879,0.819618368455995,0,0,0.0439415981696598,-0.279862030195779,0.367745226535099,30.553185979718,0.278074926906707,-5.41690902132865,0.78301371011557,0.971944862463783,0,0,0.0628689074556306,-0.379220148605388,0.504957963516649,30.553185979718,0.291402882547683,-4.65213888466088,0.772907665036492,0.998993917676101,0,0
"P04075","ALDOA_HUMAN","ALDOA","Fructose-bisphosphate aldolase A",40,976429798,"ALDOA","ENSG00000149925",TRUE,FALSE,29.7712845610517,29.7076217225388,29.5474489688942,29.4965141270863,29.8863268970092,29.9717278950628,30.0227945756687,29.7550957935998,29.6348048604269,29.656665466846,29.7276476016866,29.7705429933431,29.8552056353716,29.7726305101925,29.8298940823341,29.850183526746,29.9517904541646,29.4154411613763,29.5752646434993,29.7339316844237,29.9409852722342,30.0972126662136,29.9622665132354,30.0027934349588,29.6085573274299,29.5972852395883,29.7491182123774,29.948333653545,0.0737469077536801,-0.130425893787168,0.277919709294528,29.7799774814609,0.740139566182413,-5.1452248349264,0.465423891342106,0.833993398110912,0,0,-0.00202421219217541,-0.210678206639546,0.206629782255195,29.7799774814609,-0.0198791141486501,-5.89282631490091,0.984281877601958,0.994859866614338,0,0,-0.0116716936591494,-0.188672235654476,0.165328848336177,29.7799774814609,-0.135122284269838,-5.89251887272178,0.89348932917666,0.974856976903305,0,0,0.0640994262867061,-0.126318014623536,0.254516867196948,29.7799774814609,0.689787170506026,-5.24982877655494,0.496049379877592,0.931766835347531,0,0,-0.0757711199458555,-0.335748029823339,0.184205789931628,29.7799774814609,-0.597223135720215,-4.63592924501172,0.555194575603694,0.998993917676101,0,0
"P04406","G3P_HUMAN","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase",30,900447324,"GAPDH","ENSG00000111640",TRUE,FALSE,29.6492884116641,29.7181579368825,30.0378001371452,29.6369617432421,29.8346178790738,29.6962616181773,30.0920651501123,29.7709098070072,29.417274303593,29.5649769281479,29.8928343173691,29.6360759047122,29.691053186054,29.5848446469277,29.938051459172,29.7581214386793,30.0292322555919,29.293770280424,29.7446812755456,29.7769618234987,29.848073148016,30.0557126904619,29.5148542691461,29.7910285466503,29.576523991606,29.6352497934339,29.2940409616454,29.5668413285632,0.064853693247283,-0.157494055385026,0.287201441879592,29.7159380440194,0.597681304117307,-5.22129335362408,0.55489308786942,0.868347669120116,0,0,-0.103918900368157,-0.331146746380886,0.123308945644571,29.7159380440194,-0.937131821730005,-5.479035762971,0.356765660022204,0.790778535973924,0,0,0.0564906066753572,-0.136266076498653,0.249247289849368,29.7159380440194,0.600529696736478,-5.72937221971036,0.553020660803301,0.864435753787066,0,0,0.225263200290797,0.0178952797490033,0.432631120832591,29.7159380440194,2.22595495453785,-3.54518234807685,0.0343083450164231,0.832524798615716,1,0,-0.16877259361544,-0.451891991357936,0.114346804127056,29.7159380440194,-1.22151834317741,-4.57127810092181,0.232153219599066,0.998993917676101,0,0
"P12277","KCRB_HUMAN","CKB","Creatine kinase B-type",20,848168505,"CKB","ENSG00000166165",TRUE,FALSE,29.214085268251,29.307246418037,29.8055380676799,29.2884498132181,30.4096311014536,30.2501266014083,29.4863735141715,29.0760789613554,29.2600805900673,29.1458425656969,29.7907891255749,29.2693121013084,29.185199875205,28.9556841277887,28.8768403762044,28.840761750506,29.0635465180869,29.8258623512735,29.1862721759866,29.1982422703197,29.3201225135902,29.0620344773442,29.4684684235537,29.7278167906671,30.0041660075418,30.0101027746614,29.4030581123897,29.5739234362686,-0.0561194905033275,-0.429890480119171,0.317651499112516,29.4287734324861,-0.30766339171767,-5.32712496532547,0.760632938663636,0.929058803653441,0,0,-0.0873255161602167,-0.469300046574297,0.294649014253864,29.4287734324861,-0.468462088249736,-5.7882611226869,0.643108654867151,0.896489746158001,0,0,-0.067247769415193,-0.391275589207332,0.256780050376946,29.4287734324861,-0.425268562523344,-5.8147730974032,0.673916621492805,0.910568072267156,0,0,-0.0360417437583038,-0.384631344292822,0.312547856776214,29.4287734324861,-0.211864924375882,-5.43063463671601,0.833758892322912,0.982620776253835,0,0,-0.0312060256568891,-0.507135366631011,0.444723315317233,29.4287734324861,-0.134358044944719,-4.65617282648486,0.894087988569858,0.998993917676101,0,0
"P07451","CAH3_HUMAN","CA3","Carbonic anhydrase 3",21,706315366,"CA3","ENSG00000164879",TRUE,FALSE,29.3849613037892,29.3457308120718,27.0630391180994,29.7327244139321,29.3654119070576,29.3201278847839,29.7896949108578,29.1992897895793,29.95348912534,29.5116150551562,28.9850670677683,29.6189871580128,29.5417807064846,29.2309118691328,29.7384896630581,28.9090631442454,29.2220772214654,31.3116745558264,28.8197657177834,28.8140204280878,28.6351862965518,28.8705385763493,29.3786610989345,29.2838828472326,29.1992489265895,29.6043568662268,29.2198206689985,29.2882968047114,0.0326440229744946,-0.399325059793068,0.464613105742057,29.2977826406474,0.154852672487997,-5.35581967614949,0.878056890939597,0.972443111353873,0,0,0.0144507015526685,-0.426999256115599,0.455900659220936,29.2977826406474,0.067077234132426,-5.89085912442915,0.947000576724802,0.988517250177221,0,0,0.113301984044952,-0.261178657833227,0.487782625923131,29.2977826406474,0.619977368973501,-5.71814086449008,0.540324421876975,0.858603430135712,0,0,0.131495305466778,-0.271371514561097,0.534362125494653,29.2977826406474,0.668831073740398,-5.26167393248956,0.509122549029997,0.931766835347531,0,0,-0.0181933214218262,-0.568227343843044,0.531840700999392,29.2977826406474,-0.0677782159117648,-4.65698698201102,0.946447586717213,0.998993917676101,0,0
"Q13642","FHL1_HUMAN","FHL1","Four and a half LIM domains protein 1",18,508101722,"FHL1","ENSG00000022267",TRUE,FALSE,29.0719971890595,28.9516395045885,27.1518091138469,28.8960712534903,27.9036023213548,29.0995933785427,28.2752568781003,28.9106583860263,29.1436879486345,28.9662660622117,28.2445233338595,28.838372390772,29.1071258360188,28.5576437022323,28.9128875396529,28.2165826890442,28.0690169944499,28.6815365595028,28.3367283037776,28.8386355092948,28.6545086411742,28.1462387785574,28.4858416943951,29.1558905779037,28.7412508764349,28.6870054342597,29.2582463644402,28.637408709403,-0.0143369381290022,-0.416233435163555,0.387559558905551,28.640715213251,-0.0730987388945571,-5.36340053519237,0.942251243539748,0.981108871654634,0,0,0.185281491576571,-0.225435846030654,0.595998829183797,28.640715213251,0.924393103030051,-5.49003373147889,0.363240754694931,0.793560812521678,0,0,0.19385261583437,-0.154557638931652,0.542262870600392,28.640715213251,1.14011439991889,-5.29254615845964,0.263971718747061,0.695419396546016,0,0,-0.00576581387120356,-0.380586073467826,0.369054445725419,28.640715213251,-0.0315213824165056,-5.44923690318378,0.975079082597661,0.993396438674862,0,0,0.199618429705573,-0.312123627028289,0.711360486439436,28.640715213251,0.799313630560323,-4.61940459811006,0.430889061186207,0.998993917676101,0,0
"P68133","ACTS_HUMAN","ACTA1","Actin, alpha skeletal muscle",18,434564315,"ACTA1","ENSG00000143632",TRUE,FALSE,27.5128913248856,31.6041149146796,28.8253465729459,28.0090682820666,26.810518088935,26.2614477260901,28.6404856130424,27.1743628122149,27.8188998648879,29.7742655424907,27.8874078589402,27.6052935885111,29.6788462331753,29.555279150694,27.5377466076414,27.9744640950753,27.0923241260621,27.4525035857663,27.9458327621525,30.8761120255391,27.53631307872,27.5528606153694,27.7250493627322,27.8766199327596,28.2317413759959,28.2376818754326,27.9394419724473,28.0528051196881,-0.454713983819698,-1.68212317612093,0.772695208481537,28.185347289605,-0.759130836451273,-5.13391373738203,0.454166758516767,0.833993398110912,0,0,0.149306736116223,-1.10504168278342,1.40365515501587,28.185347289605,0.243909608662417,-5.86453048919819,0.809092866987868,0.963283182209567,0,0,0.938746410553474,-0.125313496778994,2.00280631788594,28.185347289605,1.80779801017557,-4.42444810530214,0.0814760439235145,0.464413450364033,0,0,0.334725690617553,-0.809991507676604,1.47944288891171,28.185347289605,0.599181689071845,-5.2985069883319,0.553906383414508,0.943019398635128,0,0,0.604020719935921,-0.958861537453549,2.16690297732539,28.185347289605,0.791941806842916,-4.62008526301592,0.435104078340647,0.998993917676101,0,0
"P06733","ENOA_HUMAN","ENO1","Alpha-enolase",27,343275854,"ENO1","ENSG00000074800",TRUE,FALSE,27.9396958946922,27.9506564551514,30.7977398410772,27.9141913915766,28.2442188093124,27.7420020517908,30.0025065610626,28.0390882152292,28.1556744530836,28.3994385149408,29.0420817764079,27.7645286450912,28.0209759543597,28.1090729907853,28.1194049954704,28.6013477002729,28.2306345510358,29.2606226216878,28.3666192145913,28.5104701587354,28.2445616251923,28.7999270176108,28.2613344403281,28.1800980238958,28.1047360946423,27.8245708291018,28.0178324533455,28.3858763359805,-0.0141455600459004,-0.419849193672402,0.391558073580601,28.3939252720161,-0.0714461684993284,-5.3634977448184,0.943554465084121,0.981108871654634,0,0,0.131399673624728,-0.283208359762356,0.546007707011811,28.3939252720161,0.649417919757761,-5.69248102937814,0.521401126673763,0.862581811146305,0,0,0.0873476611383168,-0.264363058896044,0.439058381172678,28.3939252720161,0.508901076167377,-5.77758875406937,0.614839198261499,0.890873888435725,0,0,-0.0581975725323112,-0.436568477472307,0.320173332407685,28.3939252720161,-0.315177227540228,-5.40760642474391,0.754982078394695,0.971944862463783,0,0,0.145545233670628,-0.371044518736638,0.662134986077894,28.3939252720161,0.577324376521585,-4.63731171256968,0.568369401099253,0.998993917676101,0,0
"P13929","ENOB_HUMAN","ENO3","Beta-enolase",18,300707791,"ENO3","ENSG00000108515",TRUE,FALSE,28.1196656910319,27.809638763429,25.0778012610844,27.7078195548305,27.9932415469342,27.8336402030509,26.347356364874,28.2639894918827,27.8955445594149,27.8812545431645,27.772056182518,27.9598688818273,27.9480961234571,27.8817463563886,27.8623482711511,27.857897988131,28.3008068680997,26.7754328627677,28.369631512437,28.4444732518507,28.4446380467848,28.4961637904215,27.6709989061407,27.6711793011851,27.985982245239,28.0985189952479,28.5529772665697,27.8306136496699,-0.144097766298632,-0.548289399362032,0.260093866764768,27.8161922314137,-0.730529274154126,-5.15084462026996,0.47118222261688,0.834611779278246,0,0,-0.164928832868281,-0.577991680242747,0.248134014506186,27.8161922314137,-0.818178655615259,-5.576212557439,0.420216893770036,0.813202614572915,0,0,-0.0305661563807043,-0.380966099871145,0.319833787109737,27.8161922314137,-0.178749360852365,-5.8859525518022,0.859431529013568,0.960774803733463,0,0,-0.00973508981105553,-0.386695859435731,0.36722567981362,27.8161922314137,-0.0529189844688823,-5.44847047310089,0.958175108473312,0.991591825308603,0,0,-0.0208310665696487,-0.53549556139529,0.493833428255992,27.8161922314137,-0.0829382738806103,-4.65684870611742,0.934495260122996,0.998993917676101,0,0
