sample_id,array_weight
CR006_T1,1.2999
CR006_T2,0.706
CR007_T1,0.1402
CR007_T2,1.6763
CR008_T1,0.6651
CR008_T2,0.4681
CR009_T2,0.2004
CR010_T2,1.6146
CR012_T1,1.1578
CR012_T2,2.1066
CR015_T1,0.2504
CR017_T1,2.5148
CR017_T2,1.6918
CR018_T1,1.3452
CR018_T2,0.9867
CR022_T1,0.5031
CR022_T2,1.7537
CR023_T1,0.2248
CR025_T1,1.0463
CR025_T2,1.3051
CR072_T1,2.203
CR072_T2,0.54
CR149_T1,1.1721
CR149_T2,1.2315
CR163_T1,1.0138
CR163_T2,0.8346
CR383_T1,1.1356
CR386_T1,0.1068
CR386_T2,0.8834
PPS02,1.1216
PPS20,1.6824
PPS28,1.3922
PPS31,2.1891
PPS32,1.7729
PPS37,3.2417
PPS40,1.5143
PPS41,1.5028
PPS42,2.3499
PPS44,1.7917
