Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,CR006_T1,CR008_T1,CR009_T1,CR010_T1,CR015_T1,CR017_T1,CR018_T1,CR022_T1,CR072_T1,CR149_T1,CR163_T1,CR383_T1,CR006_T2,CR008_T2,CR009_T2,CR010_T2,CR015_T2,CR017_T2,CR018_T2,CR022_T2,CR072_T2,CR149_T2,CR163_T2,CR386_T2,PPS02,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS44
A0A075B6H7,KV37_HUMAN,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,1,1,,5007670,,,,6671530,1525170,,,,5228100,,,,6323560,,10782100,4255150,,,,,10862100,,1557050,,,,,,3904390,2707730
A0A075B6J9,LV218_HUMAN,IGLV2-18,Immunoglobulin lambda variable 2-18,1,1,,95311,,344944,72143,,,93673,,,321204,280700,,,326697,,266917,,,,201159,37590,908092,,57428,,,,,,,
A0A075B6K4,LV310_HUMAN,IGLV3-10,Immunoglobulin lambda variable 3-10,1,1,,749180,,369320,,,,,,,94753,,,,240150,,1137310,184692,,,,76515,323188,,,,,,,,,
A0A075B6S6,KVD30_HUMAN,IGKV2D-30,Immunoglobulin kappa variable 2D-30,1,1,,,,,,,,,,,,,,,,,155332,,,,,,229614,,,,,,,,,
A0A087WSY6,KVD15_HUMAN,IGKV3D-15,Immunoglobulin kappa variable 3D-15,1,1,,3294280,,,,,,807870,,,,,,,1976980,,2274990,,,,557732,,,,,,,,,,,
A0A087WW87,KV240_HUMAN,IGKV2-40,Immunoglobulin kappa variable 2-40,2,2,2681130,85758700,,14787100,,20490800,6852080,14921000,3629630,,31829200,20988800,,40460300,60701100,4709010,119247000,14945700,,1522050,25529400,9395860,103383000,5820380,12702300,,,1602320,3428490,,40992100,10528000
A0A0A0MS15,HV349_HUMAN,IGHV3-49,Immunoglobulin heavy variable 3-49,1,1,293010,5263780,,,,1297440,1047300,619485,,,1324000,,,1963620,2491300,,6783670,,,,,180552,6680310,,,,,,,,1164960,
A0A0B4J1U7,HV601_HUMAN,IGHV6-1,Immunoglobulin heavy variable 6-1,1,1,1662620,5143020,,4465990,,837785,,5906420,,291773,3793560,1246000,,,4169020,,15512800,349010,,1538120,929678,1248780,9706420,980998,443848,,640781,,1074810,,,382622
A0A0B4J1V0,HV315_HUMAN,IGHV3-15,Immunoglobulin heavy variable 3-15,1,1,,7436720,,540462,,,,,,,,,,,2357810,,8976560,584316,,,1253090,,5418600,,,,,,,,,
A0A0B4J1V2,HV226_HUMAN,IGHV2-26,Immunoglobulin heavy variable 2-26,2,2,,378317,,397592,,,,,,,,,,,394984,,,,,,,,552155,,,,,,,,,
A0A0B4J1X5,HV374_HUMAN,IGHV3-74,Immunoglobulin heavy variable 3-74,2,2,6502140,130752000,4601430,28032700,6018150,24139000,6104280,18882000,,4643090,37325800,8744070,,14291800,84351200,6914260,145553000,21840600,2328900,5732410,57567900,14772900,106993000,7742860,22819600,2125090,2686300,3284940,5409210,,18091100,14280400
A0A0B4J1X8,HV343_HUMAN,IGHV3-43,Immunoglobulin heavy variable 3-43,2,2,,401836,,147681,,189574,,,,,148092,,,,504428,,883691,134789,,,144655,,636295,,72920,,,,,,,
A0A0B4J1Y9,HV372_HUMAN,IGHV3-72,Immunoglobulin heavy variable 3-72,5,5,1534580,30040700,762353,7300380,1925840,6830360,2667100,4606480,1156960,1365840,13744800,3705730,,,17132500,1677790,37564600,6134240,833598,1312830,11908600,3493690,51949200,1918900,5026880,919801,816044,599519,1546830,,9667500,3563350
