"","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin"
"P02533","P02533","K1C14_HUMAN","KRT14","Keratin, type I cytoskeletal 14",10,10,TRUE
"P02538","P02538","K2C6A_HUMAN","KRT6A","Keratin, type II cytoskeletal 6A",3,3,TRUE
"P04259","P04259","K2C6B_HUMAN","KRT6B","Keratin, type II cytoskeletal 6B",8,8,TRUE
"P04264","P04264","K2C1_HUMAN","KRT1","Keratin, type II cytoskeletal 1",20,20,TRUE
"P05787","P05787","K2C8_HUMAN","KRT8","Keratin, type II cytoskeletal 8",2,2,TRUE
"P08727","P08727","K1C19_HUMAN","KRT19","Keratin, type I cytoskeletal 19",4,4,TRUE
"P08779","P08779","K1C16_HUMAN","KRT16","Keratin, type I cytoskeletal 16",6,6,TRUE
"P13645","P13645","K1C10_HUMAN","KRT10","Keratin, type I cytoskeletal 10",19,19,TRUE
"P13647","P13647","K2C5_HUMAN","KRT5","Keratin, type II cytoskeletal 5",11,11,TRUE
"P35527","P35527","K1C9_HUMAN","KRT9","Keratin, type I cytoskeletal 9",9,9,TRUE
"P35908","P35908","K22E_HUMAN","KRT2","Keratin, type II cytoskeletal 2 epidermal",10,10,TRUE
"Q04695","Q04695","K1C17_HUMAN","KRT17","Keratin, type I cytoskeletal 17",6,6,TRUE
"Q5T749","Q5T749","KPRP_HUMAN","KPRP","Keratinocyte proline-rich protein",2,2,TRUE
"Q8N1N4","Q8N1N4","K2C78_HUMAN","KRT78","Keratin, type II cytoskeletal 78",1,1,TRUE
"Q9NSB4","Q9NSB4","KRT82_HUMAN","KRT82","Keratin, type II cuticular Hb2",1,1,TRUE
