uniprot_id,gene,description,is_keratin,reason
A0A075B6H7,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,FALSE,Missingness
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,FALSE,Missingness
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,FALSE,Missingness
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,FALSE,Missingness
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,FALSE,Missingness
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,FALSE,Missingness
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,FALSE,Missingness
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,FALSE,Missingness
A0A0B4J1X8,IGHV3-43,Immunoglobulin heavy variable 3-43,FALSE,Missingness
A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,FALSE,Missingness
A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,FALSE,Missingness
A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,FALSE,Missingness
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,FALSE,Missingness
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,FALSE,Missingness
A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,FALSE,Missingness
A0A0C4DH68,IGKV2-24,Immunoglobulin kappa variable 2-24,FALSE,Missingness
A0A0C4DH72,IGKV1-6,Immunoglobulin kappa variable 1-6,FALSE,Missingness
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,FALSE,Missingness
A0A0J9YXX1,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,FALSE,Missingness
O00151,PDLIM1,PDZ and LIM domain protein 1,FALSE,Missingness
O00299,CLIC1,Chloride intracellular channel protein 1,FALSE,Missingness
O14786,NRP1,Neuropilin-1,FALSE,Missingness
O14950,MYL12B,Myosin regulatory light chain 12B,FALSE,Missingness
O43681,GET3,ATPase GET3,FALSE,Missingness
O43707,ACTN4,Alpha-actinin-4,FALSE,Missingness
O75015,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,FALSE,Missingness
O75083,WDR1,WD repeat-containing protein 1,FALSE,Missingness
O75093,SLIT1,Slit homolog 1 protein,FALSE,Missingness
O75144,ICOSLG,ICOS ligand,FALSE,Missingness
O75635,SERPINB7,Serpin B7,FALSE,Missingness
O95359,TACC2,Transforming acidic coiled-coil-containing protein 2,FALSE,Missingness
O95810,CAVIN2,Caveolae-associated protein 2,FALSE,Missingness
O95968,SCGB1D1,Secretoglobin family 1D member 1,FALSE,Missingness
P00441,SOD1,Superoxide dismutase [Cu-Zn],FALSE,Missingness
P00491,PNP,Purine nucleoside phosphorylase,FALSE,Missingness
P00558,PGK1,Phosphoglycerate kinase 1,FALSE,Missingness
P01040,CSTA,Cystatin-A,FALSE,Missingness
P01619,IGKV3-20,Immunoglobulin kappa variable 3-20,FALSE,Missingness
P01700,IGLV1-47,Immunoglobulin lambda variable 1-47,FALSE,Missingness
P01701,IGLV1-51,Immunoglobulin lambda variable 1-51,FALSE,Missingness
P01703,IGLV1-40,Immunoglobulin lambda variable 1-40,FALSE,Missingness
P01704,IGLV2-14,Immunoglobulin lambda variable 2-14,FALSE,Missingness
