uniprot_id,protein,gene,description,CR006_T1,CR015_T1,CR017_T1,CR018_T1,CR149_T1,CR008_T1,CR009_T1,CR010_T1,CR022_T1,CR072_T1,CR163_T1,CR383_T1,CR015_T2,CR017_T2,CR018_T2,CR149_T2,CR386_T2,CR009_T2,CR010_T2,CR022_T2,CR072_T2,CR163_T2,PPS02,PPS28,PPS31,PPS32,PPS37,PPS40,PPS44
A0A087WW87,KV240_HUMAN,IGKV2-40,Immunoglobulin kappa variable 2-40,21.30237185142,22.034878246995913,24.0682006066662,22.8240194558793,21.557342760344767,26.4139609713082,21.015814747393907,23.410723052352,23.7992416044039,21.8739881111633,24.7713527658344,24.435562273874,26.6078138557013,23.5094167047164,22.029097232545354,23.0321637153868,22.6398665077554,25.83981236344,22.2651976288815,20.3610915977405,24.3171390008875,26.5393374218945,23.4581629344957,20.740842598436732,21.176142306716493,20.5910512983978,21.9222965721224,19.422002847040865,23.5082566811618
A0A0B4J1U7,HV601_HUMAN,IGHV6-1,Immunoglobulin heavy variable 6-1,20.6672962799784,19.039375385716344,19.589160920303,20.500018123957517,18.0640517225114,22.2416467999899,18.098623917367902,21.5498615283625,22.6330552440758,17.916797696560096,21.8359482094452,20.4465727875896,23.5901914946812,18.24519876446,18.700364439566293,20.2519615775368,19.9969774199262,22.0336066588895,19.71805192656245,20.4066256514012,19.6815866884445,23.25407341654,18.6981763578039,17.66777739378497,19.0672715844921,17.962836125592503,20.1420110897105,17.7346113592875,18.9167700868622
A0A0B4J1X5,HV374_HUMAN,IGHV3-74,Immunoglobulin heavy variable 3-74,22.5794244694422,22.5409034229334,24.2988640618989,22.6558186226945,22.0680449074185,27.0263268857009,22.1306870885681,24.3396412494148,24.1392087891415,22.212238685812494,25.0013834025056,23.1679329693426,26.8961247030568,24.0543662776133,21.2164887724816,23.6856917852482,23.0554542219826,26.3112470850739,22.8159116654612,22.2779457925915,25.4895115227128,26.5897104149458,24.3037068405221,20.9632705049232,21.2084417398338,21.6201279096135,22.575986683635,20.570497576726453,23.9446680977564
A0A0B4J1Y9,HV372_HUMAN,IGHV3-72,Immunoglobulin heavy variable 3-72,20.5536005175454,20.9349783277137,22.6137344205934,21.516039426146,20.3015777292472,24.7725411006967,19.6845163253806,22.2272305622828,22.1842302367101,20.2775396498588,23.615976651255,22.0919992547681,24.8877609680291,22.3159041059583,19.80655559911,21.6673487566913,20.9542994263302,24.040433746902,20.7830864375176,20.1479101111171,23.2624700577577,25.584999981223,22.1453410445951,19.8800791705378,19.4401241305327,19.3121603351538,20.7564832409078,18.444811461066514,22.1045459602801
A0A0C4DH25,KVD20_HUMAN,IGKV3D-20,Immunoglobulin kappa variable 3D-20,18.4623530263571,17.3089791291895,20.2429072080978,19.1447670287888,17.48207770955361,21.8683863374967,17.285364575780196,19.3184939048516,19.7042530993431,16.060252506987,21.0993999565682,19.1508181584309,21.9781986868613,20.0015407097119,17.6619285736677,18.8879109281038,18.6063449989654,21.191303542567,17.9494640032522,17.641797045902447,20.5036670955311,23.0211265827774,20.0210557731606,17.357426327666293,16.75561864890449,17.314632579358136,18.2275264327646,15.936564575602507,19.5072204926968
A0A0C4DH35,HV335_HUMAN,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,18.7008935491183,17.8041706759512,20.0105927080724,18.9571471640976,18.2637339964787,21.9742415610635,17.756324287666526,19.1405366967849,19.5458468901227,17.0064241021777,20.4626293519666,18.985966503138606,21.8303640122824,19.542793950424,18.23284193462638,19.5671523332302,18.3937627506993,21.4229110505668,17.75725049019418,18.2669035241925,20.3404513581095,22.2319737256805,19.7653434801153,17.600216289844127,17.183087654872562,17.7622492397944,16.9723478176625,16.547004999844358,18.8926507484674
A5PL33,KRBA1_HUMAN,KRBA1,Protein KRBA1,24.4152858186662,24.8273952656834,23.9294414516202,23.7025834436101,23.9795044487248,23.4453687130777,24.4767876179526,22.8136795699059,23.9740140453448,25.0077661253118,23.7385196063301,24.1519823200536,24.3788924819852,24.5246773413125,23.5190454234654,24.1953591352737,23.396636575157,25.3660167533045,24.4050170455876,24.2394869074858,24.204409212704,24.348838157404,23.8539436407464,23.5623501213038,23.3059577710109,24.02221037837176,23.881082145066316,24.0469529726499,24.1857773162126
B9A064,IGLL5_HUMAN,IGLL5,Immunoglobulin lambda-like polypeptide 5,20.5791385896938,20.42053198420744,22.4097300270556,22.1355381141262,19.0453093514022,23.8946358295862,19.686850614098386,22.5467088469454,21.6636002422252,19.504219714808464,23.3424710545933,22.7508712629199,25.1275820845491,22.0179807993727,20.2263443790563,20.333651317833,20.1072794434467,23.9093940455689,21.4791031472491,19.909102181151354,21.7964572446912,25.0792047321236,21.3384955322568,19.9141741508208,19.83834720762594,19.62978485262156,20.1838524906064,18.419546927497322,22.3389714989946
O00187,MASP2_HUMAN,MASP2,Mannan-binding lectin serine protease 2,24.3792739685402,23.4688088568173,24.2773137148154,24.1984193786857,23.1006042259328,23.3988064178323,23.7912528412935,23.4857646616621,24.0765752787902,23.5401803260503,24.1396831059071,23.4089481353869,23.1033764454988,23.9493498217242,24.205825214821,22.1233048284089,24.0952623871385,24.0996985040316,23.9959958375241,24.2545739331649,22.7552760116957,24.0341869820949,23.9196494554798,23.5662286686162,23.7020575525057,23.7997226763599,23.5933514252487,24.1330297189465,23.958872333638
O00391,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,21.6240705920913,21.6265330418698,21.3297450092994,21.5689223902997,21.3430751575529,21.2045339504456,21.5882895131593,21.4749239808514,21.6146562875433,20.976529200191,21.2399000158036,21.2098674368596,20.8197817177728,21.6419581831375,21.8826171188482,21.675037658726,21.3899921795273,21.4317379236876,21.5151154166825,21.0868435209885,21.3356943828835,21.3514848812467,21.6072952735379,21.8832677739064,21.6018560996031,21.3417086010136,21.7357950302144,21.4733566959065,21.7759390080992
O00533,NCHL1_HUMAN,CHL1,Neural cell adhesion molecule L1-like protein,18.6868404269705,18.7830328947654,18.0033559955404,18.9199430440038,17.6639427851131,17.773988929630594,20.4315373251935,18.079334519238,18.0889949993577,19.296497239675908,18.1807738323411,20.1401033838811,17.7604457719422,19.292915238786335,19.0042133347796,18.2127565087895,19.1613364351383,20.4252482668935,18.9948588831927,18.1473198932967,18.2345969072309,17.8245246549602,17.8475296169071,19.0749513750411,17.7541896104844,19.0654884443794,18.3880071560856,18.8531775088088,18.4375226107207
