uniprot_id,gene,n_miss,pct_miss,mean_int,class
A0A087WW87,IGKV2-40,4,18.181818181818183,23.806899952702185,MNAR
A0A0B4J1U7,IGHV6-1,6,27.27272727272727,20.908252309982004,MNAR
A0A0B4J1X5,IGHV3-74,1,4.545454545454546,23.94453446094524,MNAR
A0A0B4J1Y9,IGHV3-72,0,0,22.027848449574602,Complete
A0A0C4DH25,IGKV3D-20,4,18.181818181818183,19.709909515155857,MNAR
A0A0C4DH35,IGHV3-35,4,18.181818181818183,19.650214433649765,MNAR
A5PL33,KRBA1,0,0,24.16437846392823,Complete
B9A064,IGLL5,4,18.181818181818183,22.155749326278425,MNAR
O00187,MASP2,0,0,23.749528231539884,Complete
O00391,QSOX1,0,0,21.426144360844457,Complete
O00533,CHL1,3,13.636363636363635,18.690463321605108,MNAR
O14791,APOL1,0,0,25.73684805588715,Complete
O15033,AREL1,0,0,21.60291921011157,Complete
O15056,SYNJ2,0,0,21.959571913679625,Complete
O15078,CEP290,0,0,23.4692816678977,Complete
O15090,ZNF536,3,13.636363636363635,19.22223945290433,MNAR
O43497,CACNA1G,2,9.090909090909092,19.90891077836889,MNAR
O43866,CD5L,0,0,22.85825035067216,Complete
O75636,FCN3,0,0,26.235064506149353,Complete
O75882,ATRN,0,0,24.096769701303376,Complete
O94915,FRYL,3,13.636363636363635,20.410106584358072,MNAR
O95445,APOM,0,0,26.679829523823923,Complete
O95497,VNN1,4,18.181818181818183,19.592000890029247,MNAR
P00338,LDHA,4,18.181818181818183,17.601694554357604,MNAR
P00450,CP,0,0,29.533641602808753,Complete
P00488,F13A1,1,4.545454545454546,24.13026416799058,MNAR
P00734,F2,0,0,29.111007293943022,Complete
P00736,C1R,0,0,26.70724287564049,Complete
P00738,HP,0,0,32.9100604579792,Complete
P00739,HPR,0,0,27.561598067767264,Complete
P00740,F9,0,0,23.48049511858949,Complete
P00742,F10,0,0,24.64122383717051,Complete
P00746,CFD,0,0,21.915888586391432,Complete
P00747,PLG,0,0,29.52892719731083,Complete
P00748,F12,0,0,27.074536863913956,Complete
P00751,CFB,0,0,28.093529050469023,Complete
P00915,CA1,0,0,22.713678232369187,Complete
P00918,CA2,6,27.27272727272727,22.28489280401184,MNAR
P01008,SERPINC1,0,0,28.546720594177476,Complete
P01009,SERPINA1,0,0,32.58180097085462,Complete
P01011,SERPINA3,0,0,29.889005326988148,Complete
P01019,AGT,0,0,28.13314884550431,Complete
P01023,A2M,0,0,31.19256985288013,Complete
P01024,C3,0,0,31.05535113505358,Complete
P01031,C5,0,0,27.121198928812372,Complete
P01034,CST3,0,0,22.867035296267986,Complete
P01042,KNG1,0,0,29.63005983719671,Complete
P01344,IGF2,0,0,22.438270102012076,Complete
P01591,JCHAIN,3,13.636363636363635,22.02654798681307,MNAR
P01593,IGKV1D-33,1,4.545454545454546,19.212484709540906,MNAR
P01624,IGKV3-15,0,0,22.775564851894334,Complete
P01780,IGHV3-7,0,0,23.27130228470973,Complete
P01782,IGHV3-9,5,22.727272727272727,17.762372433613084,MNAR
P01834,IGKC,0,0,27.247113956251475,Complete
P01857,IGHG1,0,0,28.42762239349886,Complete
P01859,IGHG2,0,0,26.549514628446953,Complete
P01860,IGHG3,2,9.090909090909092,23.026457146016128,MNAR
P01861,IGHG4,6,27.27272727272727,22.99904327862375,MNAR
P01871,IGHM,0,0,25.037521454838284,Complete
P01876,IGHA1,0,0,25.91263733352956,Complete
P02042,HBD,0,0,24.17834674686502,Complete
P02647,APOA1,0,0,32.49022750488995,Complete
P02649,APOE,0,0,27.302431301407008,Complete
P02652,APOA2,0,0,31.241458061441822,Complete
P02654,APOC1,2,9.090909090909092,23.346723617864683,MNAR
P02655,APOC2,0,0,28.365823695733468,Complete
P02656,APOC3,0,0,29.102953868991538,Complete
P02671,FGA,0,0,31.04470629098986,Complete
P02675,FGB,0,0,30.85613440967489,Complete
P02679,FGG,0,0,31.318104098954702,Complete
P02741,CRP,3,13.636363636363635,20.188424730369295,MNAR
P02743,APCS,0,0,28.057217742807847,Complete
P02745,C1QA,0,0,23.897301078344352,Complete
P02746,C1QB,0,0,27.34768000364811,Complete
P02747,C1QC,0,0,27.684762438877115,Complete
P02748,C9,0,0,26.60754732559068,Complete
P02749,APOH,0,0,30.123496602236255,Complete
P02750,LRG1,0,0,26.037987574962266,Complete
P02751,FN1,0,0,28.650189368059184,Complete
P02753,RBP4,0,0,26.985356826066763,Complete
P02760,AMBP,0,0,28.30333449769889,Complete
P02763,ORM1,0,0,31.018968185156314,Complete
P02765,AHSG,0,0,29.712827719816325,Complete
P02766,TTR,0,0,30.12253629471164,Complete
P02768,ALB,0,0,33.21348605513416,Complete
P02774,GC,0,0,28.852481199747505,Complete
P02775,PPBP,0,0,24.55041514670514,Complete
P02776,PF4,0,0,22.928842533187904,Complete
P02786,TFRC,0,0,21.435654936019834,Complete
P02787,TF,0,0,32.36583469120032,Complete
P02790,HPX,0,0,31.36640825103615,Complete
P03951,F11,0,0,23.067661947626416,Complete
P03952,KLKB1,0,0,26.592140492214323,Complete
P04003,C4BPA,0,0,29.029954793058877,Complete
P04004,VTN,0,0,29.01395011504593,Complete
P04040,CAT,3,13.636363636363635,18.68657228286045,MNAR
P04070,PROC,0,0,22.771371386339567,Complete
P04114,APOB,0,0,29.04802594053906,Complete
P04180,LCAT,0,0,23.051751172765254,Complete
P04196,HRG,0,0,27.914786560209503,Complete
P04217,A1BG,0,0,28.847154657868067,Complete
P04275,VWF,0,0,24.81437911195817,Complete
P04278,SHBG,0,0,22.008937985792162,Complete
P04406,GAPDH,0,0,20.583214361224403,Complete
P05090,APOD,0,0,28.029351079909397,Complete
P05109,S100A8,0,0,22.513046379992087,Complete
P05154,SERPINA5,0,0,23.735594424107617,Complete
P05155,SERPING1,0,0,29.579030777757158,Complete
P05156,CFI,0,0,26.398427968974104,Complete
P05160,F13B,0,0,25.370605042713592,Complete
P05452,CLEC3B,0,0,24.694695426766586,Complete
P05543,SERPINA7,0,0,25.564737357200283,Complete
P05546,SERPIND1,0,0,27.436947172857995,Complete
P06276,BCHE,0,0,22.282896060320038,Complete
P06312,IGKV4-1,0,0,21.505573211558982,Complete
P06331,IGHV4-34,0,0,21.064200220048587,Complete
P06396,GSN,0,0,28.117121316814742,Complete
P06681,C2,0,0,25.73168819327972,Complete
P06702,S100A9,0,0,21.662634021045992,Complete
P06727,APOA4,0,0,28.91888863512895,Complete
P06733,ENO1,5,22.727272727272727,17.38588018502944,MNAR
P07195,LDHB,0,0,19.45686164633797,Complete
P07225,PROS1,0,0,26.210662531625715,Complete
P07339,CTSD,6,27.27272727272727,18.477017867772055,MNAR
P07357,C8A,0,0,26.818174927457378,Complete
P07358,C8B,0,0,25.67726446460222,Complete
P07359,GP1BA,1,4.545454545454546,18.971969651056096,MNAR
P07360,C8G,0,0,25.879168761079402,Complete
P07437,TUBB,6,27.27272727272727,21.110059469033633,MNAR
P07737,PFN1,2,9.090909090909092,20.886325341359196,MNAR
P07951,TPM2,3,13.636363636363635,21.332425328344,MNAR
P07996,THBS1,0,0,21.61984887202834,Complete
P08185,SERPINA6,0,0,25.70516132325964,Complete
P08294,SOD3,6,27.27272727272727,20.389784104857235,MNAR
P08514,ITGA2B,4,18.181818181818183,19.850887833338607,MNAR
P08519,LPA,2,9.090909090909092,24.858986277979408,MNAR
P08571,CD14,0,0,23.697744074513842,Complete
