uniprot_id,gene,n_miss,pct_miss,mean_int,class
A0A087WW87,IGKV2-40,7,24.137931034482758,23.52231940797649,MNAR
A0A0B4J1U7,IGHV6-1,9,31.03448275862069,20.565602214150196,MNAR
A0A0B4J1X5,IGHV3-74,2,6.896551724137931,23.590995921722698,MNAR
A0A0B4J1Y9,IGHV3-72,1,3.4482758620689653,21.709409545530047,MNAR
A0A0C4DH25,IGKV3D-20,8,27.586206896551722,19.63123664773823,MNAR
A0A0C4DH35,IGHV3-35,7,24.137931034482758,19.402505485775386,MNAR
A5PL33,KRBA1,2,6.896551724137931,24.073914417847572,MNAR
B9A064,IGLL5,7,24.137931034482758,21.91911337205077,MNAR
O00187,MASP2,0,0,23.743289403745212,Complete
O00391,QSOX1,0,0,21.460363035922366,Complete
O00533,CHL1,3,10.344827586206897,18.62169331480982,MNAR
O14791,APOL1,0,0,25.82739399499368,Complete
O15033,AREL1,0,0,21.64997162491643,Complete
O15056,SYNJ2,0,0,21.80416846266296,Complete
O15078,CEP290,0,0,23.49053520422766,Complete
O15090,ZNF536,5,17.24137931034483,19.153516500151714,MNAR
O43497,CACNA1G,2,6.896551724137931,19.874527799505646,MNAR
O43866,CD5L,0,0,22.733876230648114,Complete
O75093,SLIT1,6,20.689655172413794,17.332643175684986,MNAR
O75636,FCN3,0,0,26.207796612706694,Complete
O75882,ATRN,0,0,24.07323273117205,Complete
O94915,FRYL,5,17.24137931034483,20.029102760565305,MNAR
O95445,APOM,0,0,26.626110904540518,Complete
O95497,VNN1,4,13.793103448275861,19.44845738600187,MNAR
O95968,SCGB1D1,10,34.48275862068966,21.256309324647813,MNAR
P00338,LDHA,4,13.793103448275861,17.64506669617074,MNAR
P00450,CP,0,0,29.499960866192563,Complete
P00488,F13A1,1,3.4482758620689653,24.11058001817753,MNAR
P00734,F2,0,0,29.107337576840898,Complete
P00736,C1R,0,0,26.687937361036035,Complete
P00738,HP,0,0,32.92580162493968,Complete
P00739,HPR,0,0,27.474676521279655,Complete
P00740,F9,0,0,23.50787566066261,Complete
P00742,F10,0,0,24.663225872456188,Complete
P00746,CFD,0,0,21.863693871060242,Complete
P00747,PLG,0,0,29.49475978718619,Complete
P00748,F12,0,0,27.02703812488376,Complete
P00751,CFB,0,0,28.08299376795285,Complete
P00915,CA1,0,0,22.590789491245676,Complete
P00918,CA2,9,31.03448275862069,22.264618522310982,MNAR
P01008,SERPINC1,0,0,28.566583987851384,Complete
P01009,SERPINA1,0,0,32.58258493500031,Complete
P01011,SERPINA3,0,0,29.837349147988256,Complete
P01019,AGT,0,0,28.05052147113576,Complete
P01023,A2M,0,0,31.16261938863823,Complete
P01024,C3,0,0,31.057498314017078,Complete
P01031,C5,0,0,27.092706879194804,Complete
P01034,CST3,0,0,22.853835699308917,Complete
P01042,KNG1,0,0,29.589461084623533,Complete
P01344,IGF2,0,0,22.45232974134543,Complete
P01591,JCHAIN,6,20.689655172413794,21.78456023247958,MNAR
P01593,IGKV1D-33,5,17.24137931034483,19.1215322678415,MNAR
P01624,IGKV3-15,2,6.896551724137931,22.55053565771142,MNAR
P01780,IGHV3-7,1,3.4482758620689653,22.887813484663095,MNAR
P01782,IGHV3-9,9,31.03448275862069,17.526306562169346,MNAR
P01834,IGKC,0,0,26.876730499336528,Complete
P01857,IGHG1,0,0,28.006536911059353,Complete
P01859,IGHG2,0,0,26.06157160628209,Complete
P01860,IGHG3,3,10.344827586206897,22.81636419061633,MNAR
P01861,IGHG4,9,31.03448275862069,22.596503316774264,MNAR
P01871,IGHM,0,0,24.49363475671082,Complete
P01876,IGHA1,0,0,25.610113642691314,Complete
P02042,HBD,0,0,24.005888908000802,Complete
P02647,APOA1,0,0,32.411511491281665,Complete
P02649,APOE,0,0,27.245388940283327,Complete
P02652,APOA2,0,0,31.176321182766866,Complete
P02654,APOC1,3,10.344827586206897,23.318948619269637,MNAR
