criterion,n_up,n_down,n_total,method,contrast
nominal_p05,7,5,12,vsn_none,Baseline_CREvPLA
FDR_05,0,0,0,vsn_none,Baseline_CREvPLA
FDR_10,0,0,0,vsn_none,Baseline_CREvPLA
pi_05,0,0,0,vsn_none,Baseline_CREvPLA
nominal_p05,7,4,11,vsn_none,Training_CREvPLA
FDR_05,0,0,0,vsn_none,Training_CREvPLA
FDR_10,0,0,0,vsn_none,Training_CREvPLA
pi_05,0,0,0,vsn_none,Training_CREvPLA
nominal_p05,5,5,10,vsn_none,Training_CRE
FDR_05,0,0,0,vsn_none,Training_CRE
FDR_10,0,0,0,vsn_none,Training_CRE
pi_05,0,0,0,vsn_none,Training_CRE
nominal_p05,17,7,24,vsn_none,Training_PLA
FDR_05,0,0,0,vsn_none,Training_PLA
FDR_10,0,0,0,vsn_none,Training_PLA
pi_05,1,0,1,vsn_none,Training_PLA
nominal_p05,2,3,5,vsn_none,Interaction
FDR_05,0,0,0,vsn_none,Interaction
FDR_10,0,0,0,vsn_none,Interaction
pi_05,0,0,0,vsn_none,Interaction
nominal_p05,8,4,12,rlr_none,Baseline_CREvPLA
FDR_05,0,0,0,rlr_none,Baseline_CREvPLA
FDR_10,0,0,0,rlr_none,Baseline_CREvPLA
pi_05,0,0,0,rlr_none,Baseline_CREvPLA
nominal_p05,12,4,16,rlr_none,Training_CREvPLA
FDR_05,0,0,0,rlr_none,Training_CREvPLA
FDR_10,0,0,0,rlr_none,Training_CREvPLA
pi_05,0,0,0,rlr_none,Training_CREvPLA
nominal_p05,5,4,9,rlr_none,Training_CRE
FDR_05,0,0,0,rlr_none,Training_CRE
FDR_10,0,0,0,rlr_none,Training_CRE
pi_05,0,0,0,rlr_none,Training_CRE
nominal_p05,17,7,24,rlr_none,Training_PLA
FDR_05,0,0,0,rlr_none,Training_PLA
FDR_10,0,0,0,rlr_none,Training_PLA
pi_05,1,0,1,rlr_none,Training_PLA
nominal_p05,2,2,4,rlr_none,Interaction
FDR_05,0,0,0,rlr_none,Interaction
FDR_10,0,0,0,rlr_none,Interaction
pi_05,0,0,0,rlr_none,Interaction
nominal_p05,6,4,10,cycloess_none,Baseline_CREvPLA
FDR_05,0,0,0,cycloess_none,Baseline_CREvPLA
