contrast,method_a,method_b,spearman_rho
Baseline_CREvPLA,rlr_none,vsn_none,0.9941183198109341
Baseline_CREvPLA,cycloess_none,vsn_none,0.9797393581542196
Baseline_CREvPLA,vsn_bpca,vsn_none,0.9764983233004059
Baseline_CREvPLA,rlr_bpca,vsn_none,0.9684785485132595
Baseline_CREvPLA,cycloess_bpca,vsn_none,0.9556112461171278
Baseline_CREvPLA,vsn_RF,vsn_none,0.9869971257770962
Baseline_CREvPLA,rlr_RF,vsn_none,0.979474558995032
Baseline_CREvPLA,cycloess_RF,vsn_none,0.9647025726089812
Baseline_CREvPLA,vsn_knn,vsn_none,0.9882065867538646
Baseline_CREvPLA,rlr_knn,vsn_none,0.9799560727246013
Baseline_CREvPLA,cycloess_knn,vsn_none,0.9656495718718512
Baseline_CREvPLA,cycloess_none,rlr_none,0.9746056604576886
Baseline_CREvPLA,vsn_bpca,rlr_none,0.9725203253389921
Baseline_CREvPLA,rlr_bpca,rlr_none,0.9761613972580097
Baseline_CREvPLA,cycloess_bpca,rlr_none,0.952455361055991
Baseline_CREvPLA,vsn_RF,rlr_none,0.9827583357055621
Baseline_CREvPLA,rlr_RF,rlr_none,0.9863910596056897
Baseline_CREvPLA,cycloess_RF,rlr_none,0.9602507410953769
Baseline_CREvPLA,vsn_knn,rlr_none,0.984750506933447
Baseline_CREvPLA,rlr_knn,rlr_none,0.9875731390804992
Baseline_CREvPLA,cycloess_knn,rlr_none,0.9625524568636994
Baseline_CREvPLA,vsn_bpca,cycloess_none,0.9575229424429141
Baseline_CREvPLA,rlr_bpca,cycloess_none,0.9516222287707792
Baseline_CREvPLA,cycloess_bpca,cycloess_none,0.9749078587415027
Baseline_CREvPLA,vsn_RF,cycloess_none,0.9716224124271948
Baseline_CREvPLA,rlr_RF,cycloess_none,0.9668920910034235
Baseline_CREvPLA,cycloess_RF,cycloess_none,0.9867430120820877
Baseline_CREvPLA,vsn_knn,cycloess_none,0.972103258315253
Baseline_CREvPLA,rlr_knn,cycloess_none,0.9658993445970369
Baseline_CREvPLA,cycloess_knn,cycloess_none,0.9876008545032137
Baseline_CREvPLA,rlr_bpca,vsn_bpca,0.992896169845453
Baseline_CREvPLA,cycloess_bpca,vsn_bpca,0.9801427344269794
Baseline_CREvPLA,vsn_RF,vsn_bpca,0.9839477614369946
Baseline_CREvPLA,rlr_RF,vsn_bpca,0.9791840479376637
Baseline_CREvPLA,cycloess_RF,vsn_bpca,0.9646421329522183
Baseline_CREvPLA,vsn_knn,vsn_bpca,0.9795056136253025
Baseline_CREvPLA,rlr_knn,vsn_bpca,0.9739147784143605
Baseline_CREvPLA,cycloess_knn,vsn_bpca,0.9587450924083951
Baseline_CREvPLA,cycloess_bpca,rlr_bpca,0.9759927672764338
Baseline_CREvPLA,vsn_RF,rlr_bpca,0.9773187665969051
Baseline_CREvPLA,rlr_RF,rlr_bpca,0.9854751149730901
Baseline_CREvPLA,cycloess_RF,rlr_bpca,0.9594887339311071
Baseline_CREvPLA,vsn_knn,rlr_bpca,0.9740483467165989
Baseline_CREvPLA,rlr_knn,rlr_bpca,0.9810556737727785
Baseline_CREvPLA,cycloess_knn,rlr_bpca,0.9552689773426418
Baseline_CREvPLA,vsn_RF,cycloess_bpca,0.967466768623804
