method,norm,imputation,mean_spearman,rho_Baseline_CREvPLA,rho_Training_CREvPLA,rho_Training_CRE,rho_Training_PLA,rho_Interaction,n_DEP_Baseline_CREvPLA,n_DEP_Training_CREvPLA,n_DEP_Training_CRE,n_DEP_Training_PLA,n_DEP_Interaction
vsn_RF,vsn,RF,0.9804,0.9818,0.9881,0.9818,0.9769,0.9734,0,0,0,0,0
rlr_RF,rlr,RF,0.9799,0.981,0.9881,0.9812,0.9785,0.9709,0,0,0,0,0
rlr_knn,rlr,knn,0.9776,0.9791,0.9855,0.9832,0.9741,0.9661,0,0,0,0,0
vsn_knn,vsn,knn,0.9771,0.9811,0.9843,0.981,0.9739,0.9654,0,0,0,0,0
cycloess_RF,cycloess,RF,0.9758,0.974,0.9859,0.9823,0.9708,0.9659,0,0,0,0,0
rlr_none,rlr,none,0.9732,0.9758,0.9815,0.977,0.9718,0.9599,0,0,0,0,0
cycloess_knn,cycloess,knn,0.9731,0.9736,0.9844,0.9825,0.9658,0.9593,0,0,0,0,0
vsn_none,vsn,none,0.972,0.9763,0.9821,0.9708,0.975,0.956,0,0,0,0,0
vsn_bpca,vsn,bpca,0.9719,0.9745,0.9822,0.976,0.9698,0.9573,0,0,0,0,0
rlr_bpca,rlr,bpca,0.9697,0.9725,0.9814,0.9746,0.9705,0.9495,0,0,0,0,0
cycloess_none,cycloess,none,0.9693,0.9718,0.9802,0.9717,0.9663,0.9565,0,0,0,0,0
cycloess_bpca,cycloess,bpca,0.9691,0.9692,0.9807,0.9759,0.9664,0.9534,0,0,0,0,0
