criterion,n_up,n_down,n_total,method,contrast
nominal_p05,30,10,40,vsn_none,Baseline_SURVvCTL
FDR_05,0,0,0,vsn_none,Baseline_SURVvCTL
FDR_10,0,0,0,vsn_none,Baseline_SURVvCTL
pi_05,2,0,2,vsn_none,Baseline_SURVvCTL
nominal_p05,35,20,55,vsn_none,Training_SURVvCTL
FDR_05,13,2,15,vsn_none,Training_SURVvCTL
FDR_10,17,4,21,vsn_none,Training_SURVvCTL
pi_05,26,0,26,vsn_none,Training_SURVvCTL
nominal_p05,18,10,28,vsn_none,Training_SURV
FDR_05,0,0,0,vsn_none,Training_SURV
FDR_10,0,0,0,vsn_none,Training_SURV
pi_05,1,0,1,vsn_none,Training_SURV
nominal_p05,27,14,41,rlr_none,Baseline_SURVvCTL
FDR_05,0,0,0,rlr_none,Baseline_SURVvCTL
FDR_10,0,0,0,rlr_none,Baseline_SURVvCTL
pi_05,1,0,1,rlr_none,Baseline_SURVvCTL
nominal_p05,32,27,59,rlr_none,Training_SURVvCTL
FDR_05,15,4,19,rlr_none,Training_SURVvCTL
FDR_10,15,7,22,rlr_none,Training_SURVvCTL
pi_05,26,0,26,rlr_none,Training_SURVvCTL
nominal_p05,18,14,32,rlr_none,Training_SURV
FDR_05,0,0,0,rlr_none,Training_SURV
FDR_10,0,0,0,rlr_none,Training_SURV
pi_05,1,0,1,rlr_none,Training_SURV
nominal_p05,31,8,39,cycloess_none,Baseline_SURVvCTL
FDR_05,0,0,0,cycloess_none,Baseline_SURVvCTL
FDR_10,0,0,0,cycloess_none,Baseline_SURVvCTL
pi_05,1,0,1,cycloess_none,Baseline_SURVvCTL
nominal_p05,36,12,48,cycloess_none,Training_SURVvCTL
FDR_05,15,3,18,cycloess_none,Training_SURVvCTL
FDR_10,16,4,20,cycloess_none,Training_SURVvCTL
pi_05,24,0,24,cycloess_none,Training_SURVvCTL
nominal_p05,19,9,28,cycloess_none,Training_SURV
FDR_05,0,0,0,cycloess_none,Training_SURV
FDR_10,0,0,0,cycloess_none,Training_SURV
pi_05,1,0,1,cycloess_none,Training_SURV
nominal_p05,45,10,55,vsn_bpca,Baseline_SURVvCTL
FDR_05,1,0,1,vsn_bpca,Baseline_SURVvCTL
FDR_10,15,2,17,vsn_bpca,Baseline_SURVvCTL
pi_05,10,0,10,vsn_bpca,Baseline_SURVvCTL
nominal_p05,50,21,71,vsn_bpca,Training_SURVvCTL
FDR_05,25,5,30,vsn_bpca,Training_SURVvCTL
FDR_10,42,11,53,vsn_bpca,Training_SURVvCTL
pi_05,41,0,41,vsn_bpca,Training_SURVvCTL
nominal_p05,18,12,30,vsn_bpca,Training_SURV
FDR_05,0,0,0,vsn_bpca,Training_SURV
FDR_10,0,0,0,vsn_bpca,Training_SURV
pi_05,0,0,0,vsn_bpca,Training_SURV
nominal_p05,42,14,56,rlr_bpca,Baseline_SURVvCTL
FDR_05,1,0,1,rlr_bpca,Baseline_SURVvCTL
FDR_10,10,2,12,rlr_bpca,Baseline_SURVvCTL
pi_05,10,0,10,rlr_bpca,Baseline_SURVvCTL
nominal_p05,47,34,81,rlr_bpca,Training_SURVvCTL
FDR_05,30,7,37,rlr_bpca,Training_SURVvCTL
FDR_10,39,14,53,rlr_bpca,Training_SURVvCTL
pi_05,41,0,41,rlr_bpca,Training_SURVvCTL
