contrast,method_a,method_b,spearman_rho
Baseline_SURVvCTL,rlr_none,vsn_none,0.9965369262383145
Baseline_SURVvCTL,cycloess_none,vsn_none,0.9894310124111383
Baseline_SURVvCTL,vsn_bpca,vsn_none,0.9751244594148819
Baseline_SURVvCTL,rlr_bpca,vsn_none,0.973152780173653
Baseline_SURVvCTL,cycloess_bpca,vsn_none,0.9651159553186917
Baseline_SURVvCTL,vsn_RF,vsn_none,0.9936948633443191
Baseline_SURVvCTL,rlr_RF,vsn_none,0.9920007021175502
Baseline_SURVvCTL,cycloess_RF,vsn_none,0.9851008840023121
Baseline_SURVvCTL,vsn_knn,vsn_none,0.990821628852189
Baseline_SURVvCTL,rlr_knn,vsn_none,0.988078528216349
Baseline_SURVvCTL,cycloess_knn,vsn_none,0.9803528140689831
Baseline_SURVvCTL,cycloess_none,rlr_none,0.9876502970380928
Baseline_SURVvCTL,vsn_bpca,rlr_none,0.9759842507770201
Baseline_SURVvCTL,rlr_bpca,rlr_none,0.9783820427383795
Baseline_SURVvCTL,cycloess_bpca,rlr_none,0.965841375908289
Baseline_SURVvCTL,vsn_RF,rlr_none,0.9913200717854667
Baseline_SURVvCTL,rlr_RF,rlr_none,0.9942762287813721
Baseline_SURVvCTL,cycloess_RF,rlr_none,0.9828410944559951
Baseline_SURVvCTL,vsn_knn,rlr_none,0.9880724754788472
Baseline_SURVvCTL,rlr_knn,rlr_none,0.9902644743651434
Baseline_SURVvCTL,cycloess_knn,rlr_none,0.9779858910688831
Baseline_SURVvCTL,vsn_bpca,cycloess_none,0.966680587962921
Baseline_SURVvCTL,rlr_bpca,cycloess_none,0.9653302222262574
Baseline_SURVvCTL,cycloess_bpca,cycloess_none,0.976062331090794
Baseline_SURVvCTL,vsn_RF,cycloess_none,0.9837919795175364
Baseline_SURVvCTL,rlr_RF,cycloess_none,0.9828317127128672
Baseline_SURVvCTL,cycloess_RF,cycloess_none,0.9947099074233798
Baseline_SURVvCTL,vsn_knn,cycloess_none,0.9831464550629636
Baseline_SURVvCTL,rlr_knn,cycloess_none,0.9810555368929483
Baseline_SURVvCTL,cycloess_knn,cycloess_none,0.9918194226293697
Baseline_SURVvCTL,rlr_bpca,vsn_bpca,0.9977044993024219
Baseline_SURVvCTL,cycloess_bpca,vsn_bpca,0.9893986302655032
Baseline_SURVvCTL,vsn_RF,vsn_bpca,0.9795438657018603
Baseline_SURVvCTL,rlr_RF,vsn_bpca,0.9784791891752843
Baseline_SURVvCTL,cycloess_RF,vsn_bpca,0.9717001231732082
Baseline_SURVvCTL,vsn_knn,vsn_bpca,0.9725456906022172
Baseline_SURVvCTL,rlr_knn,vsn_bpca,0.9708503188279479
Baseline_SURVvCTL,cycloess_knn,vsn_bpca,0.963030484612428
Baseline_SURVvCTL,cycloess_bpca,rlr_bpca,0.987497465416171
Baseline_SURVvCTL,vsn_RF,rlr_bpca,0.9770782830804802
Baseline_SURVvCTL,rlr_RF,rlr_bpca,0.980280483855836
