"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Baseline_CREvPLA","down","4","0",0.05,0,"BH"
"Baseline_CREvPLA","nonsig","320","330",0.05,0,"BH"
"Baseline_CREvPLA","up","6","0",0.05,0,"BH"
"Training_CREvPLA","down","3","0",0.05,0,"BH"
"Training_CREvPLA","nonsig","319","330",0.05,0,"BH"
"Training_CREvPLA","up","8","0",0.05,0,"BH"
"Training_CRE","down","4","0",0.05,0,"BH"
"Training_CRE","nonsig","320","330",0.05,0,"BH"
"Training_CRE","up","6","0",0.05,0,"BH"
"Training_PLA","down","7","0",0.05,0,"BH"
"Training_PLA","nonsig","306","330",0.05,0,"BH"
"Training_PLA","up","17","0",0.05,0,"BH"
"Interaction","down","2","0",0.05,0,"BH"
"Interaction","nonsig","326","330",0.05,0,"BH"
"Interaction","up","2","0",0.05,0,"BH"
