"uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","gene_symbol","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR"
"A0A087WW87","KV240_HUMAN","IGKV2-40","Immunoglobulin kappa variable 2-40",2,2,FALSE,"=""""",21.2697451303868,26.4301123992851,NA,25.8456134519824,23.4687284634306,22.2947653094609,NA,26.6484950218965,24.0830776436917,23.5466556087458,22.8758484133403,NA,23.8365317904125,20.369320714451,21.9081639967879,24.3376057524613,NA,23.0887570971478,24.7970495117428,26.544754670476,24.4646126724801,22.7143615004599,1.17875236519253,-0.961025454331477,3.31853018471654,23.8068999527022,1.16697839036672,-4.57896131863537,0.26017134959234,0.994350208748321,0,0
"A0A0B4J1U7","HV601_HUMAN","IGHV6-1","Immunoglobulin heavy variable 6-1",1,1,FALSE,"=""""",20.6688238281049,22.1975339561607,NA,21.9917211702108,21.5572902390515,NA,NA,23.6172924012209,19.6240020526198,18.2421783533213,NA,NA,22.6368806199968,20.4043666725143,NA,19.6863620102837,18.1176694518945,20.2888389070852,21.8340702147198,23.2188638628154,20.4917311234563,19.9544120962562,1.03359518561359,-1.05326450439428,3.12045487562147,20.908252309982,1.0612950784142,-4.59169915168687,0.306346555053303,0.994350208748321,0,0
"A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",2,2,FALSE,"=""""",22.5479360979116,27.0465962301699,22.1113419765299,26.315055041602,24.3982006424556,22.8407034832912,22.5714612364345,26.93997800607,24.3070508517406,24.0897133841689,22.706268377216,21.1853965782365,24.1787971194741,22.2929177956921,NA,25.5063580207429,22.1024470119217,23.7449439293496,25.0282460031414,26.5951474746078,23.192246315109,23.1344181039847,1.94700708823284,-0.127104230800579,4.02111840726627,23.9445344609452,1.96378390876181,-4.44311916288985,0.0642477608421055,0.994350208748321,0,0
"A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",5,5,FALSE,"=""""",20.5194159980999,24.7784600293818,19.6556615868873,24.0321326136055,22.280034888077,20.8449248545324,20.9935608525454,24.9247061388833,22.6273330191617,22.3355466271808,21.5529488658592,19.7846429245363,22.1863359748037,20.1250276617297,20.3578295392223,23.2904322021883,20.3445110822938,21.7177816460844,23.6100350625959,25.570199808673,22.1097741498663,20.9713703644332,2.01231563980667,-0.0849402981833887,4.10957157779673,22.0278484495746,2.00058465972332,-4.43369544534605,0.0591000061871486,0.994350208748321,0,0
"A0A0C4DH25","KVD20_HUMAN","IGKV3D-20","Immunoglobulin kappa variable 3D-20",1,1,FALSE,"=""""",18.4754583818997,21.826242306794,NA,21.1621660497881,19.3323073444917,17.9773094182275,17.381870566171,22.0088485099612,20.2791749208849,20.0171961535351,19.1993449196738,NA,19.7255209726937,NA,16.0878129313994,20.5288792517193,NA,18.9308453058497,21.1307283995105,23.0109238932736,19.1569875740512,18.5467543728811,1.60105752404534,-0.487455404390022,3.6895704524807,19.7099095151559,1.62397255763863,-4.51851020607486,0.123747178920079,0.994350208748321,0,0
"A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,1,FALSE,"=""""",18.7177599158662,21.9243356582598,NA,21.3824413101636,19.1394044872868,NA,17.8809957703109,21.8552136155061,20.0406701426524,19.5498752608812,19.0160246871994,NA,19.5619252910407,18.2598087743175,17.0356161180996,20.360782558629,18.3283278854334,19.6123810862404,20.4873346381038,22.219322200123,NA,18.331640405582,1.4092877431917,-0.359956704577761,3.17853219096116,19.6502144336498,1.6874105174884,-4.5089263725384,0.110750837969833,0.994350208748321,0,0
"A5PL33","KRBA1_HUMAN","KRBA1","Protein KRBA1",1,1,FALSE,"=""""",24.3886310289929,23.4547580675786,24.4825163850318,25.3836979291775,22.8529335154529,24.4412078851705,24.8633533188115,24.4170569385521,23.9615253658481,24.5705781976638,23.7603157943679,23.5051566456945,24.0077464528744,24.2360316219118,25.044953330747,24.2229081108736,24.0127446128358,24.2460645922262,23.7587791335921,24.3510016187353,24.1910688122114,23.4632968480713,0.509212218545571,-0.153584532414061,1.1720089695052,24.1643784639282,1.60188269459688,-4.50790959348232,0.124750147659335,0.994350208748321,0,0
"B9A064","IGLL5_HUMAN","IGLL5","Immunoglobulin lambda-like polypeptide 5",1,1,FALSE,"=""""",20.5435208565393,23.9025836934365,NA,23.9076250698973,22.60383309461,21.5350199799581,NA,25.1634878512777,22.4247015475163,22.0429327016932,22.176888406659,20.2071166009181,21.6748085995935,NA,NA,21.8295968240686,19.0852069347482,20.3894220210014,23.3443665720765,25.0754806582604,22.7681214165698,20.1287750441878,2.035029015938,0.036106013409094,4.03395201846691,22.1557493262784,2.15666881469757,-4.42256327926584,0.0464492781848225,0.994350208748321,1,0
"O00187","MASP2_HUMAN","MASP2","Mannan-binding lectin serine protease 2",6,6,FALSE,"=""""",24.3489761378473,23.4041672439564,23.8010248837342,24.1182075628165,23.526637014524,24.0403946577641,23.5158222362191,23.138846461963,24.3151632150608,23.9957581276813,24.2556699580815,24.1935908172608,24.1077273028362,24.2411418867061,23.5937021830554,22.7791201413839,23.1320877847727,22.1751956574289,24.1603618827391,24.0358184552572,23.4550767115022,24.1551307712867,0.137988003972225,-0.596546291463148,0.872522299407599,23.7495282315399,0.391689129851844,-4.65466858326856,0.699401399554756,0.994350208748321,0,0
"O00391","QSOX1_HUMAN","QSOX1","Sulfhydryl oxidase 1",9,9,FALSE,"=""""",21.6132585069445,21.1822669093075,21.5792225334492,21.412071512484,21.5046367480795,21.5492586033731,21.6885216902072,20.8444962709469,21.3582780997662,21.6678197404546,21.6173393626464,21.8565021136271,21.6465401454655,21.0859643095256,21.0487128902745,21.3824473010245,21.3895541024376,21.7415462589565,21.2565773734032,21.3491499664489,21.2291525104527,21.3718589893029,-0.202779242683111,-0.577113932434958,0.171555447068737,21.4261443608444,-1.12947256420928,-4.58254127977138,0.271971687930146,0.994350208748321,0,0
