"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"O15056","O15056","SYNJ2_HUMAN","SYNJ2","Synaptojanin-2",1,1,FALSE,23.2769003915502,21.9323086307332,21.3420409226839,21.8924870234793,21.6425828140628,20.8883585128686,21.9810767795809,21.9023818394844,22.1449092856069,21.1505545275476,22.7751492710999,22.4990411589386,22.3377532916599,22.2171868110801,21.2800810704408,21.414045162342,21.6764779190475,21.6328141958685,22.1702651703133,21.8334797871474,22.7544413324263,22.3662462029896,-0.830611549875591,-1.34320289216302,-0.31802020758816,21.9595719136796,-3.37897009054173,-1.60843879453264,0.00296563934693258,0.100579088770501,-1,0,0.828528628059295,0.148412804528231,"NDE","DOWN","NDE"
"P00915","P00915","CAH1_HUMAN","CA1","Carbonic anhydrase 1",6,6,FALSE,24.0434284243256,23.1472653369038,22.270604875243,22.383201536979,22.6993920737958,21.8164995338969,22.0534866387874,22.5656581497252,22.908602615194,21.8323278001192,23.6571289966557,23.548647091411,23.3592608470218,23.0630537470034,21.6009752159411,21.611028928707,21.6734844956386,21.767447652472,23.0652941919181,23.04249798596,24.5092965412883,23.0823384331352,-1.34967691537607,-1.93423916975611,-0.765114660996039,22.7136782323692,-4.81456106114014,1.38333897180213,0.00010394421790448,0.0343015919084787,-1,-1,1.97685251029059,0.0105474503501106,"DOWN","DOWN","DOWN"
"P00918","P00918","CAH2_HUMAN","CA2","Carbonic anhydrase 2",5,5,FALSE,23.01949891208,NA,21.7103916176969,21.5638154727113,22.3119241885497,21.7173819417478,NA,21.6252334552789,21.4292144788849,NA,23.6323883376396,22.6289208222355,22.8842846932333,22.8498438518578,21.4256423579424,NA,21.2183095366774,21.8514268063633,21.8902436614473,NA,24.7997647298433,NA,-1.60378673482477,-2.4225058217448,-0.785067647904739,22.2848928040118,-4.19841119863056,-0.434087096331982,0.00087926442085368,0.0616584848041638,-1,0,1.94059341915223,0.0114658585791556,"NDE","DOWN","DOWN"
"P02042","P02042","HBD_HUMAN","HBD","Hemoglobin subunit delta",8,8,FALSE,25.9314521770822,24.8909472073548,23.2550550435882,24.0046713782196,23.9935977178263,22.1532059225587,23.7886406021507,24.3193007737212,23.9964716876495,23.126404232165,25.0869003478484,24.6183177010183,24.5884419864802,24.0971474661876,23.2013730021697,23.3410523790872,23.9904599550522,24.1507931423344,24.2762881116691,24.0394430004736,26.3634956165681,24.7101689798254,-1.30900061275846,-2.05246727006708,-0.565533955449841,24.178346746865,-3.67143633801865,-1.00280927638804,0.00150398979966605,0.0709023762699708,-1,0,1.50448572928734,0.0312978331308343,"NDE","DOWN","DOWN"
"P02654","P02654","APOC1_HUMAN","APOC1","Apolipoprotein C-I",1,1,FALSE,23.520567382014,25.2863105046319,23.0754929636367,24.6194979461063,24.3320941330133,22.1961523509859,23.3764660312227,23.3476870179843,22.7328096747589,22.7199229050748,NA,23.5507170320542,23.4112231487362,21.0420022213151,21.282500102712,24.5039928674245,23.3422736284022,23.0960322681438,24.9968834967952,22.6398472049177,NA,23.8619994773639,-1.29277751809809,-2.54856380448108,-0.0369912317151071,23.3467236178647,-2.16188675778517,-3.87585536669761,0.044257446726997,0.439384029923159,-1,0,0.461722901071515,0.345364026449199,"NDE","DOWN","NDE"
"P0DOY2","P0DOY2","IGLC2_HUMAN","IGLC2","Immunoglobulin lambda constant 2",3,3,FALSE,23.4573662301947,28.0153667795412,22.1824357334812,26.6694113409345,26.3042226410701,24.0015754573893,23.116214949527,28.0327449021573,25.5312065311388,25.5144158664835,25.1837229086908,22.9276952563594,24.9905493953937,23.2992831243405,22.6452623573834,25.9304080904509,23.1293258120954,24.7018955476817,26.0431547819139,27.9902123484724,24.6971744494923,24.4594281601523,-1.85751589973019,-3.71264078868967,-0.00239101077071013,24.9465033029247,-2.08793529694918,-4.06466153908947,0.0497323630006428,0.439384029923159,-1,0,0.663422451275034,0.217058875480346,"NDE","DOWN","NDE"
"P29317","P29317","EPHA2_HUMAN","EPHA2","Ephrin type-A receptor 2",1,1,FALSE,21.7508214627519,20.5576118288355,19.7082464921435,19.9223108958901,20.5605177477653,NA,20.069224473292,20.4169956726191,21.1971319075411,19.0716529313294,21.2715553649849,20.7114177556586,20.2799759637699,19.8407239281082,19.4563962799324,19.7191592218866,20.0098959256473,20.2783820051168,20.9591182700042,20.6050371087849,21.2192451611988,19.5298975680741,-0.897656879983337,-1.58547308423753,-0.209840675729147,20.3397770459683,-2.73052771602447,-2.92036817710852,0.0132385640692516,0.242707007936279,-1,0,0.551985089345436,0.280552995870116,"NDE","DOWN","NDE"
"P30043","P30043","BLVRB_HUMAN","BLVRB","Flavin reductase (NADPH)",4,4,FALSE,19.8812844687544,18.4614803585289,17.8221492302935,17.6667322307469,18.2516366052535,15.9986606224049,17.7876812214186,18.4648981302478,18.6176613194212,17.5505355296511,19.3808733864255,18.8773683634241,19.2709142930182,19.0093734758411,17.840549070382,17.4135199346532,18.3733768252649,18.7377172360131,18.8398297902558,18.6799891051401,19.66562765644,18.6148427327798,-1.11739428882312,-1.82581233977613,-0.4089762378701,18.4184864357436,-3.2890803030248,-1.79263576706761,0.00364787670534163,0.10400967242374,-1,0,1.09831620202233,0.0797413893108378,"NDE","DOWN","NDE"
"P32119","P32119","PRDX2_HUMAN","PRDX2","Peroxiredoxin-2",3,3,FALSE,23.0092927144263,22.0931439071562,21.0766525964145,21.7236990274442,21.8147539930607,19.7447243569746,20.9632771887549,21.8971969509578,22.0457375519908,20.580876981458,22.3450103800198,22.0352204380438,21.5299050050581,21.4722471960378,21.1004918452207,20.6761199565125,21.0566630769434,21.6572188367343,21.8478289914373,21.8117134174991,23.9730389929237,21.5960633813894,-1.04243225559128,-1.85138017962317,-0.233484331559392,21.6386762175663,-2.68710677982227,-2.98672188784607,0.0141297840554001,0.24541203885695,-1,0,0.63599223112691,0.231210614989656,"NDE","DOWN","NDE"
"P49427","P49427","UB2R1_HUMAN","CDC34","Ubiquitin-conjugating enzyme E2 R1",1,1,FALSE,24.4390789796461,22.9582624894888,23.0142662841514,22.9308778313295,22.8901646553008,NA,23.3278444162434,23.2384303356445,23.2307900240189,22.8566299980314,24.1150979303471,23.6013263961681,23.612000379286,23.5795575233236,NA,NA,22.68626461552,22.5121390910533,NA,23.2240575825491,25.1075374774413,23.4675929013873,-0.956537765988266,-1.51451948106746,-0.398556050909075,23.377328828385,-3.63214148266469,-1.28414837506755,0.0022206281276398,0.0916009102651418,-1,0,0.992982056318238,0.101629068193713,"NDE","DOWN","NDE"
