"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS28","PPS31","PPS32","PPS37","PPS40","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"O15056","O15056","SYNJ2_HUMAN","SYNJ2","Synaptojanin-2",1,1,FALSE,23.3041317101698,21.9359864437428,21.3654674901914,21.9004226147895,21.5977536375362,20.8372219892955,21.9217617649479,21.8702033651233,22.1244477357556,21.1245432294612,22.730550918597,22.5193466986689,22.3211334919025,22.233116924475,21.2026416975101,21.3765491234289,21.6348466487376,21.5723684650136,22.1651375172378,21.8372533591501,22.7298800655285,22.3585547262144,19.4859866172279,20.8484192010096,22.6831948179297,21.2120460721087,21.4083591370366,21.6141893637099,22.4053705907259,0.885046766985049,0.26195184205503,1.50814169191507,21.804168462663,2.90893674389098,-2.34126044261961,0.00700891797540971,0.215212616919909,1,0,0.590443260116253,0.256777366173982,"NDE","UP","NDE"
"O94915","O94915","FRYL_HUMAN","FRYL","Protein furry homolog-like",1,1,FALSE,18.9417443064612,21.1100717132969,NA,22.0681461825999,20.9366716964777,18.1252291072,18.932108040584,21.3552559936955,19.9256987042843,21.303181599009,20.6311065947298,21.0402045202772,NA,NA,19.0588721670732,20.8631039632645,19.8810929895405,20.0366989642743,20.1990268890332,21.5958239496685,19.64236790105,21.882833604994,19.8159265419049,18.954956367761,18.7979185287561,NA,16.629395071052,NA,18.9710308565796,1.35997573329387,0.195789977396631,2.5241614891911,20.0291027605653,2.41577831750389,-3.27485545278692,0.023994180021361,0.346869770374954,1,0,0.625362465517101,0.236939536460004,"NDE","UP","NDE"
"P00915","P00915","CAH1_HUMAN","CA1","Carbonic anhydrase 1",6,6,FALSE,24.0805919045162,23.138760440445,22.284347758506,22.3740387653524,22.6430795208404,21.7724709839625,21.9970819057414,22.5303002751998,22.8854734857059,21.7987986665218,23.6050081430096,23.565140204258,23.3274547450623,23.0787630716451,21.5305426264157,21.5759252590205,21.6410862290079,21.7068992193004,23.0466173467862,23.0326842420994,24.4771072018543,23.0395203641928,20.882115404766,21.8602123459028,23.6016919685023,21.1701783190782,22.5763507689396,22.6060981605983,23.3045559188937,0.783361426554681,0.0277763203738213,1.53894653273554,22.5907894912457,2.12324967077438,-3.77562933080366,0.0426616476174737,0.373015944552783,1,0,0.335492237939864,0.461857246505506,"NDE","UP","NDE"
"P01859","P01859","IGHG2_HUMAN","IGHG2","Immunoglobulin heavy constant gamma 2",9,9,FALSE,25.2140787750131,29.9798284229426,24.2319743509171,28.9552288969379,26.999644902004,24.3858574297959,24.7986968132072,29.1353827098536,27.6108244310797,27.1574575994671,26.3694740306495,24.2909643354679,27.0178496651447,24.7710357880303,23.9153036086988,27.4760163220383,24.2182278185014,25.823644091665,28.5776290318754,30.3354624370162,26.1103739068576,26.0443850040911,27.1552955618306,24.2306821152519,23.6400929299519,22.5945433886298,25.196905713168,22.5741160703602,26.9746004317338,2.02417987952248,0.10856363398107,3.93979612506389,26.0615716062821,2.16402793949952,-3.70811480487784,0.0391012946675596,0.365579394881062,1,0,0.884603630309142,0.130435668903375,"NDE","UP","NDE"
"P01871","P01871","IGHM_HUMAN","IGHM","Immunoglobulin heavy constant mu",16,16,FALSE,23.6594331074497,28.256028911903,22.4180805660305,27.4943604806762,25.668138209228,24.9400864733626,24.5884150437682,28.9773088072426,24.3702244854513,24.2217673402978,24.7359375687858,22.7174304948369,24.6079994938081,22.1731306943073,23.6870390290907,27.3245831071003,23.9525068432979,24.939934646681,26.3092285220769,27.6732836952477,24.3245901047871,23.2289745690481,24.6202922409485,21.424958340583,22.6482628604317,21.3948213850298,23.7195567573142,21.3702553727878,24.868778793041,2.15611343522807,0.323219331653587,3.98900753880255,24.4936347567108,2.40910929414954,-3.28475501388184,0.0227811638863128,0.346869770374954,1,0,0.991453289039984,0.101987444772135,"NDE","UP","NDE"
"P02042","P02042","HBD_HUMAN","HBD","Hemoglobin subunit delta",8,8,FALSE,25.9583956534613,24.8788511274866,23.2552602224212,23.9905508220405,23.9495980819878,22.1217916751633,23.7562098492872,24.2793679815967,23.9716981800797,23.0821918719357,25.0319585836199,24.6382367760326,24.5526384494912,24.0931799521494,23.1683873906835,23.3224814779679,23.9562808818684,24.0959654984872,24.2546123192691,24.0369853378251,26.3300800916091,24.6393348334399,22.1374174777519,23.3428176669297,24.8244367008868,22.9341168817608,23.4521129934147,23.6781435841742,24.4376759692017,0.981029291051588,0.21687926991265,1.74517931219053,24.0058889080008,2.62921206470925,-2.88122492187176,0.0137159574949989,0.275125970929096,1,0,0.549835928680645,0.281944788415671,"NDE","UP","NDE"
"P02768","P02768","ALBU_HUMAN","ALB","Albumin",68,68,FALSE,32.3853454138211,34.0260270656877,31.6457234573719,34.5339556919679,34.2088233925091,32.2701149996139,32.4372472759299,34.120448960699,32.9308153816066,34.4434309465599,33.4270939577712,34.1941817302639,32.5491843254293,30.8691659125819,32.2894150229204,33.0835525548093,33.0294781781048,33.4100236802814,33.2620128503693,34.0538272053522,32.7920787137893,34.440090260558,32.6019786435968,31.5071688479959,32.6401483773572,30.727706675338,31.0546913679101,30.3188220735879,33.0509870009868,1.41791881439266,0.500655560167991,2.33518206861732,32.8380531022335,3.16577205175591,-1.82328797982979,0.0036998032290954,0.186983015380836,1,0,1.03252541914216,0.0927843182119856,"NDE","UP","NDE"
"P11226","P11226","MBL2_HUMAN","MBL2","Mannose-binding protein C",5,5,FALSE,23.1714399397104,24.189617562508,23.5545255161779,23.8328246535335,22.4365360760671,20.1851642618519,22.6425156995282,21.4443518953309,22.7191055140397,23.1470107223574,22.5816150898753,22.3614545598291,24.1028335997116,23.8044265906019,23.6033200295887,23.0357208293542,22.7533161783311,23.1811494208223,24.4650262822829,24.4858392151598,21.8241039492795,21.7562682147385,20.2086034760873,22.4453140161017,22.5144081769401,24.1896720989458,22.5356509715858,19.6209253062615,22.5426838530997,1.15912195142046,0.0828652890861759,2.23537861375474,22.735704265507,2.20564467171845,-3.63831875247055,0.0357441952378926,0.365579394881062,1,0,0.506557493516558,0.31148885081677,"NDE","UP","NDE"
"P13521","P13521","SCG2_HUMAN","SCG2","Secretogranin-2",1,1,FALSE,21.9006267742933,22.375658451577,20.3048115390041,21.7550356774165,20.4494210317745,19.4379402864963,21.5612934299297,21.1821336039926,20.7792107226263,20.4746675514639,20.4611802764196,21.5272596581055,20.7500006783867,19.908544437839,20.1207637007758,20.9583592965361,20.3350907589402,20.0491201619691,20.6853203658331,20.491000899464,19.4967090830005,19.6855395023053,18.6497350795068,18.8376000679011,20.787379294846,NA,NA,19.2876907006555,18.853896096524,1.56975251960224,0.731642293512108,2.40786274569238,20.4113329306512,3.8489690583454,-0.529347080945031,0.00068763274943408,0.186983015380836,1,0,1.14309039544412,0.0719299245173148,"NDE","UP","NDE"
"P15144","P15144","AMPN_HUMAN","ANPEP","Aminopeptidase N",2,2,FALSE,18.3712205780119,NA,19.0524190489792,19.7029981319978,17.7215939982219,16.7273189524526,18.2224221269013,NA,NA,NA,18.1174285507138,18.7436918208828,18.7492094633043,17.0517606622318,17.2905109681732,17.4639231374687,18.182458673497,17.4692284101818,18.4186993454209,17.8010854542564,NA,NA,NA,17.3334453591692,17.6446682283873,17.1156111061089,17.6548948099376,17.7306355818344,17.4596681542526,0.876211619583255,0.168278997315945,1.58414424185057,17.9102223891993,2.57294589178173,-3.03927503465919,0.0176806295817035,0.317320773018994,1,0,0.436792803532495,0.365769253930903,"NDE","UP","NDE"
