"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"A0A0B4J1X5","A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",2,2,FALSE,22.5479360979116,27.0465962301699,22.1113419765299,26.315055041602,24.3982006424556,22.8407034832912,22.5714612364345,26.93997800607,24.3070508517406,24.0897133841689,22.706268377216,21.1853965782365,24.1787971194741,22.2929177956921,NA,25.5063580207429,22.1024470119217,23.7449439293496,25.0282460031414,26.5951474746078,23.192246315109,23.1344181039847,2.01258018687684,0.505444963942107,3.51971540981156,23.9445344609452,2.79389191960364,-2.74359000971874,0.0115347860766013,0.160247854415791,1,0,1.60041941565295,0.0250946177271256,"NDE","UP","UP"
"A0A0B4J1Y9","A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",5,5,FALSE,20.5194159980999,24.7784600293818,19.6556615868873,24.0321326136055,22.280034888077,20.8449248545324,20.9935608525454,24.9247061388833,22.6273330191617,22.3355466271808,21.5529488658592,19.7846429245363,22.1863359748037,20.1250276617297,20.3578295392223,23.2904322021883,20.3445110822938,21.7177816460844,23.6100350625959,25.570199808673,22.1097741498663,20.9713703644332,1.95399002552553,0.504572960594385,3.40340709045668,22.0278484495746,2.81116683547343,-2.68836835271002,0.0107507009445364,0.160247854415791,1,0,1.55382806371363,0.0279364962243713,"NDE","UP","UP"
"A0A0C4DH25","A0A0C4DH25","KVD20_HUMAN","IGKV3D-20","Immunoglobulin kappa variable 3D-20",1,1,FALSE,18.4754583818997,21.826242306794,NA,21.1621660497881,19.3323073444917,17.9773094182275,17.381870566171,22.0088485099612,20.2791749208849,20.0171961535351,19.1993449196738,NA,19.7255209726937,NA,16.0878129313994,20.5288792517193,NA,18.9308453058497,21.1307283995105,23.0109238932736,19.1569875740512,18.5467543728811,1.76869057197502,0.121755392802874,3.41562575114718,19.7099095151559,2.27539058971742,-3.57083862169282,0.0368902197463836,0.31214801323863,1,0,0.894319683681547,0.127549956936326,"NDE","UP","NDE"
"A0A0C4DH35","A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,1,FALSE,18.7177599158662,21.9243356582598,NA,21.3824413101636,19.1394044872868,NA,17.8809957703109,21.8552136155061,20.0406701426524,19.5498752608812,19.0160246871994,NA,19.5619252910407,18.2598087743175,17.0356161180996,20.360782558629,18.3283278854334,19.6123810862404,20.4873346381038,22.219322200123,NA,18.331640405582,1.68664566923701,0.352980502323174,3.02031083615084,19.6502144336498,2.67952399466685,-2.99831708629577,0.016377233165725,0.193017390881759,1,0,1.20494566931862,0.0623812870225714,"NDE","UP","NDE"
"O43866","O43866","CD5L_HUMAN","CD5L","CD5 antigen-like",8,8,FALSE,22.4485011599298,24.4939244512979,22.0546330657029,24.1730546028143,22.7477456517484,22.5553978559055,22.0394936181827,25.2480610776499,22.0918385279338,22.0207747558874,22.3704882529697,21.3674812711933,23.4906978145731,23.2715821594767,21.0540761548913,23.9039044297307,22.674010062217,22.9897415407166,23.3271153374203,24.0461950864657,22.2812150151187,22.2315758229619,1.27066728576371,0.400777935724896,2.14055663580252,22.8582503506722,3.04596903057722,-2.30992811399514,0.00635208442877543,0.15025766401226,1,0,1.04596676156946,0.0899566426595456,"NDE","UP","NDE"
"O94915","O94915","FRYL_HUMAN","FRYL","Protein furry homolog-like",1,1,FALSE,18.9468564743212,21.057216099135,NA,22.0170253412445,20.9415675731684,18.1994780620339,19.0093773602406,21.3751183310764,19.9612481239096,21.2981275442395,20.6802360377173,21.0240082859108,NA,NA,19.1153161136528,20.86631343766,19.9377350276772,20.0760254024534,20.2106886572366,21.5726154703888,19.6777790970896,21.8252926636477,1.10078185953954,0.150416298796726,2.05114742028235,20.4101065843581,2.44256943448025,-3.30977928659175,0.0257235515717891,0.257235515717891,1,0,0.649097015280031,0.224338072809749,"NDE","UP","NDE"
"P01593","P01593","KVD33_HUMAN","IGKV1D-33","Immunoglobulin kappa variable 1D-33",1,1,FALSE,18.0126074308516,21.7304397329431,17.2163642133258,21.6963702729914,19.1922245566339,17.2686753775445,17.7644701257703,22.0455657838877,20.2755086492645,19.6156338347668,18.9917797698825,NA,19.0873130650889,16.8253607233001,17.2999998152933,20.2328039504598,17.3199010271764,19.0087039484536,21.1312738978639,22.5782680851704,17.8732901358732,18.2956245038173,1.97908402859623,0.460554675534148,3.49761338165831,19.2124847095409,2.72677730862425,-2.83909461054811,0.0133465961442604,0.163125063985405,1,0,1.55848771530959,0.0276383609743881,"NDE","UP","UP"
"P01624","P01624","KV315_HUMAN","IGKV3-15","Immunoglobulin kappa variable 3-15",1,1,FALSE,21.4179045218374,25.8547499362215,21.0079043095031,25.0606892990777,23.3928514557332,20.7697383483988,21.8880710058946,26.0409212477294,23.7353326508509,23.7806465972964,23.5406564653946,21.2903916729794,22.8302629458045,20.5713500025311,19.8111252296984,23.6160013609471,20.3331553237288,22.1418543537615,23.5585345527885,25.506338370243,22.864541891329,22.0494051999264,2.0503784401421,0.564227473528311,3.5365294067559,22.7755648518943,2.87692636785375,-2.58317462865414,0.00928780891294934,0.15025766401226,1,0,1.68779642086897,0.0205212390345541,"NDE","UP","UP"
"P01780","P01780","HV307_HUMAN","IGHV3-7","Immunoglobulin heavy variable 3-7",3,3,FALSE,22.1098135113651,25.7941217408986,20.444960522177,25.4736642383479,24.0361241998888,21.8240971861386,22.9499429184244,27.0039150502771,23.6651500016345,23.652855292935,22.8409775178189,21.4042358901662,23.4580153710919,20.9950939338763,21.0286091149694,24.8566306383327,21.3840752900247,23.295250877672,24.2149332456655,26.1354360249007,23.2016787843213,22.1990689126875,2.29713184853231,0.799192672588589,3.79507102447603,23.2713022847097,3.19778596742587,-2.06179965338487,0.00449704120656554,0.15025766401226,1,0,1.89091478739323,0.0128553886985346,"NDE","UP","UP"
"P01834","P01834","IGKC_HUMAN","IGKC","Immunoglobulin kappa constant",6,6,FALSE,26.0669755002438,29.6660579294807,24.7779069995711,29.5897584336076,28.386925313865,25.8648962596248,25.6484664055807,30.2089552926186,28.0936456162739,28.3948196824027,27.4480711501964,25.5516711395477,27.1195570107853,25.1605553517084,25.3308951836771,28.1056478787148,24.7558413055775,26.3917440016783,28.4663888579043,30.6467746155436,27.1391045467167,26.6218485622135,2.22805542838699,0.739408648528135,3.71670220824585,27.2471139562515,3.12098712355809,-2.18758744466199,0.00535789576119865,0.15025766401226,1,0,1.83405360879069,0.0146536694665064,"NDE","UP","UP"
