"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"O94915","O94915","FRYL_HUMAN","FRYL","Protein furry homolog-like",1,1,FALSE,18.9468564743212,21.057216099135,NA,22.0170253412445,20.9415675731684,18.1994780620339,19.0093773602406,21.3751183310764,19.9612481239096,21.2981275442395,20.6802360377173,21.0240082859108,NA,NA,19.1153161136528,20.86631343766,19.9377350276772,20.0760254024534,20.2106886572366,21.5726154703888,19.6777790970896,21.8252926636477,1.13883722133433,0.170614517894111,2.10705992477456,20.4101065843581,2.48004429007588,-3.23972178600376,0.0238067521500311,0.523748547300685,1,0,0.319873374234147,0.478769665218126,"NDE","UP","NDE"
"P01782","P01782","HV309_HUMAN","IGHV3-9","Immunoglobulin heavy variable 3-9",1,1,FALSE,16.0303833758159,20.5725860499935,NA,20.0068728805036,18.4481378387716,15.7726437171937,16.1684571678471,20.2377202423644,17.065146890102,16.9153855451793,15.7756982726952,NA,17.2090526146795,NA,NA,18.6287958997224,15.5177690524897,17.8103948832573,18.7829278360677,20.41447881061,NA,16.6038802941296,1.62980107199283,0.182862926439563,3.0767392175461,17.7623724336131,2.39887906432421,-3.38789988484603,0.0297551115433576,0.577599224076941,1,0,0.388501220982559,0.408788602834588,"NDE","UP","NDE"
"P02768","P02768","ALBU_HUMAN","ALB","Albumin",68,68,FALSE,32.4162244503785,34.0034000737911,31.6163064952962,34.5070166526184,34.1900625119262,32.3079665418103,32.4851962223126,34.126831310078,33.001964920189,34.4246757910747,33.4280851120103,34.1859064459844,32.5700937363012,30.8316222688319,32.3636110179116,33.1337322921028,33.1418278644555,33.4334758114955,33.2917549239775,34.0318500764279,32.8377151130819,34.3673735808961,1.0744812603464,0.190316289460303,1.9586462312325,33.2134860551342,2.53383193297297,-3.11356929242748,0.0196857342304324,0.498014321943626,1,0,0.325307977479737,0.472815845360072,"NDE","UP","NDE"
"P35542","P35542","SAA4_HUMAN","SAA4","Serum amyloid A-4 protein",2,2,FALSE,23.4035404481086,24.3716983680901,22.1273199333271,24.4726944038149,23.1596732060879,23.5390195565401,24.4584715163312,24.2284731575894,22.4968198279489,23.7320523274698,21.5701042122373,23.7680095147202,23.1052996709542,21.9350260368057,22.9292112528842,23.413820002041,21.9136903136093,23.371005554853,22.9144844273895,23.4881331709402,NA,23.6639943685901,1.16053814933657,0.309292164394493,2.01178413427864,23.2410733938254,2.85208569760135,-2.59598215247465,0.0101446837993561,0.498014321943626,1,0,0.351362403497893,0.445284519023487,"NDE","UP","NDE"
"P42702","P42702","LIFR_HUMAN","LIFR","Leukemia inhibitory factor receptor",1,1,FALSE,27.38154634888,29.126035814259,26.673521343942,30.058326183556,28.5035493745919,27.6592023515641,27.1840616618056,29.4762522858354,27.4294229971541,29.2258068910325,28.6700795378144,28.9942309286402,27.0833411715168,25.6965204842942,27.8720158918352,28.1451669484936,28.1927629472727,28.3235882826534,27.7397837061282,28.2857478379601,28.6604409590327,28.8114631129394,1.02963285729541,0.0588711193186381,2.00039459527218,28.1451303209637,2.21147486230778,-3.62915729473471,0.038723784241703,0.633615955667383,1,0,0.204046353658803,0.625105969627124,"NDE","UP","NDE"
"P51451","P51451","BLK_HUMAN","BLK","Tyrosine-protein kinase Blk",1,1,FALSE,18.0861080345383,19.5928048779073,NA,20.1959449002889,20.2545529530374,NA,18.0543620155832,19.6024319524581,18.4383149246543,19.7629189973522,18.305007924156,19.5457781709327,18.372869256463,16.1135051761185,18.2345255171455,18.698254265614,18.1716436999981,18.4649652611267,18.4625844081227,19.842512868111,NA,20.1691577383333,1.19712680040201,0.306453559135187,2.08780004166883,18.8614864706285,2.83396703677951,-2.67097832985661,0.0113883885204685,0.498014321943626,1,0,0.362439916448629,0.434070312028908,"NDE","UP","NDE"
"Q02388","Q02388","CO7A1_HUMAN","COL7A1","Collagen alpha-1(VII) chain",2,2,FALSE,21.3524231059627,23.4829451423935,21.1514069643867,24.462863725814,23.1891163599088,22.0914311006563,21.6138470680321,24.1692466217353,22.2839552525846,23.2216896742757,23.053614768271,24.0392234600677,21.6207183439426,19.68002250624,22.4751214004116,22.237053073766,21.6766154525609,22.5113670855537,22.3804927948451,22.8738075808566,22.9984135346046,24.0689170485489,1.35406311298552,0.310418509204195,2.39770771676684,22.5742860029736,2.70519477480891,-2.82703346147958,0.0135682890590128,0.498014321943626,1,0,0.409953666872914,0.389086652866183,"NDE","UP","NDE"
"Q0D2K0","Q0D2K0","NIPA4_HUMAN","NIPAL4","Magnesium transporter NIPA4",1,1,FALSE,16.7887437884858,18.6272464699471,17.2906677074612,18.82355937449,18.525990308004,18.0156437661055,NA,17.5203242906664,17.4861574442916,19.7149862323256,18.8457267153294,19.0105724687659,17.7156639360746,NA,17.567515171719,18.8931516468967,18.4377353006305,18.5994137834896,17.8295447401595,18.4744474529505,NA,18.9025798754922,0.803732050027726,0.0420305343497184,1.56543356570573,18.2668247617518,2.2248437334335,-3.62266634643621,0.0398025081697329,0.633615955667383,1,0,0.159278710818977,0.69298093904014,"NDE","UP","NDE"
"Q66K66","Q66K66","TM198_HUMAN","TMEM198","Transmembrane protein 198",1,1,FALSE,27.5517828509212,29.3829777616496,27.0571158389229,29.9402543235069,28.914095076198,28.0130848432977,27.6619915400647,29.445879068337,27.9306849907855,29.7036358338466,29.0038158815976,29.1627201697172,27.8907701293458,26.5415332015824,28.3001327323203,28.3912220905195,28.0641195457132,28.6411053842976,28.2226046899885,28.9018413464618,28.3669631936834,29.0648399866072,0.993909890595159,0.165260668657466,1.82255911253285,28.461507749062,2.50085521857109,-3.16781477954039,0.0211278803248811,0.498014321943626,1,0,0.300914337214575,0.500133174443024,"NDE","UP","NDE"
"Q7Z2W7","Q7Z2W7","TRPM8_HUMAN","TRPM8","Transient receptor potential cation channel subfamily M member 8",1,1,FALSE,21.4216762613705,24.1242061834725,20.7033500302513,24.0202348901182,24.4852009810109,NA,21.8530229197994,NA,22.4302830586138,24.1448581788884,23.0200733060738,23.7708245375009,21.4037887753483,20.5522754019311,22.7347146862511,23.3895168042173,22.5945985956796,23.3263486314282,23.6999106635238,23.9343037112993,NA,25.270941505239,1.53471897134052,0.344723117503287,2.72471482517775,22.993691006422,2.71929584553601,-2.86044835476373,0.0144992916051103,0.498014321943626,1,0,0.464648703510765,0.343045160168907,"NDE","UP","NDE"
