"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS28","PPS31","PPS32","PPS37","PPS40","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"A0A0C4DH35","A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,1,FALSE,18.7008935491183,21.9742415610635,NA,21.4229110505668,19.1405366967849,NA,17.8041706759512,21.8303640122824,20.0105927080724,19.542793950424,18.9571471640976,NA,19.5458468901227,18.2669035241925,17.0064241021777,20.3404513581095,18.2637339964787,19.5671523332302,20.4626293519666,22.2319737256805,NA,18.3937627506993,19.7653434801153,NA,NA,17.7622492397944,16.9723478176625,NA,18.8926507484674,1.05499866448685,0.0629774466176742,2.04701988235603,19.4025054857754,2.21077487019633,-3.70860367737838,0.0382064971601718,0.482533908578466,1,0,0.333877708833217,0.463577438191325,"NDE","UP","NDE"
"O94915","O94915","FRYL_HUMAN","FRYL","Protein furry homolog-like",1,1,FALSE,18.9417443064612,21.1100717132969,NA,22.0681461825999,20.9366716964777,18.1252291072,18.932108040584,21.3552559936955,19.9256987042843,21.303181599009,20.6311065947298,21.0402045202772,NA,NA,19.0588721670732,20.8631039632645,19.8810929895405,20.0366989642743,20.1990268890332,21.5958239496685,19.64236790105,21.882833604994,19.8159265419049,18.954956367761,18.7979185287561,NA,16.629395071052,NA,18.9710308565796,0.974809323147994,0.255592386419505,1.69402625987648,20.0291027605653,2.80290236067805,-2.62927563778749,0.0100686348540336,0.346514403978701,1,0,0.448683975647732,0.355890196041792,"NDE","UP","NDE"
"P01782","P01782","HV309_HUMAN","IGHV3-9","Immunoglobulin heavy variable 3-9",1,1,FALSE,15.9502905907466,20.6238832829935,NA,20.0305205245135,18.5354761539042,15.7986503098414,16.080075261719,20.1990410319079,17.082849893316,16.8868405254867,15.7147847732831,NA,17.1314630736849,NA,NA,18.5585380395438,15.4308496182995,17.7396268307822,18.7572788679689,20.4262729529352,NA,16.6500226274159,16.0844889925925,NA,NA,NA,15.7025337104761,NA,17.142644181976,1.3057433641644,0.0926618592606183,2.51882486906819,17.5263065621693,2.25182391015589,-3.64947159804786,0.0362693233674829,0.480136621769416,1,0,0.416055755611409,0.383657987535448,"NDE","UP","NDE"
"P01860","P01860","IGHG3_HUMAN","IGHG3","Immunoglobulin heavy constant gamma 3",3,3,FALSE,20.1287888335796,25.2656213050286,20.279470017376,25.3684911493162,24.2666917755604,21.938378596483,20.4071489793896,25.4345325867588,25.3953238234877,24.7788280498569,22.5848928331626,NA,22.0291225880233,20.8989148040149,21.5114397766072,23.9544475498303,NA,22.6513385824268,23.2070564659504,25.2945920555389,21.5053519736866,23.0818904184878,23.9774578320258,22.7375398988332,20.1597860487512,21.4983332377842,21.7896186315339,NA,23.0804111425307,1.55648546072314,0.346444084734137,2.76652683671215,22.8163641906163,2.64847781507096,-2.90623572204945,0.0137709309966626,0.346514403978701,1,0,0.716417116631459,0.192124558881891,"NDE","UP","NDE"
"P02768","P02768","ALBU_HUMAN","ALB","Albumin",68,68,FALSE,32.3853454138211,34.0260270656877,31.6457234573719,34.5339556919679,34.2088233925091,32.2701149996139,32.4372472759299,34.120448960699,32.9308153816066,34.4434309465599,33.4270939577712,34.1941817302639,32.5491843254293,30.8691659125819,32.2894150229204,33.0835525548093,33.0294781781048,33.4100236802814,33.2620128503693,34.0538272053522,32.7920787137893,34.440090260558,32.6019786435968,31.5071688479959,32.6401483773572,30.727706675338,31.0546913679101,30.3188220735879,33.0509870009868,0.79392963649326,0.157897133975643,1.42996213901088,32.8380531022335,2.55637743774769,-3.07416617954605,0.016258740362637,0.346514403978701,1,0,0.365428907200012,0.431093120975456,"NDE","UP","NDE"
"P35542","P35542","SAA4_HUMAN","SAA4","Serum amyloid A-4 protein",2,2,FALSE,23.4416627009689,24.3599899486952,22.1368257120611,24.4612473531139,23.1039384121667,23.4965832190303,24.407329904324,24.1897636818318,22.4708232914042,23.6955123341107,21.5172831659798,23.7860937233359,23.0758014864134,21.944442553455,22.8720681115769,23.3857359511359,21.8833662013293,23.315239297895,22.8916551450831,23.4810083531194,NA,23.6056524938787,21.3142135016924,22.5845875368367,23.1766682193101,NA,23.4136174230302,22.8220097821595,22.741868637769,0.904363640488533,0.341286028768957,1.46744125220811,23.0953699311743,3.30057194802095,-1.57272555597398,0.00279222024551209,0.190429420743925,1,0,0.651382339955964,0.223160671753366,"NDE","UP","NDE"
"P42702","P42702","LIFR_HUMAN","LIFR","Leukemia inhibitory factor receptor",1,1,FALSE,27.3695398486919,29.1079331361167,26.6599577996968,30.0445561519366,28.4848938135132,27.6323026344924,27.1693149579748,29.4536730310621,27.3989822739422,29.1859888897087,28.6378109199304,28.9882807511008,27.0438657522501,25.6814844249897,27.8469817071986,28.1272999602656,28.1668443867922,28.2905833788563,27.7339033982198,28.2571460454289,28.6196004877541,28.7715485137887,27.3378832069764,25.9673636580842,27.9012547413306,NA,NA,24.7072665420331,28.1320820287059,0.831528193147282,0.116478596410292,1.54657778988427,27.8784571274385,2.38976492871034,-3.40089542270387,0.0243576875464876,0.361129193624012,1,0,0.367816020530327,0.428730104174029,"NDE","UP","NDE"
"Q02388","Q02388","CO7A1_HUMAN","COL7A1","Collagen alpha-1(VII) chain",2,2,FALSE,21.4038596066017,23.449914278177,21.1884374006653,24.4536550262766,23.1008706800269,22.0417242666611,21.5580748271205,24.123823348213,22.2820329350736,23.2051656662076,23.0164868228538,24.065286143764,21.6170997457252,19.7067697990889,22.4058604684089,22.20880364228,21.6411895019227,22.4651949990615,22.3805637907732,22.8765191922183,23.0032997645298,24.0161683982102,21.2119615564341,20.6045524536534,21.8571084894272,19.9671001373609,20.0830319325511,19.3661855783465,22.424492870351,0.866068081276989,0.149142062260507,1.58299410029347,22.1284563214477,2.47400152051829,-3.2317712873491,0.0196567051827519,0.359159723125517,1,0,0.385151190658117,0.411954080822556,"NDE","UP","NDE"
"Q66K66","Q66K66","TM198_HUMAN","TMEM198","Transmembrane protein 198",1,1,FALSE,27.5395540891389,29.3646289249059,27.0454844300981,29.9276509428491,28.8969293967862,27.9876661637446,27.6453698100766,29.4212727165844,27.8979984867672,29.6678681523502,28.9735899798977,29.1552305460113,27.8531585907674,26.5273873406125,28.272560918247,28.3702020529026,28.0331551474911,28.608323233038,28.2154025398841,28.8765041723584,28.327123929655,29.0294950188737,27.7243927883527,26.6600450993529,28.0196958862813,NA,NA,25.447402498173,28.2258910364595,0.758664926753237,0.153739829686681,1.36359002381979,28.2116290330244,2.57728695075256,-3.04929558354436,0.0159475399472906,0.346514403978701,1,0,0.349197312168565,0.44750994166048,"NDE","UP","NDE"
"Q6L9W6","Q6L9W6","B4GN3_HUMAN","B4GALNT3","Beta-1,4-N-acetylgalactosaminyltransferase 3",1,1,FALSE,19.5156895910676,21.5454294431194,19.1427154733875,21.8259291691193,20.8018413368632,19.3890521306081,19.8944249304315,20.4019517209399,20.3659232781319,21.8354014690924,21.2776821523481,21.6096864426958,19.9210877283397,17.9707795128032,20.0592642634379,20.7839722817172,20.4434143149051,20.887724484494,20.0899876273638,21.3080369861197,17.9358021323515,21.6830094517413,20.6206083482687,19.2993883559122,19.9899263130811,18.3194468457066,17.4491752592834,17.9497864869704,20.3607046975317,0.755140499865433,0.0504572228241733,1.45982377690669,20.0923393871666,2.19460350860989,-3.74191010102146,0.0366086573783133,0.480136621769416,1,0,0.240614319694703,0.574626539517721,"NDE","UP","NDE"
"Q7Z2W7","Q7Z2W7","TRPM8_HUMAN","TRPM8","Transient receptor potential cation channel subfamily M member 8",1,1,FALSE,21.4684851996811,24.0888771511873,20.7448271349666,24.012516169901,24.3899364038867,NA,21.8081456950143,NA,22.4359527865659,24.1288467772389,22.9738657632251,23.8017643318886,21.3792753866756,20.5628011679966,22.6834407362851,23.3621163240303,22.5670048117426,23.2790385344069,23.6850786538682,23.9255626030144,NA,25.2041837696494,23.2870481170979,22.1449856403373,21.0204265913627,21.257272661552,20.7764970716457,19.8715993978015,20.8756956826933,1.13676190667189,0.345431427217231,1.92809238612655,22.528278637066,2.95776121726792,-2.29785546450116,0.00665876857220134,0.283830010390082,1,0,0.621742474837802,0.238922761184598,"NDE","UP","NDE"
"Q86UK0","Q86UK0","ABCAC_HUMAN","ABCA12","Glucosylceramide transporter ABCA12",1,1,FALSE,18.7878700499653,20.7695507818492,19.0474974317686,22.3478039986441,21.6720250706967,20.9315877454573,20.2133556052999,21.3697714422202,20.8041002297105,21.9462313459801,21.4357367113754,22.0881941789548,19.7641752412135,18.5533037133083,20.1943880419061,21.0619011398441,20.0019661148377,20.455148858013,21.0724288296293,21.4646025238226,19.5183951008765,21.8195178095679,20.6637444640295,19.4797029554576,20.1654028063661,18.7420644896203,18.7186255446234,18.1158000543162,21.5242967961304,0.901733766547142,0.218855198092304,1.58461233500198,20.438937554327,2.70431402896907,-2.78369778658468,0.0114852241425156,0.346514403978701,1,0,0.415048852880894,0.384548522550682,"NDE","UP","NDE"
"Q8NB25","Q8NB25","F184A_HUMAN","FAM184A","Protein FAM184A",1,1,FALSE,22.9419285666782,25.7817547542514,23.0270087636352,27.0147731687653,26.2677159316323,24.2886265031027,23.926270046781,25.8385727446291,24.2373285297807,26.2210489257798,24.7339556874941,25.8088479732542,NA,22.0998784469518,24.6486561683556,25.5658665525635,24.6326020420973,25.4303538739717,24.967142101996,26.4838690620021,NA,27.0572474292515,24.3822147280039,23.548121054113,23.5680164741832,22.4528407195574,22.2583988500095,NA,24.6863283767171,1.42113674918263,0.606081248022427,2.23619225034284,24.6872833644445,3.59004736926256,-0.978789978665297,0.00139932775375665,0.159056921343673,1,0,1.13470298203769,0.0733325889951252,"NDE","UP","NDE"
"Q92783","Q92783","STAM1_HUMAN","STAM","Signal transducing adapter molecule 1",1,1,FALSE,16.9481754147442,19.0824483034629,NA,20.8346016076462,20.8619101940259,NA,18.862236502895,19.2991725317406,16.1225529969647,21.4724686594793,NA,21.792553287456,18.5050815186527,NA,NA,18.6904463150279,NA,NA,19.5605673019133,21.0643529163714,NA,20.5411154818139,NA,NA,18.3550500489512,NA,18.2090767473048,NA,20.2667603159381,2.20653144041578,1.02673004954497,3.3863328312866,19.4393276555522,3.96206880036882,-0.772916140099112,0.00110147147986207,0.159056921343673,1,0,1.76179935311626,0.0173061573030055,"NDE","UP","UP"
"Q9NQX6","Q9NQX6","ZN331_HUMAN","ZNF331","Zinc finger protein 331",1,1,FALSE,29.5446835269895,NA,28.317527087404,31.9324264191257,30.941539434234,28.9661133255267,29.43440298775,31.1402051106528,NA,30.4854504355673,29.7687311173666,31.5239033551372,29.9709983159785,NA,29.6036158934554,30.2440207582571,30.037110661298,30.6469150188336,NA,31.0656762725234,29.9272699874128,30.8588634686585,29.5072195833022,27.1486423611173,30.1953284039296,NA,NA,27.1904902110369,29.8976016532125,1.24342536166923,0.493187521505267,1.99366320183319,29.9282058864682,3.4359683603208,-1.40190489776851,0.00234447305526243,0.190429420743925,1,0,0.895596953905805,0.127175380619947,"NDE","UP","NDE"
"Q9NYW8","Q9NYW8","RBAK_HUMAN","RBAK","RB-associated KRAB zinc finger protein",1,1,FALSE,20.8480550400454,22.9966645609123,NA,24.214882360332,22.9716233670757,20.1691196078772,21.6709404658058,22.786814439214,20.969836279549,23.0833068809465,20.5780585800418,23.2063732508233,20.4507541301482,NA,21.1975177232014,22.5839166683356,20.1023852392992,20.8315009910121,21.5849769025902,23.1516488209842,NA,24.0464636262935,NA,19.1309927704386,21.0612009054413,NA,19.6347318902687,18.5722133996656,20.5202485768263,1.51349093055931,0.712102476018911,2.31487938509971,21.5151761032137,3.90557464516452,-0.385331390167685,0.00070497491219124,0.159056921343673,1,0,1.20844294061102,0.0618809623957163,"NDE","UP","NDE"
"Q9UPR0","Q9UPR0","PLCL2_HUMAN","PLCL2","Inactive phospholipase C-like protein 2",1,1,FALSE,18.2999817145071,20.7389124573559,17.0553620946665,21.9279013120794,21.0295798181997,17.83096392519,18.2815291033565,20.9143314929801,19.6135507534097,21.5965246335538,16.5107389188533,21.2147306099131,17.8435591252527,NA,19.1178242392133,19.7856392580549,17.4073720850394,16.7041142397822,19.6721966377927,21.3001241354369,19.5518014516889,20.2504584769507,15.0245699998136,16.1412596755944,19.4863534156484,NA,15.5746694406298,16.3130713442475,19.9079785479955,1.81980997321979,0.608085944678185,3.0315340017614,18.8553740336002,3.0862897140834,-2.02472806445202,0.00475102257783254,0.252486830388794,1,0,1.08781191998534,0.0816936085466543,"NDE","UP","NDE"
