"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS28","PPS31","PPS32","PPS37","PPS40","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"A0A0B4J1X5","A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",2,2,FALSE,22.5794244694422,27.0263268857009,22.1306870885681,26.3112470850739,24.3396412494148,22.8159116654612,22.5409034229334,26.8961247030568,24.2988640618989,24.0543662776133,22.6558186226945,21.2164887724816,24.1392087891415,22.2779457925915,NA,25.4895115227128,22.0680449074185,23.6856917852482,25.0013834025056,26.5897104149458,23.1679329693426,23.0554542219826,24.3037068405221,20.9632705049232,21.2084417398338,21.6201279096135,22.575986683635,NA,23.9446680977564,2.20600415808953,0.402436418490426,4.00957189768864,23.5909959217227,2.51355411042861,-3.36026874170277,0.018444829088246,0.196552709971621,1,0,1.55858818428408,0.0276319679007152,"NDE","UP","UP"
"A0A0B4J1Y9","A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",5,5,FALSE,20.5536005175454,24.7725411006967,19.6845163253806,24.040433746902,22.2272305622828,20.7830864375176,20.9349783277137,24.8877609680291,22.6137344205934,22.3159041059583,21.516039426146,19.80655559911,22.1842302367101,20.1479101111171,20.2775396498588,23.2624700577577,20.3015777292472,21.6673487566913,23.615976651255,25.584999981223,22.0919992547681,20.9542994263302,22.1453410445951,19.8800791705378,19.4401241305327,19.3121603351538,20.7564832409078,NA,22.1045459602801,2.13335942429784,0.343132235485003,3.92358661311067,21.70940954553,2.44453426886124,-3.49086472072512,0.0212784154098062,0.219876959234664,1,0,1.4033670889143,0.0395032576259534,"NDE","UP","UP"
"A0A0C4DH35","A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,1,FALSE,18.7008935491183,21.9742415610635,NA,21.4229110505668,19.1405366967849,NA,17.8041706759512,21.8303640122824,20.0105927080724,19.542793950424,18.9571471640976,NA,19.5458468901227,18.2669035241925,17.0064241021777,20.3404513581095,18.2637339964787,19.5671523332302,20.4626293519666,22.2319737256805,NA,18.3937627506993,19.7653434801153,NA,NA,17.7622492397944,16.9723478176625,NA,18.8926507484674,2.03813097880508,0.295216199285205,3.78104575832496,19.4025054857754,2.43091351493315,-3.44236316796488,0.024042981030112,0.230983587064369,1,0,1.2971050318734,0.0504539262597194,"NDE","UP","NDE"
"O94915","O94915","FRYL_HUMAN","FRYL","Protein furry homolog-like",1,1,FALSE,18.9417443064612,21.1100717132969,NA,22.0681461825999,20.9366716964777,18.1252291072,18.932108040584,21.3552559936955,19.9256987042843,21.303181599009,20.6311065947298,21.0402045202772,NA,NA,19.0588721670732,20.8631039632645,19.8810929895405,20.0366989642743,20.1990268890332,21.5958239496685,19.64236790105,21.882833604994,19.8159265419049,18.954956367761,18.7979185287561,NA,16.629395071052,NA,18.9710308565796,2.33478505644186,1.1695662253995,3.50000388748422,20.0291027605653,4.14369337999808,0.169449026562697,0.00038962131322947,0.0189801239730357,1,1,4.0198016618752,9.55428821581363e-05,"UP","UP","UP"
"P01780","P01780","HV307_HUMAN","IGHV3-7","Immunoglobulin heavy variable 3-7",3,3,FALSE,22.1521586086332,25.7658402736785,20.47801597875,25.4673680775103,23.9538569424637,21.7925589375768,22.9071901328486,26.9573769586385,23.6595689295526,23.6288342709724,22.7908636435659,21.4326717896566,23.4285778187759,20.9973282627776,20.986217440387,24.8333950790744,21.3564294666879,23.2436535050021,24.1929830187742,26.1254613247201,23.1873186385241,22.1291986100268,23.4240017046243,20.4147862717093,19.9145666736308,20.4424886359421,22.396344795213,NA,22.7997217808498,2.56875681794307,0.707321993284534,4.43019164260161,22.8878134846631,2.83084053066418,-2.69682126504493,0.00863824387960528,0.117825646517816,1,0,2.38575901521388,0.00411377926449514,"NDE","UP","UP"
"P01834","P01834","IGKC_HUMAN","IGKC","Immunoglobulin kappa constant",6,6,FALSE,26.0569797113778,29.64909431617,24.7603721778059,29.57484281355,28.3566284857923,25.833905051035,25.6383570462568,30.1933283112761,28.0637857134191,28.3438892706874,27.4071338115336,25.5524864395971,27.0673846568779,25.1424470646975,25.3090316446757,28.0893355780429,24.7381468480448,26.3533173628826,28.4578534534723,30.6089123129202,27.0981642550933,26.5777551940059,27.5850708885946,25.5467587913883,25.1726339554919,24.5610942861157,26.6348178301202,23.4207972171423,27.6308599926922,2.31626385162495,0.539956484417036,4.09257121883286,26.8767304993365,2.67049755000586,-3.06660277855234,0.0124441015474929,0.138730066556002,1,0,1.98695924252012,0.0103048282420828,"NDE","UP","UP"
"P01857","P01857","IGHG1_HUMAN","IGHG1","Immunoglobulin heavy constant gamma 1",17,17,FALSE,26.8555274911219,31.290378565708,25.9852224037791,30.7310433008116,29.478188327355,26.9590338965175,26.8775819862212,31.5051812891758,29.6160563439934,29.2565572157921,28.7889667991384,26.7491846564057,28.2809044418725,26.4042382586535,25.3939201830147,28.8271786823958,26.4608707296662,28.4468055807651,29.6546205089506,31.3689035254413,28.0557236296325,27.9572011903975,29.0646058632756,26.1807033213617,26.0905703209979,26.0897868661779,27.4112574924024,23.9689614717875,28.440396077909,2.57997918535875,0.767749737692392,4.3922086330251,28.0065369110594,2.91558220213724,-2.53934973237776,0.0068957576169402,0.110139400617425,1,0,2.47176786992094,0.00337467636663947,"NDE","UP","UP"
"P01859","P01859","IGHG2_HUMAN","IGHG2","Immunoglobulin heavy constant gamma 2",9,9,FALSE,25.2140787750131,29.9798284229426,24.2319743509171,28.9552288969379,26.999644902004,24.3858574297959,24.7986968132072,29.1353827098536,27.6108244310797,27.1574575994671,26.3694740306495,24.2909643354679,27.0178496651447,24.7710357880303,23.9153036086988,27.4760163220383,24.2182278185014,25.823644091665,28.5776290318754,30.3354624370162,26.1103739068576,26.0443850040911,27.1552955618306,24.2306821152519,23.6400929299519,22.5945433886298,25.196905713168,22.5741160703602,26.9746004317338,2.78089507896394,0.81733258016905,4.74445757775884,26.0615716062821,2.90042837961872,-2.5726643808446,0.00715636559792419,0.110139400617425,1,0,2.66425680672634,0.00216642267836292,"NDE","UP","UP"
"P01871","P01871","IGHM_HUMAN","IGHM","Immunoglobulin heavy constant mu",16,16,FALSE,23.6594331074497,28.256028911903,22.4180805660305,27.4943604806762,25.668138209228,24.9400864733626,24.5884150437682,28.9773088072426,24.3702244854513,24.2217673402978,24.7359375687858,22.7174304948369,24.6079994938081,22.1731306943073,23.6870390290907,27.3245831071003,23.9525068432979,24.939934646681,26.3092285220769,27.6732836952477,24.3245901047871,23.2289745690481,24.6202922409485,21.424958340583,22.6482628604317,21.3948213850298,23.7195567573142,21.3702553727878,24.868778793041,3.06974679963048,1.19097690800015,4.94851669126081,24.4936347567108,3.34619491523373,-1.55892835384362,0.00233625940959442,0.0468626152159822,1,1,4.08022603275152,8.31330984260143e-05,"UP","UP","UP"
"P01876","P01876","IGHA1_HUMAN","IGHA1","Immunoglobulin heavy constant alpha 1",12,12,FALSE,25.1669990517497,28.8096845882032,22.9923791016682,27.1469260310843,27.2552744668116,24.533006111013,24.1932220980977,28.3773635336855,26.7220237906124,26.4350133285838,25.6322144019336,24.0178407054084,26.9784484411644,24.9725744094598,24.1420962368963,26.9962295811778,23.9866077832026,25.0698282339519,26.5944317922084,28.4567673651026,25.0021558841729,25.9108493327077,25.7723238551806,23.2923018920226,24.2651261703739,24.8590149310968,25.5591884320276,23.0498246317229,26.503579456728,1.8775350692194,0.265841130717132,3.48922900772166,25.6101136426913,2.38576551346537,-3.64472748862796,0.0240121059848068,0.230983587064369,1,0,1.19489876319483,0.0638412286810053,"NDE","UP","NDE"
