"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Baseline_FvM","down","23","1",0.05,0,"BH"
"Baseline_FvM","nonsig","294","329",0.05,0,"BH"
"Baseline_FvM","up","13","0",0.05,0,"BH"
"Training_FvM","down","6","0",0.05,0,"BH"
"Training_FvM","nonsig","322","330",0.05,0,"BH"
"Training_FvM","up","2","0",0.05,0,"BH"
"Training_F","down","6","0",0.05,0,"BH"
"Training_F","nonsig","286","330",0.05,0,"BH"
"Training_F","up","38","0",0.05,0,"BH"
"Training_M","down","3","0",0.05,0,"BH"
"Training_M","nonsig","320","330",0.05,0,"BH"
"Training_M","up","7","0",0.05,0,"BH"
"Interaction_sex","down","3","0",0.05,0,"BH"
"Interaction_sex","nonsig","307","330",0.05,0,"BH"
"Interaction_sex","up","20","0",0.05,0,"BH"
