Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nCPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nCPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific pTPM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cutaneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
ABI1,"ABI-1, E3B1, SSH3BP1",ENSG00000136754,Abl interactor 1,Q8IZP0,10,26746593-26861087,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Host-virus interaction,,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Neutrophil progenitors: 761.7;Neutrophils: 770.9;Ocular epithelial cells: 729.2,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB008375, HPA068407",Approved,,Approved,"Plasma membrane,Cell Junctions",,,NA,NA,,330000,Cluster 42: Non-specific - Vesicular transport,Cluster 44: Bone marrow - Nuclear processes,Cluster 29: Forebrain - Mixed function,Cluster 52: Non-specific - Mitochondria,Cluster 100: Stratified epithelial cells - Barrier functions,63,"Plasma membrane, Cell Junctions",,"CAB008375: , HPA068407: ",unprognostic (9.39e-2),unprognostic (3.41e-2),unprognostic (2.10e-1),unprognostic (6.65e-3),unprognostic (1.61e-1),potential prognostic unfavorable (3.90e-4),unprognostic (5.90e-2),potential prognostic favorable (1.27e-5),unprognostic (2.54e-2),unprognostic (1.58e-2),potential prognostic favorable (1.75e-7),unprognostic (2.69e-2),unprognostic (1.63e-1),potential prognostic unfavorable (6.36e-4),unprognostic (4.18e-2),unprognostic (1.64e-1),unprognostic (2.87e-1),unprognostic (1.56e-1),unprognostic (6.11e-2),unprognostic (1.73e-2),potential prognostic unfavorable (1.10e-4),unprognostic (1.40e-2),unprognostic (3.10e-1),unprognostic (6.20e-2),unprognostic (1.52e-1),unprognostic (1.03e-1),unprognostic (1.01e-1),unprognostic (3.09e-1),unprognostic (1.57e-1),unprognostic (8.91e-2),unprognostic (3.00e-1)
ABL1,"ABL, c-ABL, JTK7, p150",ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase",P00519,9,130713043-130887675,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins","Apoptosis, Autophagy, Cell adhesion, DNA damage, DNA repair, Endocytosis","DNA-binding, Kinase, Transferase, Tyrosine-protein kinase","Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in some,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Spleen - Endothelial cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB002686, HPA027251, HPA027280, HPA028409",Supported,,Supported,"Nucleoplasm,Nuclear bodies",,,Yes,No,,,Cluster 30: Non-specific - DNA binding,Cluster 12: Smooth muscle tissue - ECM organization,Cluster 6: Non-specific - Immune response,Cluster 43: Non-specific - Basic cellular processes,Cluster 103: Non-specific - Basic cellular processes,162,Nucleoplasm,Nuclear bodies,"CAB002686: , HPA027251: , HPA027280: , HPA028409: ",unprognostic (1.53e-1),unprognostic (2.66e-2),unprognostic (4.09e-1),unprognostic (1.27e-2),unprognostic (1.56e-1),unprognostic (1.40e-2),unprognostic (6.41e-2),unprognostic (3.49e-2),unprognostic (2.96e-1),unprognostic (2.22e-1),potential prognostic favorable (2.76e-4),unprognostic (7.92e-3),unprognostic (4.17e-1),unprognostic (7.37e-3),unprognostic (5.27e-2),unprognostic (2.14e-2),unprognostic (7.30e-2),unprognostic (1.14e-2),unprognostic (3.64e-3),unprognostic (1.42e-2),unprognostic (2.99e-3),unprognostic (9.06e-2),unprognostic (3.81e-1),unprognostic (1.44e-1),unprognostic (2.60e-2),unprognostic (1.17e-1),unprognostic (1.58e-1),unprognostic (7.66e-2),unprognostic (3.38e-1),unprognostic (9.73e-2),unprognostic (3.41e-2)
ABL2,"ABLL, ARG",ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase",P42684,1,179099330-179229684,"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins",Cell adhesion,"Kinase, Transferase, Tyrosine-protein kinase",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Schwann cells: 418.4,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in single,,,Low lineage specificity,Detected in single,,,Low cancer specificity,Detected in all,,,"Colon - Endothelial cells, Prostate - Endothelial cells, Testis - Spermatocytes, Testis - Spermatogonia",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA001866, CAB017106, HPA072754",Uncertain,,Approved,"Intermediate filaments,Cytosol",,,NA,NA,,,,Cluster 14: Adipose tissue - Angiogenesis,Cluster 33: Neurons - Mixed function,Cluster 72: Neuronal - Signal transduction,Cluster 40: Monocytes & Neutrophils - Inflammatory signaling,37,Cytosol,Intermediate filaments,"CAB017106: , HPA001866: , HPA072754: ",unprognostic (1.38e-1),unprognostic (6.50e-2),potential prognostic favorable (3.49e-5),potential prognostic unfavorable (4.55e-4),unprognostic (1.14e-1),unprognostic (3.23e-1),unprognostic (2.65e-1),unprognostic (1.31e-2),unprognostic (9.01e-3),unprognostic (1.36e-2),unprognostic (4.56e-2),unprognostic (5.43e-2),unprognostic (3.81e-3),unprognostic (2.67e-2),unprognostic (1.09e-1),unprognostic (6.65e-3),unprognostic (2.24e-3),unprognostic (1.02e-1),unprognostic (3.74e-1),unprognostic (8.55e-2),unprognostic (6.26e-3),unprognostic (4.31e-2),potential prognostic unfavorable (5.35e-7),unprognostic (1.70e-1),unprognostic (2.49e-1),unprognostic (4.12e-2),unprognostic (1.95e-1),unprognostic (5.89e-2),unprognostic (1.59e-1),unprognostic (2.24e-2),unprognostic (6.00e-2)
ACKR3,"CMKOR1, CXCR7, GPR159, RDC1",ENSG00000144476,Atypical chemokine receptor 3,P25106,2,236567787-236582354,"Cancer-related genes, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins","Cell adhesion, Host-virus interaction","Developmental protein, G-protein coupled receptor, Receptor, Transducer","Cancer-related genes, Disease variant",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Endometrial luminal cells: 59.0;Fibro-adipogenic progenitors: 150.0;Fibroblasts: 192.3;Lymphatic endothelial cells: 174.0;Respiratory ionocytes: 73.7;Schwann cells: 116.4;Vascular smooth muscle cells: 182.8,Cell type enhanced,Detected in many,,astrocyte: 66.2;vascular associated smooth muscle cell: 193.2,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Group enriched,Detected in many,7,NK-cells: 4.7;T-cells: 3.8,Cancer enhanced,Detected in many,,Kidney cancer: 106.8,Testis - Sertoli cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA032003, HPA049718",Approved,,Supported,"Vesicles,Plasma membrane",,,NA,NA,,,Cluster 24: Non-specific - Transcription,Cluster 14: Adipose tissue - Angiogenesis,Cluster 39: Astrocytes - Mixed function,Cluster 15: Kidney cancer - Membrane components,Cluster 108: Fibroblasts - ECM organization,6,"Vesicles, Plasma membrane",,"HPA032003: , HPA049718: ",unprognostic (1.51e-1),unprognostic (1.62e-3),,unprognostic (2.01e-3),unprognostic (2.34e-1),unprognostic (1.30e-2),unprognostic (2.57e-1),unprognostic (1.91e-3),unprognostic (2.56e-1),unprognostic (3.88e-2),unprognostic (3.68e-1),unprognostic (2.00e-2),unprognostic (5.10e-2),unprognostic (1.83e-3),,unprognostic (2.98e-2),unprognostic (5.82e-3),unprognostic (1.60e-1),unprognostic (3.56e-2),unprognostic (6.38e-2),unprognostic (1.57e-1),unprognostic (1.48e-3),unprognostic (6.04e-2),unprognostic (3.76e-2),unprognostic (1.21e-1),unprognostic (3.07e-3),unprognostic (6.33e-3),potential prognostic unfavorable (1.37e-4),unprognostic (1.46e-1),unprognostic (1.96e-3),unprognostic (1.57e-1)
ACSL3,"ACS3, FACL3, PRO2194",ENSG00000123983,Acyl-CoA synthetase long chain family member 3,O95573,2,222860942-222944639,"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","Fatty acid metabolism, Lipid metabolism",Ligase,Cancer-related genes,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,parathyroid gland: 161.9,Cell type enhanced,Detected in all,,Neutrophils: 778.1;Prostatic glandular cells: 593.4,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Prostate - Prostate glandular cells, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA011315, HPA071021",Approved,,Approved,"Nucleoli,Nucleoli rim,Lipid droplets",,,NA,NA,,22000,Cluster 2: Dendritic cells - Unknown function,Cluster 69: Parathyroid gland - Mixed function,Cluster 14: Neurons - Synaptic function,Cluster 69: Skin cancer - ECM organization,Cluster 40: Monocytes & Neutrophils - Inflammatory signaling,22,"Nucleoli, Nucleoli rim",Lipid droplets,"HPA011315: , HPA071021: ",unprognostic (7.25e-2),unprognostic (9.45e-2),unprognostic (8.74e-2),unprognostic (2.22e-2),unprognostic (1.91e-2),unprognostic (5.62e-2),unprognostic (2.06e-1),unprognostic (3.29e-3),unprognostic (6.97e-2),unprognostic (1.32e-2),potential prognostic favorable (2.11e-6),unprognostic (1.17e-2),unprognostic (1.28e-1),validated prognostic unfavorable (4.09e-5),validated prognostic unfavorable (9.71e-4),potential prognostic unfavorable (4.50e-4),unprognostic (1.80e-1),unprognostic (9.11e-2),unprognostic (2.23e-1),unprognostic (2.35e-2),unprognostic (9.87e-2),unprognostic (1.12e-1),unprognostic (1.43e-1),unprognostic (2.80e-2),unprognostic (2.97e-1),unprognostic (7.62e-2),unprognostic (1.23e-1),unprognostic (3.16e-1),unprognostic (1.86e-1),unprognostic (8.42e-2),unprognostic (3.07e-1)
ACVR1,"ACVR1A, ACVRLK2, ALK2, SKR1",ENSG00000115170,Activin A receptor type 1,Q04771,2,157736251-157876330,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",,"Kinase, Receptor, Serine/threonine-protein kinase, Transferase","Cancer-related genes, Disease variant",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Myonuclei: 202.3;Proximal tubule cells: 222.5;Salivary ionocytes: 202.3,Cell type enhanced,Detected in all,,endothelial cell: 743.4,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in many,,T-reg: 5.6,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Thyroid gland - Thyroid glandular cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA007505,Approved,,,,,,NA,NA,,,Cluster 9: T-regs - Cell cycle regulation,Cluster 75: Ovary - Mixed function,Cluster 42: Choroid plexus - Mitochondria,Cluster 26: Non-specific - Mitochondria & RNA binding,Cluster 104: Brain endothelial cells - Blood brain barrier,14,,,HPA007505: ,unprognostic (2.02e-1),unprognostic (1.19e-1),unprognostic (5.75e-2),unprognostic (6.85e-2),unprognostic (1.63e-1),potential prognostic unfavorable (7.38e-5),unprognostic (1.94e-1),unprognostic (3.72e-1),unprognostic (3.50e-2),unprognostic (5.89e-2),potential prognostic favorable (1.95e-4),unprognostic (6.83e-2),unprognostic (3.69e-3),unprognostic (1.30e-3),unprognostic (9.03e-3),unprognostic (1.14e-1),unprognostic (2.31e-2),unprognostic (2.39e-1),unprognostic (1.53e-1),unprognostic (5.48e-2),unprognostic (3.03e-2),unprognostic (5.91e-2),unprognostic (4.19e-1),unprognostic (3.25e-2),unprognostic (1.31e-1),unprognostic (8.28e-3),unprognostic (3.62e-1),unprognostic (4.08e-3),unprognostic (3.35e-1),unprognostic (1.91e-2),unprognostic (6.36e-2)
ACVR1B,"ActRIB, ACVRLK4, ALK4, SKR2",ENSG00000135503,Activin A receptor type 1B,P36896,12,51951699-51997078,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",,"Kinase, Receptor, Serine/threonine-protein kinase, Transferase",Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Distal convoluted tubule cells: 186.3;Neutrophils: 160.8;Renal connecting tubule cells: 182.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in many,,eosinophil: 3.9,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Skin - Keratinocyte (other), Testis - Spermatogonia",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB026126, HPA063761",Approved,,Approved,"Vesicles,Primary cilium,Cytosol",,,NA,NA,,,Cluster 42: Non-specific - Vesicular transport,Cluster 38: Non-specific - Basic cellular processes,Cluster 53: Neurons - Mixed function,Cluster 15: Kidney cancer - Membrane components,Cluster 50: Renal epithelial cells - Ion transport and pH regulation,16,Cytosol,"Vesicles, Primary cilium","CAB026126: , HPA063761: ",unprognostic (4.44e-1),unprognostic (3.54e-2),unprognostic (1.61e-1),unprognostic (1.13e-1),unprognostic (9.77e-2),unprognostic (2.03e-2),unprognostic (3.42e-1),unprognostic (6.70e-3),unprognostic (1.82e-1),unprognostic (2.75e-1),unprognostic (1.22e-2),unprognostic (4.91e-3),unprognostic (1.30e-1),unprognostic (1.17e-3),unprognostic (4.44e-2),unprognostic (4.47e-2),unprognostic (1.63e-1),unprognostic (1.02e-1),unprognostic (2.60e-2),unprognostic (2.65e-1),unprognostic (5.59e-1),unprognostic (1.37e-1),unprognostic (1.47e-3),unprognostic (9.58e-2),unprognostic (9.62e-2),unprognostic (1.20e-1),unprognostic (1.12e-1),unprognostic (1.46e-1),unprognostic (1.08e-2),unprognostic (7.34e-2),unprognostic (2.51e-1)
ACVR2A,"ACTRII, ACVR2",ENSG00000121989,Activin A receptor type 2A,P27037,2,147844517-147930826,"Cancer-related genes, Enzymes, Predicted membrane proteins",,"Kinase, Receptor, Serine/threonine-protein kinase, Transferase",Cancer-related genes,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Skin - Keratinocyte (other),Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA046997,Approved,,Approved,Cytosol,,,NA,NA,,,Cluster 33: Non-specific - ATP binding,Cluster 37: Skin - Keratinization,Cluster 10: Cerebellum - Nucleic acid binding,Cluster 33: Sarcoma - Muscle contraction,Cluster 9: T-cells - Adaptive immunity: Regulation,34,Cytosol,,HPA046997: ,unprognostic (1.63e-1),unprognostic (2.04e-2),unprognostic (3.55e-1),unprognostic (9.26e-2),unprognostic (1.12e-1),unprognostic (2.27e-1),unprognostic (3.28e-1),unprognostic (8.00e-3),unprognostic (9.63e-2),unprognostic (2.26e-2),validated prognostic favorable (6.18e-9),validated prognostic favorable (9.12e-6),unprognostic (5.49e-2),unprognostic (7.15e-3),unprognostic (3.40e-1),unprognostic (2.07e-2),unprognostic (3.07e-1),unprognostic (1.86e-1),unprognostic (3.94e-2),unprognostic (4.37e-2),unprognostic (3.41e-2),unprognostic (2.44e-1),unprognostic (5.86e-2),unprognostic (1.99e-1),unprognostic (1.31e-2),unprognostic (7.49e-2),unprognostic (5.16e-2),unprognostic (7.10e-2),unprognostic (2.33e-1),unprognostic (9.52e-2),unprognostic (3.38e-1)
AFDN,"AF-6, AF6, MLLT4",ENSG00000130396,"Afadin, adherens junction formation factor",P55196,6,167826893-167972023,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",Cell adhesion,,"Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Endometrial ciliated cells: 840.1;Endometrial glandular cells: 1110.5;Esophageal apical cells: 1778.4,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in single,,,Low lineage specificity,Detected in single,,,Low cancer specificity,Detected in all,,,"Adipose subcutaneous - Endothelial cells, Heart muscle - Endothelial cells, Lung - Alveolar cells type 1, Skeletal muscle - Endothelial cells, Spleen - Endothelial cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB013496, HPA030212, HPA030213, HPA030214, HPA030215, HPA049868",Approved,,Enhanced,"Nucleoplasm,Plasma membrane,Cell Junctions",,,NA,NA,,,Cluster 20: Non-specific - DNA binding,Cluster 82: Salivary gland - Secretion,Cluster 6: Non-specific - Immune response,Cluster 72: Neuronal - Signal transduction,Cluster 51: Secretory epithelial cells - Mixed function,56,"Plasma membrane, Cell Junctions",Nucleoplasm,"CAB013496: , HPA030212: , HPA030213: , HPA030214: , HPA030215: , HPA049868: ",unprognostic (8.10e-2),potential prognostic unfavorable (4.57e-5),,potential prognostic unfavorable (1.36e-4),unprognostic (1.17e-1),unprognostic (3.78e-1),unprognostic (1.51e-1),unprognostic (8.44e-2),unprognostic (1.21e-1),unprognostic (7.86e-2),potential prognostic favorable (1.65e-5),unprognostic (3.47e-3),unprognostic (2.02e-2),unprognostic (2.56e-1),,unprognostic (1.77e-1),unprognostic (1.08e-1),unprognostic (1.05e-1),unprognostic (2.19e-2),potential prognostic unfavorable (1.79e-4),unprognostic (3.06e-1),unprognostic (1.26e-1),unprognostic (5.74e-3),unprognostic (1.39e-1),unprognostic (1.64e-2),unprognostic (6.35e-2),unprognostic (8.20e-2),unprognostic (9.55e-3),unprognostic (3.21e-1),unprognostic (1.27e-2),unprognostic (1.20e-1)
AFF1,"AF-4, AF4, FEL, MLLT2, PBM1",ENSG00000172493,ALF transcription elongation factor 1,P51825,4,86935002-87141039,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",,,"Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Cone photoreceptor cells: 1283.5;Renal collecting duct principal cells: 1628.5;Syncytiotrophoblasts: 1153.9,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Adrenal gland - Adrenal cortex cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA069947,,,Approved,"Nucleoplasm,Mitochondria",,,No,No,,,Cluster 7: Non-specific - Innate immune response,Cluster 48: Ciliated tissues - Cilium organization,Cluster 8: Immune cells - Immune response,Cluster 51: Myeloma - Immunoglobulins,Cluster 12: Endothelial cells - Angiogenesis & vascular homeostasis,18,"Nucleoplasm, Mitochondria",,HPA069947: ,unprognostic (1.63e-2),unprognostic (1.01e-1),unprognostic (1.60e-1),unprognostic (7.40e-3),unprognostic (6.36e-2),unprognostic (1.82e-1),unprognostic (8.73e-2),unprognostic (2.39e-1),unprognostic (2.31e-2),potential prognostic unfavorable (4.05e-4),validated prognostic favorable (4.81e-6),validated prognostic favorable (5.19e-4),unprognostic (6.38e-2),unprognostic (6.53e-2),unprognostic (6.29e-2),unprognostic (3.43e-1),unprognostic (2.33e-2),unprognostic (1.71e-2),unprognostic (3.74e-2),unprognostic (4.13e-2),unprognostic (4.91e-2),unprognostic (8.86e-2),unprognostic (3.09e-3),unprognostic (3.12e-2),unprognostic (1.32e-3),unprognostic (1.49e-2),unprognostic (1.03e-1),unprognostic (1.54e-2),unprognostic (2.08e-1),unprognostic (1.17e-1),unprognostic (5.27e-2)
