From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function)
P60709,P60709,reviewed,ACTB_HUMAN,"Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",ACTB,Homo sapiens (Human),375,adherens junction assembly [GO:0034333]; apical protein localization [GO:0045176]; axonogenesis [GO:0007409]; cell motility [GO:0048870]; cellular response to cytochalasin B [GO:0072749]; chromatin remodeling [GO:0006338]; cytoskeleton organization [GO:0007010]; establishment or maintenance of cell polarity [GO:0007163]; maintenance of blood-brain barrier [GO:0035633]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of cell differentiation [GO:0045596]; platelet aggregation [GO:0070527]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of norepinephrine uptake [GO:0051623]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; protein localization to adherens junction [GO:0071896]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of double-strand break repair [GO:2000779]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of norepinephrine uptake [GO:0051621]; regulation of nucleotide-excision repair [GO:2000819]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transepithelial transport [GO:0150111]; substantia nigra development [GO:0021762],actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; adherens junction [GO:0005912]; apical junction complex [GO:0043296]; axon [GO:0030424]; bBAF complex [GO:0140092]; blood microparticle [GO:0072562]; brahma complex [GO:0035060]; brush border [GO:0005903]; calyx of Held [GO:0044305]; cell-cell junction [GO:0005911]; chromatin [GO:0000785]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; GBAF complex [GO:0140288]; glutamatergic synapse [GO:0098978]; kinetochore [GO:0000776]; lamellipodium [GO:0030027]; membrane [GO:0016020]; nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; NuA4 histone acetyltransferase complex [GO:0035267]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynapse [GO:0098793]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; RSC-type complex [GO:0016586]; Schaffer collateral - CA1 synapse [GO:0098685]; SWI/SNF complex [GO:0016514]; synapse [GO:0045202]; tight junction [GO:0070160]; vesicle [GO:0031982],actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; adherens junction [GO:0005912]; apical junction complex [GO:0043296]; axon [GO:0030424]; bBAF complex [GO:0140092]; blood microparticle [GO:0072562]; brahma complex [GO:0035060]; brush border [GO:0005903]; calyx of Held [GO:0044305]; cell-cell junction [GO:0005911]; chromatin [GO:0000785]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; GBAF complex [GO:0140288]; glutamatergic synapse [GO:0098978]; kinetochore [GO:0000776]; lamellipodium [GO:0030027]; membrane [GO:0016020]; nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; NuA4 histone acetyltransferase complex [GO:0035267]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynapse [GO:0098793]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; RSC-type complex [GO:0016586]; Schaffer collateral - CA1 synapse [GO:0098685]; SWI/SNF complex [GO:0016514]; synapse [GO:0045202]; tight junction [GO:0070160]; vesicle [GO:0031982]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; nitric-oxide synthase binding [GO:0050998]; nitric-oxide synthase regulator activity [GO:0030235]; protein kinase binding [GO:0019901]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of postsynaptic actin cytoskeleton [GO:0098973]; Tat protein binding [GO:0030957]; tau protein binding [GO:0048156]; transporter regulator activity [GO:0141108]; adherens junction assembly [GO:0034333]; apical protein localization [GO:0045176]; axonogenesis [GO:0007409]; cell motility [GO:0048870]; cellular response to cytochalasin B [GO:0072749]; chromatin remodeling [GO:0006338]; cytoskeleton organization [GO:0007010]; establishment or maintenance of cell polarity [GO:0007163]; maintenance of blood-brain barrier [GO:0035633]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of cell differentiation [GO:0045596]; platelet aggregation [GO:0070527]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of norepinephrine uptake [GO:0051623]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; protein localization to adherens junction [GO:0071896]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of double-strand break repair [GO:2000779]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of norepinephrine uptake [GO:0051621]; regulation of nucleotide-excision repair [GO:2000819]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transepithelial transport [GO:0150111]; substantia nigra development [GO:0021762],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; kinesin binding [GO:0019894]; nitric-oxide synthase binding [GO:0050998]; nitric-oxide synthase regulator activity [GO:0030235]; protein kinase binding [GO:0019901]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of postsynaptic actin cytoskeleton [GO:0098973]; Tat protein binding [GO:0030957]; tau protein binding [GO:0048156]; transporter regulator activity [GO:0141108]
P32119,P32119,reviewed,PRDX2_HUMAN,Peroxiredoxin-2 (EC 1.11.1.24) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2),PRDX2 NKEFB TDPX1,Homo sapiens (Human),198,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; defense response to tumor cell [GO:0002357]; extrinsic apoptotic signaling pathway [GO:0097191]; hydrogen peroxide catabolic process [GO:0042744]; leukocyte activation [GO:0045321]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of lipopolysaccharide-mediated signaling pathway [GO:0031665]; negative regulation of T cell differentiation [GO:0045581]; positive regulation of blood coagulation [GO:0030194]; positive regulation of MAPK cascade [GO:0043410]; regulation of apoptotic process [GO:0042981]; regulation of hydrogen peroxide metabolic process [GO:0010310]; removal of superoxide radicals [GO:0019430]; respiratory burst involved in inflammatory response [GO:0002536]; response to lipopolysaccharide [GO:0032496]; response to oxidative stress [GO:0006979]; T cell homeostasis [GO:0043029]; T cell proliferation [GO:0042098]; thymus development [GO:0048538],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; antioxidant activity [GO:0016209]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; defense response to tumor cell [GO:0002357]; extrinsic apoptotic signaling pathway [GO:0097191]; hydrogen peroxide catabolic process [GO:0042744]; leukocyte activation [GO:0045321]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of lipopolysaccharide-mediated signaling pathway [GO:0031665]; negative regulation of T cell differentiation [GO:0045581]; positive regulation of blood coagulation [GO:0030194]; positive regulation of MAPK cascade [GO:0043410]; regulation of apoptotic process [GO:0042981]; regulation of hydrogen peroxide metabolic process [GO:0010310]; removal of superoxide radicals [GO:0019430]; respiratory burst involved in inflammatory response [GO:0002536]; response to lipopolysaccharide [GO:0032496]; response to oxidative stress [GO:0006979]; T cell homeostasis [GO:0043029]; T cell proliferation [GO:0042098]; thymus development [GO:0048538],antioxidant activity [GO:0016209]; thioredoxin peroxidase activity [GO:0008379]
P15090,P15090,reviewed,FABP4_HUMAN,"Fatty acid-binding protein, adipocyte (Adipocyte lipid-binding protein) (ALBP) (Adipocyte-type fatty acid-binding protein) (A-FABP) (AFABP) (Fatty acid-binding protein 4)",FABP4,Homo sapiens (Human),132,brown fat cell differentiation [GO:0050873]; cellular response to lithium ion [GO:0071285]; cellular response to tumor necrosis factor [GO:0071356]; cholesterol homeostasis [GO:0042632]; fatty acid transport [GO:0015908]; long-chain fatty acid transport [GO:0015909]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of inflammatory response [GO:0050729]; response to bacterium [GO:0009617]; white fat cell differentiation [GO:0050872]; white fat cell proliferation [GO:0070343],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; lipid droplet [GO:0005811]; nucleus [GO:0005634],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; lipid droplet [GO:0005811]; nucleus [GO:0005634]; fatty acid binding [GO:0005504]; hormone receptor binding [GO:0051427]; long-chain fatty acid binding [GO:0036041]; long-chain fatty acid transmembrane transporter activity [GO:0005324]; brown fat cell differentiation [GO:0050873]; cellular response to lithium ion [GO:0071285]; cellular response to tumor necrosis factor [GO:0071356]; cholesterol homeostasis [GO:0042632]; fatty acid transport [GO:0015908]; long-chain fatty acid transport [GO:0015909]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of inflammatory response [GO:0050729]; response to bacterium [GO:0009617]; white fat cell differentiation [GO:0050872]; white fat cell proliferation [GO:0070343],fatty acid binding [GO:0005504]; hormone receptor binding [GO:0051427]; long-chain fatty acid binding [GO:0036041]; long-chain fatty acid transmembrane transporter activity [GO:0005324]
P00918,P00918,reviewed,CAH2_HUMAN,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69),CA2,Homo sapiens (Human),260,"angiotensin-activated signaling pathway [GO:0038166]; carbon dioxide transport [GO:0015670]; morphogenesis of an epithelium [GO:0002009]; neuron cellular homeostasis [GO:0070050]; positive regulation of cellular pH reduction [GO:0032849]; positive regulation of dipeptide transmembrane transport [GO:2001150]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; regulation of chloride transport [GO:2001225]; regulation of intracellular pH [GO:0051453]; regulation of monoatomic anion transport [GO:0044070]; secretion [GO:0046903]",apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; myelin sheath [GO:0043209]; plasma membrane [GO:0005886],"apical part of cell [GO:0045177]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; myelin sheath [GO:0043209]; plasma membrane [GO:0005886]; arylesterase activity [GO:0004064]; carbonate dehydratase activity [GO:0004089]; cyanamide hydratase activity [GO:0018820]; zinc ion binding [GO:0008270]; angiotensin-activated signaling pathway [GO:0038166]; carbon dioxide transport [GO:0015670]; morphogenesis of an epithelium [GO:0002009]; neuron cellular homeostasis [GO:0070050]; positive regulation of cellular pH reduction [GO:0032849]; positive regulation of dipeptide transmembrane transport [GO:2001150]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; regulation of chloride transport [GO:2001225]; regulation of intracellular pH [GO:0051453]; regulation of monoatomic anion transport [GO:0044070]; secretion [GO:0046903]",arylesterase activity [GO:0004064]; carbonate dehydratase activity [GO:0004089]; cyanamide hydratase activity [GO:0018820]; zinc ion binding [GO:0008270]
P01009,P01009,reviewed,A1AT_HUMAN,Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)],SERPINA1 AAT PI PRO0684 PRO2209,Homo sapiens (Human),418,acute-phase response [GO:0006953]; blood coagulation [GO:0007596],COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; Golgi apparatus [GO:0005794]; platelet alpha granule lumen [GO:0031093],COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; Golgi apparatus [GO:0005794]; platelet alpha granule lumen [GO:0031093]; identical protein binding [GO:0042802]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]; acute-phase response [GO:0006953]; blood coagulation [GO:0007596],identical protein binding [GO:0042802]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]
P02585,P02585,reviewed,TNNC2_HUMAN,"Troponin C, skeletal muscle",TNNC2,Homo sapiens (Human),160,regulation of muscle contraction [GO:0006937]; skeletal muscle contraction [GO:0003009],cytosol [GO:0005829]; troponin complex [GO:0005861],cytosol [GO:0005829]; troponin complex [GO:0005861]; calcium ion binding [GO:0005509]; regulation of muscle contraction [GO:0006937]; skeletal muscle contraction [GO:0003009],calcium ion binding [GO:0005509]
P60660,P60660,reviewed,MYL6_HUMAN,Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6),MYL6,Homo sapiens (Human),151,muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; skeletal muscle tissue development [GO:0007519],brush border [GO:0005903]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; myosin complex [GO:0016459]; myosin II complex [GO:0016460]; unconventional myosin complex [GO:0016461]; vesicle [GO:0031982],brush border [GO:0005903]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; myosin complex [GO:0016459]; myosin II complex [GO:0016460]; unconventional myosin complex [GO:0016461]; vesicle [GO:0031982]; calcium ion binding [GO:0005509]; cytoskeletal motor activity [GO:0003774]; microfilament motor activity [GO:0000146]; structural constituent of muscle [GO:0008307]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; skeletal muscle tissue development [GO:0007519],calcium ion binding [GO:0005509]; cytoskeletal motor activity [GO:0003774]; microfilament motor activity [GO:0000146]; structural constituent of muscle [GO:0008307]
P62937,P62937,reviewed,PPIA_HUMAN,"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]",PPIA CYPA,Homo sapiens (Human),165,activation of protein kinase B activity [GO:0032148]; apoptotic process [GO:0006915]; cell adhesion molecule production [GO:0060352]; cellular response to oxidative stress [GO:0034599]; endothelial cell activation [GO:0042118]; leukocyte chemotaxis [GO:0030595]; lipid droplet organization [GO:0034389]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein K48-linked ubiquitination [GO:0061944]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of viral life cycle [GO:1903901]; neuron differentiation [GO:0030182]; neutrophil chemotaxis [GO:0030593]; platelet activation [GO:0030168]; platelet aggregation [GO:0070527]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein secretion [GO:0050714]; positive regulation of viral genome replication [GO:0045070]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of apoptotic signaling pathway [GO:2001233]; regulation of viral genome replication [GO:0045069]; viral release from host cell [GO:0019076],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; vesicle [GO:0031982]; cyclosporin A binding [GO:0016018]; heparan sulfate binding [GO:1904399]; integrin binding [GO:0005178]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; virion binding [GO:0046790]; activation of protein kinase B activity [GO:0032148]; apoptotic process [GO:0006915]; cell adhesion molecule production [GO:0060352]; cellular response to oxidative stress [GO:0034599]; endothelial cell activation [GO:0042118]; leukocyte chemotaxis [GO:0030595]; lipid droplet organization [GO:0034389]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein K48-linked ubiquitination [GO:0061944]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of viral life cycle [GO:1903901]; neuron differentiation [GO:0030182]; neutrophil chemotaxis [GO:0030593]; platelet activation [GO:0030168]; platelet aggregation [GO:0070527]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein secretion [GO:0050714]; positive regulation of viral genome replication [GO:0045070]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of apoptotic signaling pathway [GO:2001233]; regulation of viral genome replication [GO:0045069]; viral release from host cell [GO:0019076],cyclosporin A binding [GO:0016018]; heparan sulfate binding [GO:1904399]; integrin binding [GO:0005178]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; virion binding [GO:0046790]
P08670,P08670,reviewed,VIME_HUMAN,Vimentin,VIM,Homo sapiens (Human),466,astrocyte development [GO:0014002]; Bergmann glial cell differentiation [GO:0060020]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; cellular response to type II interferon [GO:0071346]; intermediate filament organization [GO:0045109]; lens fiber cell development [GO:0070307]; negative regulation of neuron projection development [GO:0010977]; neuron projection development [GO:0031175]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of gene expression [GO:0010628]; regulation of mRNA stability [GO:0043488],axon [GO:0030424]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; microtubule organizing center [GO:0005815]; nuclear matrix [GO:0016363]; peroxisome [GO:0005777]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886],axon [GO:0030424]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; microtubule organizing center [GO:0005815]; nuclear matrix [GO:0016363]; peroxisome [GO:0005777]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; keratin filament binding [GO:1990254]; molecular adaptor activity [GO:0060090]; protein domain specific binding [GO:0019904]; scaffold protein binding [GO:0097110]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of eye lens [GO:0005212]; astrocyte development [GO:0014002]; Bergmann glial cell differentiation [GO:0060020]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; cellular response to type II interferon [GO:0071346]; intermediate filament organization [GO:0045109]; lens fiber cell development [GO:0070307]; negative regulation of neuron projection development [GO:0010977]; neuron projection development [GO:0031175]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of gene expression [GO:0010628]; regulation of mRNA stability [GO:0043488],double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; keratin filament binding [GO:1990254]; molecular adaptor activity [GO:0060090]; protein domain specific binding [GO:0019904]; scaffold protein binding [GO:0097110]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of eye lens [GO:0005212]
P09382,P09382,reviewed,LEG1_HUMAN,Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1),LGALS1,Homo sapiens (Human),135,apoptotic process [GO:0006915]; cell-cell adhesion [GO:0098609]; myoblast differentiation [GO:0045445]; negative regulation of T-helper 17 cell lineage commitment [GO:2000329]; plasma cell differentiation [GO:0002317]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of inflammatory response [GO:0050729]; positive regulation of viral entry into host cell [GO:0046598]; regulation of apoptotic process [GO:0042981]; T cell costimulation [GO:0031295],cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; galectin complex [GO:1990724]; plasma membrane [GO:0005886],cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; galectin complex [GO:1990724]; plasma membrane [GO:0005886]; lactose binding [GO:0030395]; laminin binding [GO:0043236]; receptor ligand activity [GO:0048018]; RNA binding [GO:0003723]; apoptotic process [GO:0006915]; cell-cell adhesion [GO:0098609]; myoblast differentiation [GO:0045445]; negative regulation of T-helper 17 cell lineage commitment [GO:2000329]; plasma cell differentiation [GO:0002317]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of inflammatory response [GO:0050729]; positive regulation of viral entry into host cell [GO:0046598]; regulation of apoptotic process [GO:0042981]; T cell costimulation [GO:0031295],lactose binding [GO:0030395]; laminin binding [GO:0043236]; receptor ligand activity [GO:0048018]; RNA binding [GO:0003723]
