From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function)
Q9Y235,Q9Y235,reviewed,ABEC2_HUMAN,C->U-editing enzyme APOBEC-2 (EC 3.5.4.36) (mRNA(cytosine(6666)) deaminase 2),APOBEC2,Homo sapiens (Human),224,cytidine to uridine editing [GO:0016554]; mRNA modification [GO:0016556]; mRNA processing [GO:0006397]; positive regulation of gene expression via chromosomal CpG island demethylation [GO:0044029],cytoplasm [GO:0005737]; nucleus [GO:0005634],cytoplasm [GO:0005737]; nucleus [GO:0005634]; cytidine deaminase activity [GO:0004126]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; cytidine to uridine editing [GO:0016554]; mRNA modification [GO:0016556]; mRNA processing [GO:0006397]; positive regulation of gene expression via chromosomal CpG island demethylation [GO:0044029],cytidine deaminase activity [GO:0004126]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
O00483,O00483,reviewed,CXFA4_HUMAN,Cytochrome c oxidase subunit FA4 (Complex I-MLRQ) (CI-MLRQ) (Cytochrome c oxidase subunit NDUFA4) (NADH-ubiquinone oxidoreductase MLRQ subunit),COXFA4 NDUFA4,Homo sapiens (Human),81,"cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]",mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]; respiratory chain complex IV [GO:0045277],"mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]; respiratory chain complex IV [GO:0045277]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; protein-containing complex binding [GO:0044877]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]",NADH dehydrogenase (ubiquinone) activity [GO:0008137]; protein-containing complex binding [GO:0044877]
O14958,O14958,reviewed,CASQ2_HUMAN,"Calsequestrin-2 (Calsequestrin, cardiac muscle isoform)",CASQ2,Homo sapiens (Human),399,cardiac muscle contraction [GO:0060048]; cellular response to caffeine [GO:0071313]; detection of calcium ion [GO:0005513]; intracellular calcium ion homeostasis [GO:0006874]; negative regulation of potassium ion transport [GO:0043267]; protein polymerization [GO:0051258]; Purkinje myocyte to ventricular cardiac muscle cell signaling [GO:0086029]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cell communication by electrical coupling [GO:0010649]; regulation of heart rate [GO:0002027]; regulation of membrane repolarization [GO:0060306]; regulation of membrane repolarization during ventricular cardiac muscle cell action potential [GO:1905024]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; sequestering of calcium ion [GO:0051208]; striated muscle contraction [GO:0006941],calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; junctional sarcoplasmic reticulum membrane [GO:0014701]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum lumen [GO:0033018]; sarcoplasmic reticulum membrane [GO:0033017]; Z disc [GO:0030018],calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; junctional sarcoplasmic reticulum membrane [GO:0014701]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum lumen [GO:0033018]; sarcoplasmic reticulum membrane [GO:0033017]; Z disc [GO:0030018]; calcium ion binding [GO:0005509]; calcium ion sequestering activity [GO:0140314]; calcium-dependent protein binding [GO:0048306]; protein homodimerization activity [GO:0042803]; cardiac muscle contraction [GO:0060048]; cellular response to caffeine [GO:0071313]; detection of calcium ion [GO:0005513]; intracellular calcium ion homeostasis [GO:0006874]; negative regulation of potassium ion transport [GO:0043267]; protein polymerization [GO:0051258]; Purkinje myocyte to ventricular cardiac muscle cell signaling [GO:0086029]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cell communication by electrical coupling [GO:0010649]; regulation of heart rate [GO:0002027]; regulation of membrane repolarization [GO:0060306]; regulation of membrane repolarization during ventricular cardiac muscle cell action potential [GO:1905024]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; sequestering of calcium ion [GO:0051208]; striated muscle contraction [GO:0006941],calcium ion binding [GO:0005509]; calcium ion sequestering activity [GO:0140314]; calcium-dependent protein binding [GO:0048306]; protein homodimerization activity [GO:0042803]
Q5VXT5,Q5VXT5,reviewed,SYPL2_HUMAN,Synaptophysin-like protein 2,SYPL2,Homo sapiens (Human),272,heart development [GO:0007507]; intracellular calcium ion homeostasis [GO:0006874]; substantia nigra development [GO:0021762]; T-tubule organization [GO:0033292],synaptic vesicle membrane [GO:0030672],synaptic vesicle membrane [GO:0030672]; heart development [GO:0007507]; intracellular calcium ion homeostasis [GO:0006874]; substantia nigra development [GO:0021762]; T-tubule organization [GO:0033292],
P54652,P54652,reviewed,HSP72_HUMAN,Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2) (Heat shock protein family A member 2),HSPA2,Homo sapiens (Human),639,male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; negative regulation of inclusion body assembly [GO:0090084]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; protein refolding [GO:0042026]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]; synaptonemal complex disassembly [GO:0070194],blood microparticle [GO:0072562]; CatSper complex [GO:0036128]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; male germ cell nucleus [GO:0001673]; meiotic spindle [GO:0072687]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synaptonemal complex [GO:0000795],blood microparticle [GO:0072562]; CatSper complex [GO:0036128]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; male germ cell nucleus [GO:0001673]; meiotic spindle [GO:0072687]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synaptonemal complex [GO:0000795]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; disordered domain specific binding [GO:0097718]; enzyme binding [GO:0019899]; glycolipid binding [GO:0051861]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; tau protein binding [GO:0048156]; unfolded protein binding [GO:0051082]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; negative regulation of inclusion body assembly [GO:0090084]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; protein refolding [GO:0042026]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]; synaptonemal complex disassembly [GO:0070194],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; disordered domain specific binding [GO:0097718]; enzyme binding [GO:0019899]; glycolipid binding [GO:0051861]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; tau protein binding [GO:0048156]; unfolded protein binding [GO:0051082]
Q96IX5,Q96IX5,reviewed,ATPMK_HUMAN,"ATP synthase F(0) complex subunit k, mitochondrial (ATP synthase membrane subunit DAPIT, mitochondrial) (Diabetes-associated protein in insulin-sensitive tissues) (HCV F-transactivated protein 2) (Up-regulated during skeletal muscle growth protein 5)",ATP5MK ATP5MD DAPIT HCVFTP2 USMG5 PD04912,Homo sapiens (Human),58,proton motive force-driven ATP synthesis [GO:0015986],mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259],mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]; proton motive force-driven ATP synthesis [GO:0015986],
P21266,P21266,reviewed,GSTM3_HUMAN,Glutathione S-transferase Mu 3 (EC 2.5.1.18) (GST class-mu 3) (GSTM3-3) (hGSTM3-3),GSTM3 GST5,Homo sapiens (Human),225,cellular detoxification of nitrogen compound [GO:0070458]; establishment of blood-nerve barrier [GO:0008065]; glutathione metabolic process [GO:0006749]; nitrobenzene metabolic process [GO:0018916]; response to estrogen [GO:0043627]; xenobiotic catabolic process [GO:0042178],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; sperm fibrous sheath [GO:0035686],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; sperm fibrous sheath [GO:0035686]; enzyme binding [GO:0019899]; glutathione binding [GO:0043295]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; cellular detoxification of nitrogen compound [GO:0070458]; establishment of blood-nerve barrier [GO:0008065]; glutathione metabolic process [GO:0006749]; nitrobenzene metabolic process [GO:0018916]; response to estrogen [GO:0043627]; xenobiotic catabolic process [GO:0042178],enzyme binding [GO:0019899]; glutathione binding [GO:0043295]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]
Q9UM54,Q9UM54,reviewed,MYO6_HUMAN,Unconventional myosin-VI (Unconventional myosin-6),MYO6 KIAA0389,Homo sapiens (Human),1294,"actin filament organization [GO:0007015]; actin filament-based movement [GO:0030048]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; endocytosis [GO:0006897]; inner ear auditory receptor cell differentiation [GO:0042491]; inner ear morphogenesis [GO:0042472]; intracellular protein localization [GO:0008104]; intracellular protein transport [GO:0006886]; regulation of secretion [GO:0051046]; response to xenobiotic stimulus [GO:0009410]; sensory perception of sound [GO:0007605]",actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; apical part of cell [GO:0045177]; autophagosome [GO:0005776]; cell cortex [GO:0005938]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle membrane [GO:0030665]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; filopodium [GO:0030175]; Golgi apparatus [GO:0005794]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; microvillus [GO:0005902]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]; unconventional myosin complex [GO:0016461],"actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; apical part of cell [GO:0045177]; autophagosome [GO:0005776]; cell cortex [GO:0005938]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle membrane [GO:0030665]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; filopodium [GO:0030175]; Golgi apparatus [GO:0005794]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; microvillus [GO:0005902]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]; unconventional myosin complex [GO:0016461]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; cytoskeletal motor activity [GO:0003774]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; minus-end directed microfilament motor activity [GO:0060001]; actin filament organization [GO:0007015]; actin filament-based movement [GO:0030048]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; endocytosis [GO:0006897]; inner ear auditory receptor cell differentiation [GO:0042491]; inner ear morphogenesis [GO:0042472]; intracellular protein localization [GO:0008104]; intracellular protein transport [GO:0006886]; regulation of secretion [GO:0051046]; response to xenobiotic stimulus [GO:0009410]; sensory perception of sound [GO:0007605]",actin binding [GO:0003779]; actin filament binding [GO:0051015]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; cytoskeletal motor activity [GO:0003774]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; minus-end directed microfilament motor activity [GO:0060001]
P26678,P26678,reviewed,PPLA_HUMAN,Phospholamban (PLB),PLN PLB,Homo sapiens (Human),52,"acrosome assembly [GO:0001675]; adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process [GO:0086023]; blood circulation [GO:0008015]; calcium ion transport [GO:0006816]; cardiac muscle tissue development [GO:0048738]; circadian sleep/wake cycle, sleep [GO:0050802]; intracellular calcium ion homeostasis [GO:0006874]; locomotor rhythm [GO:0045475]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of ATPase-coupled calcium transmembrane transporter activity [GO:1901895]; negative regulation of calcium ion import [GO:0090281]; negative regulation of calcium ion import into sarcoplasmic reticulum [GO:1902081]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of heart rate [GO:0010459]; Notch signaling pathway [GO:0007219]; regulation of ATPase-coupled calcium transmembrane transporter activity [GO:1901894]; regulation of calcium ion transport [GO:0051924]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cardiac muscle cell membrane potential [GO:0086036]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of heart contraction [GO:0008016]; regulation of relaxation of cardiac muscle [GO:1901897]; regulation of the force of heart contraction [GO:0002026]; regulation of the force of heart contraction by cardiac conduction [GO:0086092]; relaxation of cardiac muscle [GO:0055119]; response to insulin [GO:0032868]; response to testosterone [GO:0033574]; response to zinc ion [GO:0010043]; visual learning [GO:0008542]",calcium ion-transporting ATPase complex [GO:0090534]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; phospholamban complex [GO:1990629]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum membrane [GO:0033017]; vesicle [GO:0031982],"calcium ion-transporting ATPase complex [GO:0090534]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; phospholamban complex [GO:1990629]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum membrane [GO:0033017]; vesicle [GO:0031982]; ATPase binding [GO:0051117]; ATPase inhibitor activity [GO:0042030]; enzyme inhibitor activity [GO:0004857]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; transmembrane transporter binding [GO:0044325]; transporter inhibitor activity [GO:0141110]; acrosome assembly [GO:0001675]; adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process [GO:0086023]; blood circulation [GO:0008015]; calcium ion transport [GO:0006816]; cardiac muscle tissue development [GO:0048738]; circadian sleep/wake cycle, sleep [GO:0050802]; intracellular calcium ion homeostasis [GO:0006874]; locomotor rhythm [GO:0045475]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of ATPase-coupled calcium transmembrane transporter activity [GO:1901895]; negative regulation of calcium ion import [GO:0090281]; negative regulation of calcium ion import into sarcoplasmic reticulum [GO:1902081]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of heart rate [GO:0010459]; Notch signaling pathway [GO:0007219]; regulation of ATPase-coupled calcium transmembrane transporter activity [GO:1901894]; regulation of calcium ion transport [GO:0051924]; regulation of cardiac muscle cell contraction [GO:0086004]; regulation of cardiac muscle cell membrane potential [GO:0086036]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of heart contraction [GO:0008016]; regulation of relaxation of cardiac muscle [GO:1901897]; regulation of the force of heart contraction [GO:0002026]; regulation of the force of heart contraction by cardiac conduction [GO:0086092]; relaxation of cardiac muscle [GO:0055119]; response to insulin [GO:0032868]; response to testosterone [GO:0033574]; response to zinc ion [GO:0010043]; visual learning [GO:0008542]",ATPase binding [GO:0051117]; ATPase inhibitor activity [GO:0042030]; enzyme inhibitor activity [GO:0004857]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; transmembrane transporter binding [GO:0044325]; transporter inhibitor activity [GO:0141110]
Q8NDY3,Q8NDY3,reviewed,ARHL1_HUMAN,Inactive ADP-ribosyltransferase ARH2 (ADP-ribosylhydrolase-like protein 1) ([Protein ADP-ribosylarginine] hydrolase-like protein 1),ADPRHL1 ARH2,Homo sapiens (Human),354,cardiac chamber ballooning [GO:0003242]; cardiac myofibril assembly [GO:0055003]; protein de-ADP-ribosylation [GO:0051725],sarcomere [GO:0030017],sarcomere [GO:0030017]; ADP-ribosylarginine hydrolase activity [GO:0003875]; magnesium ion binding [GO:0000287]; cardiac chamber ballooning [GO:0003242]; cardiac myofibril assembly [GO:0055003]; protein de-ADP-ribosylation [GO:0051725],ADP-ribosylarginine hydrolase activity [GO:0003875]; magnesium ion binding [GO:0000287]
